"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"271","SP1",2023-04-07,"Sevilla","Celta",2,2,"D",1,0,"H",2.22,3.41,3.58,"1-0","2-2",7,2,9,4,6,2,2,0,8,3,11,9,4,11,20,"8-3","Y","Y","Y",8,2,"Sevilla-Celta",303,4,72,130,2200,520,1430,9360,44,288,792,3333,5720
"289","SP1",2023-04-16,"Valencia","Sevilla",0,2,"A",0,0,"D",2.22,3.31,3.63,"0-0","0-2",13,3,6,3,1,4,1,0,6,2,10,17,2,8,27,"6-2","Y","N","N",5,1,"Valencia-Sevilla",130,2,29,75,1400,150,600,2175,16,58,232,1040,1200
"300","SP1",2023-04-23,"Sevilla","Villarreal",2,1,"H",1,0,"H",2.87,3.46,2.57,"1-0","2-1",17,4,17,5,1,2,0,0,5,3,12,10,3,8,22,"5-3","Y","Y","N",3,0,"Sevilla-Villarreal",179,3,31,30,200,90,240,930,24,93,248,1432,720
"310","SP1",2023-04-27,"Ath Bilbao","Sevilla",0,1,"A",0,0,"D",1.8,3.73,4.85,"0-0","0-1",7,2,4,1,3,3,0,0,8,2,7,11,1,10,18,"8-2","N","N","N",6,0,"Ath Bilbao-Sevilla",90,1,5,60,900,60,600,300,10,5,50,900,600
"320","SP1",2023-05-01,"Sevilla","Girona",0,2,"A",0,1,"A",2.01,3.55,4.02,"0-1","0-2",23,5,9,3,1,1,0,0,6,1,14,11,2,7,25,"6-1","Y","N","N",2,0,"Sevilla-Girona",78,2,24,20,100,40,140,480,14,48,168,546,280
"328","SP1",2023-05-04,"Sevilla","Espanol",3,2,"H",1,2,"A",1.85,3.65,4.66,"1-2","3-2",18,6,7,3,1,2,0,0,9,0,15,11,5,9,26,"9-0","Y","Y","Y",3,0,"Sevilla-Espanol",251,5,59,30,200,150,270,1770,45,295,531,2259,1350
"275","SP1",2023-04-08,"Real Madrid","Villarreal",2,3,"A",1,1,"D",1.54,4.57,6.15,"1-1","2-3",18,4,17,8,0,3,0,0,6,7,8,19,5,13,27,"6-7","Y","Y","Y",3,0,"Real Madrid-Villarreal",253,5,68,30,0,150,390,2040,65,340,884,3289,1950
"282","SP1",2023-04-15,"Villarreal","Valladolid",1,2,"A",0,2,"A",1.44,4.96,7.39,"0-2","1-2",22,7,14,7,1,6,0,0,8,5,9,18,3,13,27,"8-5","Y","Y","N",7,0,"Villarreal-Valladolid",0,0,0,70,600,210,910,0,39,0,0,0,2730
"3001","SP1",2023-04-23,"Sevilla","Villarreal",2,1,"H",1,0,"H",2.87,3.46,2.57,"1-0","2-1",17,4,17,5,1,2,0,0,5,3,12,10,3,8,22,"5-3","Y","Y","N",3,0,"Sevilla-Villarreal",179,3,31,30,200,90,240,930,24,93,248,1432,720
"309","SP1",2023-04-27,"Villarreal","Espanol",4,2,"H",0,1,"A",1.6,4.17,6.01,"0-1","4-2",31,13,13,4,2,4,0,1,9,2,14,10,6,11,24,"9-2","Y","Y","Y",6,1,"Villarreal-Espanol",404,6,53,85,1300,510,935,4505,66,318,583,4444,5610
"316","SP1",2023-04-30,"Villarreal","Celta",3,1,"H",2,1,"H",1.83,3.93,4.34,"2-1","3-1",9,3,14,5,1,4,0,0,4,9,12,11,4,13,23,"4-9","Y","Y","Y",5,0,"Villarreal-Celta",113,4,87,50,400,200,650,4350,52,348,1131,1469,2600
"324","SP1",2023-05-03,"Valencia","Villarreal",1,1,"D",0,0,"D",2.78,3.47,2.64,"0-0","1-1",8,1,11,4,4,2,0,0,6,6,14,13,2,12,27,"6-6","Y","N","N",6,0,"Valencia-Villarreal",134,2,31,60,800,120,720,1860,24,62,372,1608,1440
"13","SP1",2023-05-03,"Valencia","Villarreal",1,1,"D",0,0,"D",2.78,3.47,2.64,"0-0","1-1",8,1,11,4,4,2,0,0,6,6,14,13,2,12,27,"6-6","Y","N","N",6,0,"Valencia-Villarreal",176.166666666667,3.08333333333333,40.8333333333333,55.8333333333333,691.666666666667,190.833333333333,593.75,2391.66666666667,35.25,162.333333333333,436.583333333333,1812.66666666667,2076.66666666667
