"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"216","SP1","2023-02-19","Elche","Espanol",0,1,"A",0,0,"D",2.97,3.19,2.69,"0-0","0-1",19,5,11,4,2,3,1,0,10,5,11,12,1,15,23,"10-5","N","N","N",5,1,"Elche-Espanol",90,1,10,75,1350,75,1125,750,15,10,150,1350,1125
"221","SP1","2023-02-24","Elche","Betis",2,3,"A",2,0,"H",3.8,3.4,2.15,"2-0","2-3",4,2,21,9,4,1,2,0,3,3,16,9,5,6,25,"3-3","Y","Y","Y",5,2,"Elche-Betis",239,5,79,100,900,500,600,7900,30,395,474,1434,3000
"234","SP1","2023-03-04","Mallorca","Elche",0,1,"A",0,0,"D",1.71,3.43,6.49,"0-0","0-1",14,3,15,6,3,3,0,0,6,7,17,14,1,13,31,"6-7","N","N","N",6,0,"Mallorca-Elche",88,1,9,60,900,60,780,540,13,9,117,1144,780
"243","SP1","2023-03-11","Elche","Valladolid",1,1,"D",0,1,"A",2.72,3.35,2.77,"0-1","1-1",24,10,5,1,4,6,0,2,10,3,19,11,2,13,30,"10-3","Y","N","N",10,2,"Elche-Valladolid",0,0,0,150,4400,300,1950,0,26,0,0,0,3900
"258","SP1","2023-03-19","Sociedad","Elche",2,0,"H",0,0,"D",1.41,4.67,9.19,"0-0","2-0",17,4,4,3,2,1,0,0,5,3,16,16,2,8,32,"5-3","Y","N","N",3,0,"Sociedad-Elche",138,2,21,30,200,60,240,630,16,42,168,1104,480
"265","SP1","2023-04-01","Elche","Barcelona",0,4,"A",0,1,"A",9.78,5.37,1.34,"0-1","0-4",15,2,12,6,0,3,0,0,11,3,11,11,4,14,22,"11-3","Y","Y","Y",3,0,"Elche-Barcelona",212,4,39,30,0,120,420,1170,56,156,546,2968,1680
"217","SP1","2023-02-19","Vallecano","Sevilla",1,1,"D",0,1,"A",2.55,3.22,3.14,"0-1","1-1",18,5,7,2,4,1,0,0,7,3,15,6,2,10,21,"7-3","Y","N","N",5,0,"Vallecano-Sevilla",94,2,26,50,400,100,500,1300,20,52,260,940,1000
"223","SP1","2023-02-25","Cadiz","Vallecano",1,0,"H",0,0,"D",3.09,2.98,2.76,"0-0","1-0",5,3,11,2,3,4,0,1,4,6,19,19,1,10,38,"4-6","N","N","N",7,1,"Cadiz-Vallecano",74,1,19,95,1950,95,950,1805,10,19,190,740,950
"238","SP1","2023-03-05","Vallecano","Ath Bilbao",0,0,"D",0,0,"D",3.18,3.08,2.57,"0-0","0-0",18,2,16,3,1,0,0,1,7,9,9,17,0,16,26,"7-9","N","N","N",1,1,"Vallecano-Ath Bilbao",0,0,0,35,250,0,560,0,0,0,0,0,0
"244","SP1","2023-03-11","Celta","Vallecano",3,0,"H",0,0,"D",2.13,3.2,4.05,"0-0","3-0",15,6,12,3,2,3,0,0,3,7,13,12,3,10,25,"3-7","Y","Y","N",5,0,"Celta-Vallecano",188,3,0,50,600,150,500,0,30,0,0,1880,1500
"253","SP1","2023-03-18","Vallecano","Girona",2,2,"D",2,1,"H",2.11,3.44,3.79,"2-1","2-2",15,3,12,4,2,2,0,0,3,5,15,16,4,8,31,"3-5","Y","Y","Y",4,0,"Vallecano-Girona",138,4,31,40,400,160,320,1240,32,124,248,1104,1280
"270","SP1","2023-04-03","Valencia","Vallecano",1,1,"D",0,1,"A",2.16,3.23,3.91,"0-1","1-1",18,4,7,2,2,3,0,0,13,3,15,16,2,16,31,"13-3","Y","N","N",5,0,"Valencia-Vallecano",0,0,0,50,600,100,800,0,32,0,0,0,1600
"13","SP1","2023-04-03","Valencia","Vallecano",1,1,"D",0,1,"A",2.16,3.23,3.91,"0-1","1-1",18,4,7,2,2,3,0,0,13,3,15,16,2,16,31,"13-3","Y","N","N",5,0,"Valencia-Vallecano",105.083333333333,1.91666666666667,19.5,63.75,995.833333333333,143.333333333333,728.75,1277.91666666667,23.3333333333333,67.25,179.416666666667,1055.33333333333,1441.25
