,Augsburg,Bayern Munich,Bielefeld,Dortmund,Ein Frankfurt,FC Koln,Freiburg,Hertha,Hoffenheim,Leverkusen,Mainz,Mgladbach,RB Leipzig,Schalke 04,Stuttgart,Union Berlin,Werder Bremen,Wolfsburg,hgtotals,agtotals,TotalGoals,games_played,avg_totalgoals
Augsburg,,1,0,2,2,,2,3,3,2,4,4,2,4,5,3,,2,39,34,73,30,2.4333
Bayern Munich,,,6,6,5,6,3,7,5,2,7,,6,8,4,2,2,3,72,51,123,30,4.1
Bielefeld,1,5,,2,6,1,1,1,,3,3,1,1,1,3,0,2,3,34,35,69,30,2.3
Dortmund,4,5,3,,3,3,4,2,4,,2,3,,3,6,2,5,2,51,55,106,30,3.5333
Ein Frankfurt,2,3,2,2,,2,,4,3,3,,6,2,4,2,7,2,7,51,54,105,30,3.5
FC Koln,1,3,4,4,2,,,0,5,4,5,4,3,,1,3,2,4,45,38,83,30,2.7667
Freiburg,2,,2,3,4,5,,5,,6,4,4,3,4,3,1,2,2,50,36,86,29,2.9655
Hertha,3,1,,7,4,,,,3,3,0,4,3,3,2,4,5,2,44,38,82,28,2.9286
Hoffenheim,4,5,0,1,4,3,4,,,0,3,5,1,,6,4,4,3,47,46,93,30,3.1
Leverkusen,4,3,3,3,,3,3,0,5,,4,7,2,3,7,,2,1,50,32,82,30,2.7333
Mainz,1,,2,,2,1,1,,2,1,,5,5,4,5,1,1,2,33,46,79,29,2.7241
Mgladbach,2,5,,6,4,3,3,2,3,1,3,,1,5,,2,1,2,43,57,100,30,3.3333
RB Leipzig,3,1,3,4,2,0,3,3,0,1,4,5,,4,,1,2,,36,42,78,30,2.6
Schalke 04,1,4,1,4,,3,2,,4,3,0,3,3,,2,2,4,2,38,56,94,30,3.1333
Stuttgart,,4,,5,4,2,5,2,2,2,2,4,1,6,,4,1,4,48,53,101,30,3.3667
Union Berlin,4,2,5,3,6,3,2,2,2,1,4,2,,0,3,,,4,43,38,81,30,2.7
Werder Bremen,2,4,1,3,3,2,0,5,2,,1,,5,2,3,2,,3,38,43,81,30,2.7
Wolfsburg,0,5,3,,3,1,3,2,3,0,,0,4,5,1,,8,,38,46,84,30,2.8
