"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","TG","OV15","OV25","OV35"
"1","B1",2020-12-11,NA,NA,1.53198653198653,1.41414141414141,NA,0.65993265993266,0.565656565656566,NA,2.66959595959596,4.0026936026936,3.87811447811448,NA,NA,13.0707070707071,4.72390572390572,12.047138047138,4.23905723905724,2.94612794612795,NA,NA,NA
"2","D1",2020-12-31,NA,NA,1.6031746031746,1.3968253968254,NA,0.694444444444444,0.634920634920635,NA,3.16833333333333,4.36194444444444,4.26392857142857,NA,NA,12.6230158730159,4.73809523809524,11.6825396825397,4.38888888888889,3,NA,NA,NA
"3","D2",2020-12-30,NA,NA,1.53846153846154,1.27935222672065,NA,0.663967611336032,0.574898785425101,NA,NA,NA,NA,NA,NA,13.2064777327935,4.97570850202429,11.7611336032389,4.32388663967611,2.81781376518219,NA,NA,NA
"4","E0",2020-12-30,NA,NA,1.33548387096774,1.33225806451613,NA,0.667741935483871,0.593548387096774,NA,3.10816129032258,4.14206451612903,4.36496774193548,NA,NA,12.5903225806452,4.45483870967742,11.0451612903226,4.06129032258065,2.66774193548387,NA,NA,NA
"5","E1",2020-12-29,NA,NA,1.23456790123457,1.02469135802469,NA,0.569958847736626,0.458847736625514,NA,NA,NA,NA,NA,NA,11.6666666666667,3.87242798353909,10.5679012345679,3.27777777777778,2.25925925925926,NA,NA,NA
"6","E2",2021-01-02,NA,NA,1.31856540084388,1.26582278481013,NA,0.613924050632911,0.630801687763713,NA,NA,NA,NA,NA,NA,11.9852320675105,3.9831223628692,10.9303797468354,3.76793248945148,2.58438818565401,NA,NA,NA
"7","E3",2021-01-01,NA,NA,1.26458333333333,1.09791666666667,NA,0.616666666666667,0.504166666666667,NA,2.54685416666667,3.4475,3.30385416666667,NA,NA,11.64375,3.90208333333333,10.7666666666667,3.49791666666667,2.3625,NA,NA,NA
"8","EC",2021-01-10,NA,NA,1.41111111111111,1.16111111111111,NA,0.644444444444444,0.536111111111111,NA,NA,NA,NA,NA,NA,0,0,0,0,2.57222222222222,NA,NA,NA
"9","F1",2020-12-21,NA,NA,1.38125,1.325,NA,0.646875,0.628125,NA,NA,NA,NA,NA,NA,12.790625,4.33125,10.7625,3.75625,2.70625,NA,NA,NA
"10","F2",2020-12-19,NA,NA,1.31545741324921,1.03470031545741,NA,0.564668769716088,0.43217665615142,NA,2.64299684542587,3.17917981072555,3.58804416403785,NA,NA,11.4290220820189,3.90220820189274,10.416403785489,3.57097791798107,2.35015772870662,NA,NA,NA
"11","G1",2021-01-02,NA,NA,1.21182266009852,1.07389162561576,NA,0.438423645320197,0.512315270935961,NA,NA,NA,NA,NA,NA,7.70443349753695,4.00985221674877,6.79802955665025,3.54187192118227,2.28571428571429,NA,NA,NA
"12","I1",2021-01-03,NA,NA,1.5819397993311,1.41471571906355,NA,0.665551839464883,0.618729096989967,NA,NA,NA,NA,NA,NA,11.180602006689,5.60200668896321,9.98996655518395,4.90969899665552,2.99665551839465,NA,NA,NA
"13","I2",2021-01-08,NA,NA,1.24770642201835,1.07339449541284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32110091743119,NA,NA,NA
"14","N1",2020-12-29,NA,NA,1.6,1.41153846153846,NA,0.680769230769231,0.6,NA,3.20780769230769,4.68976923076923,4.84361538461538,NA,NA,13.3153846153846,4.93846153846154,12.1269230769231,4.39230769230769,3.01153846153846,NA,NA,NA
"15","P1",2021-01-04,NA,NA,1.26068376068376,1.14529914529915,NA,0.58974358974359,0.572649572649573,NA,NA,NA,NA,NA,NA,12.1282051282051,4.18376068376068,10.2649572649573,3.54273504273504,2.40598290598291,NA,NA,NA
"16","SC0",2020-12-05,NA,NA,1.25980392156863,1.14705882352941,NA,0.617647058823529,0.519607843137255,NA,NA,NA,NA,NA,NA,11.9950980392157,3.95588235294118,11.5343137254902,3.63725490196078,2.40686274509804,NA,NA,NA
"17","SC1",2021-01-19,NA,NA,1.58474576271186,1.29661016949153,NA,0.669491525423729,0.525423728813559,NA,2.8621186440678,3.94830508474576,3.86838983050847,NA,NA,10.0508474576271,4.3135593220339,8.60169491525424,3.84745762711864,2.88135593220339,NA,NA,NA
"18","SC2",2021-01-09,NA,NA,1.25316455696203,1.12658227848101,NA,0.645569620253165,0.430379746835443,NA,2.71481012658228,4.12430379746835,3.74493670886076,NA,NA,9.9873417721519,4.15189873417722,8.60759493670886,3.41772151898734,2.37974683544304,NA,NA,NA
"19","SC3",2021-01-10,NA,NA,1.33333333333333,1.38666666666667,NA,0.48,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72,NA,NA,NA
"20","SP1",2020-12-27,NA,NA,1.33666666666667,1.14,NA,0.61,0.54,NA,2.9063,3.80196666666667,4.3284,NA,NA,11.3466666666667,3.96,9.94,3.46333333333333,2.47666666666667,NA,NA,NA
"21","SP2",2020-12-23,NA,NA,1.18548387096774,0.860215053763441,NA,0.513440860215054,0.349462365591398,NA,NA,NA,NA,NA,NA,10.4327956989247,3.5510752688172,9.61021505376344,3.15591397849462,2.04569892473118,NA,NA,NA
"22","T1",2021-01-03,NA,NA,1.47352941176471,1.15588235294118,NA,0.635294117647059,0.485294117647059,NA,2.55855882352941,3.71870588235294,3.74485294117647,NA,NA,12.6264705882353,4.69117647058824,10.7617647058824,3.86176470588235,2.62941176470588,NA,NA,NA
