"","final_first_column_f1","final_second_column_f1"
"1","Auxerre","Lorient"
"2","Auxerre","Lorient"
"3","Auxerre","Lorient"
"4","Auxerre","Lorient"
"5","Lorient","Auxerre"
"6","Lorient","Auxerre"
"7","Lorient","Auxerre"
"8","Lorient","Auxerre"
"9","Brest","Ajaccio"
"10","Brest","Ajaccio"
"11","Brest","Ajaccio"
"12","Brest","Ajaccio"
"13","Ajaccio","Brest"
"14","Ajaccio","Brest"
"15","Ajaccio","Brest"
"16","Ajaccio","Brest"
"17","Clermont","Troyes"
"18","Clermont","Troyes"
"19","Clermont","Troyes"
"20","Clermont","Troyes"
"21","Troyes","Clermont"
"22","Troyes","Clermont"
"23","Troyes","Clermont"
"24","Troyes","Clermont"
"25","Lille","Toulouse"
"26","Lille","Toulouse"
"27","Lille","Toulouse"
"28","Lille","Toulouse"
"29","Toulouse","Lille"
"30","Toulouse","Lille"
"31","Toulouse","Lille"
"32","Toulouse","Lille"
"33","Lyon","Paris SG"
"34","Lyon","Paris SG"
"35","Lyon","Paris SG"
"36","Lyon","Paris SG"
"37","Paris SG","Lyon"
"38","Paris SG","Lyon"
"39","Paris SG","Lyon"
"40","Paris SG","Lyon"
"41","Marseille","Rennes"
"42","Marseille","Rennes"
"43","Marseille","Rennes"
"44","Marseille","Rennes"
"45","Rennes","Marseille"
"46","Rennes","Marseille"
"47","Rennes","Marseille"
"48","Rennes","Marseille"
"49","Montpellier","Strasbourg"
"50","Montpellier","Strasbourg"
"51","Montpellier","Strasbourg"
"52","Montpellier","Strasbourg"
"53","Strasbourg","Montpellier"
"54","Strasbourg","Montpellier"
"55","Strasbourg","Montpellier"
"56","Strasbourg","Montpellier"
"57","Nantes","Lens"
"58","Nantes","Lens"
"59","Nantes","Lens"
"60","Nantes","Lens"
"61","Lens","Nantes"
"62","Lens","Nantes"
"63","Lens","Nantes"
"64","Lens","Nantes"
"65","Nice","Angers"
"66","Nice","Angers"
"67","Nice","Angers"
"68","Nice","Angers"
"69","Angers","Nice"
"70","Angers","Nice"
"71","Angers","Nice"
"72","Angers","Nice"
"73","Reims","Monaco"
"74","Reims","Monaco"
"75","Reims","Monaco"
"76","Reims","Monaco"
"77","Monaco","Reims"
"78","Monaco","Reims"
"79","Monaco","Reims"
"80","Monaco","Reims"
