"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","TG","OV15","OV25","OV35","TY","TR","homewinmargin","awaywinmargin","GSCS","GSH"
"1903","D1",2021-11-27,"Bochum","Freiburg",2,1,"H",0,0,"D",3.38,3.27,2.38,"0-0","2-1",13,5,22,11,2,1,0,0,3,"Y","Y","N",3,0,-1,-2,"-1,-2",1
"1911","D1",2021-12-03,"Union Berlin","RB Leipzig",2,1,"H",1,1,"D",3.6,3.53,2.17,"1-1","2-1",14,5,11,2,1,1,0,0,3,"Y","Y","N",2,0,-1,-2,"-1,-2",1
"1916","D1",2021-12-04,"Mainz","Wolfsburg",3,0,"H",2,0,"H",2.54,3.37,3.02,"2-0","3-0",12,5,16,0,1,1,0,0,3,"Y","Y","N",2,0,-1,-2,"-1,-2",1
"1919","D1",2021-12-05,"Mgladbach","Freiburg",0,6,"A",0,6,"A",1.88,3.8,4.33,"0-6","0-6",19,3,15,8,2,1,0,0,6,"Y","Y","Y",3,0,-3,-1,"-3,-1",-2
"1925","D1",2021-12-11,"RB Leipzig","Mgladbach",4,1,"H",2,0,"H",1.74,4.39,4.49,"2-0","4-1",19,10,12,4,3,2,0,0,5,"Y","Y","Y",5,0,-1,-6,"-1,-6",5
"1932","D1",2021-12-14,"Wolfsburg","FC Koln",2,3,"A",1,1,"D",2.23,3.51,3.45,"1-1","2-3",19,5,19,6,3,2,0,0,5,"Y","Y","Y",5,0,-2,-2,"-2,-2",0
"1937","D1",2021-12-15,"Union Berlin","Freiburg",0,0,"D",0,0,"D",2.52,3.29,3.11,"0-0","0-0",18,5,8,2,1,1,0,0,0,"N","N","N",2,0,-1,-1,"-1,-1",0
"1952","D1",2022-01-08,"RB Leipzig","Mainz",4,1,"H",1,0,"H",1.81,3.92,4.66,"1-0","4-1",16,8,2,1,0,2,0,1,5,"Y","Y","Y",2,1,-2,-1,"-2,-1",-1
"1955","D1",2022-01-09,"Bochum","Wolfsburg",1,0,"H",0,0,"D",3.57,3.53,2.18,"0-0","1-0",12,3,12,4,1,2,0,0,1,"N","N","N",3,0,-1,-4,"-1,-4",3
"1961","D1",2022-01-15,"Wolfsburg","Hertha",0,0,"D",0,0,"D",1.97,3.58,4.03,"0-0","0-0",7,3,6,2,1,1,0,0,0,"N","N","N",2,0,-1,-2,"-1,-2",1
"1963","D1",2022-01-16,"Augsburg","Ein Frankfurt",1,1,"D",1,1,"D",3.67,3.54,2.09,"1-1","1-1",12,5,14,4,3,3,0,0,2,"Y","N","N",6,0,-2,-1,"-2,-1",-1
"1982","D2",2021-08-01,"Holstein Kiel","Schalke 04",0,3,"A",0,2,"A",2.5,3.4,2.99,"0-2","0-3",21,4,10,5,3,3,0,0,3,"Y","Y","N",6,0,-3,-2,"-3,-2",-1
"1989","D2",2021-08-15,"Darmstadt","Ingolstadt",6,1,"H",4,0,"H",2.85,3.52,2.51,"4-0","6-1",20,9,6,2,2,3,0,0,7,"Y","Y","Y",5,0,-3,-1,"-3,-1",-2
"1992","D2",2021-08-20,"Fortuna Dusseldorf","Holstein Kiel",2,2,"D",1,1,"D",1.85,3.92,4.28,"1-1","2-2",19,4,9,5,1,3,0,0,4,"Y","Y","Y",4,0,-2,-3,"-2,-3",1
"2014","D2",2021-09-12,"Erzgebirge Aue","Fortuna Dusseldorf",0,1,"A",0,1,"A",4.28,3.57,1.94,"0-1","0-1",15,4,18,4,2,2,0,0,1,"N","N","N",4,0,-3,-2,"-3,-2",-1
"2025","D2",2021-09-19,"Darmstadt","Dresden",1,0,"H",1,0,"H",2.1,3.68,3.57,"1-0","1-0",13,5,9,3,2,6,1,1,1,"N","N","N",8,2,-1,-1,"-1,-1",0
"2026","D2",2021-09-19,"Erzgebirge Aue","Paderborn",1,4,"A",0,3,"A",3.74,3.53,2.09,"0-3","1-4",14,5,15,7,0,0,0,0,5,"Y","Y","Y",0,0,-1,-1,"-1,-1",0
"2027","D2",2021-09-19,"St Pauli","Ingolstadt",4,1,"H",1,0,"H",1.66,4.31,5.08,"1-0","4-1",20,10,9,1,0,1,0,0,5,"Y","Y","Y",1,0,-1,-3,"-1,-3",2
"2033","D2",2021-09-25,"Hansa Rostock","Schalke 04",0,2,"A",0,1,"A",4.06,3.69,1.95,"0-1","0-2",14,3,14,6,3,2,0,0,2,"Y","N","N",5,0,-1,-1,"-1,-1",0
"2034","D2",2021-09-26,"Dresden","Werder Bremen",3,0,"H",1,0,"H",3.65,3.65,2.08,"1-0","3-0",12,5,14,3,1,3,0,0,3,"Y","Y","N",4,0,-1,-2,"-1,-2",1
"2049","D2",2021-10-16,"Ingolstadt","Holstein Kiel",1,1,"D",0,1,"A",3.26,3.48,2.31,"0-1","1-1",15,3,6,1,4,2,0,0,2,"Y","N","N",6,0,-3,-2,"-3,-2",-1
"2072","D2",2021-10-31,"Karlsruhe","Paderborn",2,4,"A",0,4,"A",2.74,3.7,2.55,"0-4","2-4",19,8,11,8,5,0,0,0,6,"Y","Y","Y",5,0,-2,-1,"-2,-1",-1
"2082","D2",2021-11-19,"Sandhausen","Nurnberg",1,2,"A",0,0,"D",3.83,3.53,2.07,"0-0","1-2",10,6,15,8,3,1,0,0,3,"Y","Y","N",4,0,-1,-1,"-1,-1",0
"2090","D2",2021-11-24,"St Pauli","Sandhausen",3,1,"H",2,0,"H",1.38,5.45,8.01,"2-0","3-1",20,9,5,2,1,3,0,0,4,"Y","Y","Y",4,0,-4,-1,"-4,-1",-3
"2101","D2",2021-12-03,"Werder Bremen","Erzgebirge Aue",4,0,"H",2,0,"H",1.42,4.89,8.02,"2-0","4-0",15,8,9,3,2,2,0,0,4,"Y","Y","Y",4,0,-1,-1,"-1,-1",0
