"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","TG","OV15","OV25","OV35","TY","TR","homewinmargin","awaywinmargin","GSCS","GSH"
"749","E2",2021-12-11,"Cheltenham","Lincoln",2,2,"D",1,0,"H",2.51,3.47,2.8,"1-0","2-2",14,7,17,7,5,2,0,0,4,"Y","Y","Y",7,0,-5,-2,"-5,-2",-3
"751","E2",2021-12-11,"Doncaster","Shrewsbury",1,0,"H",0,0,"D",3.19,3.48,2.26,"0-0","1-0",10,3,12,2,2,1,0,0,1,"N","N","N",3,0,-1,-1,"-1,-1",0
"766","E2",2021-12-26,"Cheltenham","Plymouth",0,2,"A",0,1,"A",2.91,3.65,2.35,"0-1","0-2",9,2,10,4,1,0,0,0,2,"Y","N","N",1,0,-2,-1,"-2,-1",-1
"772","E2",2021-12-29,"Oxford","AFC Wimbledon",3,0,"H",2,0,"H",1.71,4.15,4.5,"2-0","3-0",13,7,5,3,2,3,0,0,3,"Y","Y","N",5,0,-1,-1,"-1,-1",0
"775","E2",2022-01-01,"Burton","Crewe",4,1,"H",3,1,"H",1.79,3.68,4.58,"3-1","4-1",20,9,10,2,0,2,0,0,5,"Y","Y","Y",2,0,-2,-2,"-2,-2",0
"779","E2",2022-01-01,"Rotherham","Bolton",2,1,"H",1,1,"D",1.43,4.73,7.18,"1-1","2-1",15,5,12,5,2,3,0,0,3,"Y","Y","N",5,0,-1,-1,"-1,-1",0
"780","E2",2022-01-02,"Morecambe","Doncaster",4,3,"H",0,3,"A",2.02,3.5,3.77,"0-3","4-3",24,8,8,4,1,2,0,0,7,"Y","Y","Y",3,0,-1,-1,"-1,-1",0
"786","E2",2022-01-08,"Doncaster","Fleetwood Town",0,1,"A",0,0,"D",2.94,3.44,2.42,"0-0","0-1",6,2,15,6,2,2,0,0,1,"N","N","N",4,0,-1,-3,"-1,-3",2
"792","E2",2022-01-12,"Crewe","Charlton",2,1,"H",2,0,"H",3.78,3.38,2.06,"2-0","2-1",9,4,11,6,2,3,0,0,3,"Y","Y","N",5,0,-3,-1,"-3,-1",-2
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"824","E3",2021-08-14,"Rochdale","Scunthorpe",0,0,"D",0,0,"D",1.94,3.54,4.11,"0-0","0-0",15,2,11,2,0,0,0,0,0,"N","N","N",0,0,-1,-2,"-1,-2",1
"830","E3",2021-08-17,"Bristol Rvs","Oldham",1,0,"H",1,0,"H",1.93,3.69,4.08,"1-0","1-0",14,2,9,2,2,3,0,0,1,"N","N","N",5,0,-2,-1,"-2,-1",-1
"838","E3",2021-08-21,"Exeter","Bristol Rvs",4,1,"H",4,0,"H",2.35,3.2,3.33,"4-0","4-1",19,9,19,9,1,2,0,0,5,"Y","Y","Y",3,0,-3,-2,"-3,-2",-1
"843","E3",2021-08-21,"Northampton","Rochdale",1,3,"A",1,1,"D",1.95,3.73,3.85,"1-1","1-3",11,3,13,5,2,0,0,0,4,"Y","Y","Y",2,0,-2,-1,"-2,-1",-1
"852","E3",2021-08-28,"Crawley Town","Northampton",0,0,"D",0,0,"D",3.03,3.34,2.44,"0-0","0-0",8,3,15,4,1,1,0,0,0,"N","N","N",2,0,-3,-2,"-3,-2",-1
"857","E3",2021-08-28,"Salford","Newport County",3,0,"H",3,0,"H",2.39,3.14,3.32,"3-0","3-0",16,5,15,5,4,3,0,0,3,"Y","Y","N",7,0,-1,-3,"-1,-3",2
"859","E3",2021-08-28,"Sutton","Oldham",1,2,"A",0,0,"D",1.93,3.57,4.12,"0-0","1-2",15,2,12,4,2,3,0,0,3,"Y","Y","N",5,0,-1,-1,"-1,-1",0
"872","E3",2021-09-04,"Tranmere","Hartlepool",1,0,"H",0,0,"D",2.64,3.25,2.85,"0-0","1-0",9,3,16,2,2,2,0,0,1,"N","N","N",4,0,-1,-1,"-1,-1",0
"875","E3",2021-09-11,"Crawley Town","Carlisle",2,1,"H",1,0,"H",2.78,3.43,2.58,"1-0","2-1",12,5,11,3,5,1,0,0,3,"Y","Y","N",6,0,-1,-1,"-1,-1",0
"890","E3",2021-09-18,"Carlisle","Scunthorpe",2,2,"D",0,2,"A",1.78,3.64,4.76,"0-2","2-2",12,4,9,4,0,3,0,0,4,"Y","Y","Y",3,0,-1,-4,"-1,-4",3
"895","E3",2021-09-18,"Oldham","Hartlepool",0,0,"D",0,0,"D",3.07,3.47,2.33,"0-0","0-0",15,1,11,2,2,3,0,0,0,"N","N","N",5,0,-4,-1,"-4,-1",-3
"900","E3",2021-09-24,"Barrow","Newport County",2,1,"H",0,1,"A",2.43,3.26,3.17,"0-1","2-1",21,7,12,5,0,1,0,0,3,"Y","Y","N",1,0,-1,-1,"-1,-1",0
"911","E3",2021-09-25,"Walsall","Bristol Rvs",1,2,"A",1,0,"H",2.49,3.16,3.07,"1-0","1-2",12,2,13,3,2,2,0,0,3,"Y","Y","N",4,0,-1,-2,"-1,-2",1
"918","E3",2021-10-02,"Newport County","Scunthorpe",3,0,"H",1,0,"H",1.75,3.58,5.08,"1-0","3-0",16,5,11,2,0,1,0,0,3,"Y","Y","N",1,0,-1,-1,"-1,-1",0
"927","E3",2021-10-09,"Bristol Rvs","Carlisle",3,0,"H",1,0,"H",2.62,3.03,3.01,"1-0","3-0",7,4,11,3,4,6,0,0,3,"Y","Y","N",10,0,-2,-2,"-2,-2",0
"929","E3",2021-10-09,"Hartlepool","Northampton",2,1,"H",0,0,"D",2.65,3.11,2.9,"0-0","2-1",11,4,11,6,1,2,0,0,3,"Y","Y","N",3,0,-2,-2,"-2,-2",0
"930","E3",2021-10-09,"Mansfield","Oldham",0,0,"D",0,0,"D",1.95,3.66,3.82,"0-0","0-0",11,4,8,3,3,2,0,0,0,"N","N","N",5,0,-1,-1,"-1,-1",0
"932","E3",2021-10-09,"Rochdale","Crawley Town",0,1,"A",0,1,"A",1.93,3.5,4.14,"0-1","0-1",12,3,13,2,1,2,0,0,1,"N","N","N",3,0,-2,-1,"-2,-1",-1
"946","E3",2021-10-16,"Scunthorpe","Forest Green",0,2,"A",0,0,"D",6.73,3.93,1.55,"0-0","0-2",7,3,10,4,5,5,0,0,2,"Y","N","N",10,0,-5,-2,"-5,-2",-3
"972","E3",2021-10-26,"Colchester","Sutton",1,3,"A",1,2,"A",2.99,3.17,2.61,"1-2","1-3",9,2,18,5,3,1,1,0,4,"Y","Y","Y",4,1,-3,-1,"-3,-1",-2
"977","E3",2021-10-30,"Harrogate","Bristol Rvs",0,1,"A",0,0,"D",1.92,3.61,4.02,"0-0","0-1",8,4,6,4,2,4,0,0,1,"N","N","N",6,0,-1,-2,"-1,-2",1
"979","E3",2021-10-30,"Mansfield","Tranmere",2,0,"H",1,0,"H",2.48,3.29,2.97,"1-0","2-0",10,2,9,2,1,1,0,0,2,"Y","N","N",2,0,-1,-2,"-1,-2",1
"987","E3",2021-11-13,"Carlisle","Barrow",0,0,"D",0,0,"D",2.5,3.15,3.06,"0-0","0-0",12,3,8,0,1,3,0,0,0,"N","N","N",4,0,-3,-1,"-3,-1",-2
"991","E3",2021-11-13,"Scunthorpe","Salford",1,1,"D",1,0,"H",4.19,3.13,2.05,"1-0","1-1",11,1,12,3,3,3,0,0,2,"Y","N","N",6,0,-1,-1,"-1,-1",0
"993","E3",2021-11-13,"Tranmere","Sutton",0,1,"A",0,0,"D",2.71,3.11,2.84,"0-0","0-1",16,1,17,3,2,2,0,0,1,"N","N","N",4,0,-2,-1,"-2,-1",-1
"995","E3",2021-11-20,"Barrow","Crawley Town",0,1,"A",0,0,"D",2.1,3.48,3.55,"0-0","0-1",8,3,7,1,2,0,0,0,1,"N","N","N",2,0,-1,-3,"-1,-3",2
"1005","E3",2021-11-20,"Stevenage","Colchester",1,0,"H",1,0,"H",2.29,3.28,3.3,"1-0","1-0",6,3,14,3,2,4,0,0,1,"N","N","N",6,0,-1,-1,"-1,-1",0
"1021","E3",2021-11-27,"Crawley Town","Mansfield",1,2,"A",0,1,"A",2.59,3.42,2.73,"0-1","1-2",6,2,10,3,0,2,0,0,3,"Y","Y","N",2,0,-1,-2,"-1,-2",1
"1024","E3",2021-11-27,"Port Vale","Hartlepool",2,0,"H",1,0,"H",1.81,3.72,4.46,"1-0","2-0",11,5,5,1,3,1,0,0,2,"Y","N","N",4,0,-1,-2,"-1,-2",1
"1033","E3",2021-12-07,"Leyton Orient","Swindon",4,1,"H",1,1,"D",2.24,3.47,3.34,"1-1","4-1",8,6,9,3,4,2,0,0,5,"Y","Y","Y",6,0,-1,-3,"-1,-3",2
"1041","E3",2021-12-11,"Barrow","Swindon",2,0,"H",0,0,"D",2.81,3.32,2.59,"0-0","2-0",11,3,7,3,5,3,0,1,2,"Y","N","N",8,1,-1,-3,"-1,-3",2
"1051","E3",2021-12-11,"Stevenage","Carlisle",0,2,"A",0,1,"A",2.59,2.99,3.09,"0-1","0-2",13,3,10,5,1,1,0,0,2,"Y","N","N",2,0,-2,-1,"-2,-1",-1
"1054","E3",2021-12-18,"Salford","Stevenage",1,0,"H",1,0,"H",2.03,3.4,3.86,"1-0","1-0",18,6,19,3,1,2,0,0,1,"N","N","N",3,0,-1,-2,"-1,-2",1
"1055","E3",2021-12-18,"Sutton","Harrogate",1,0,"H",1,0,"H",2.31,3.57,3.02,"1-0","1-0",9,1,15,3,2,0,0,0,1,"N","N","N",2,0,-1,-3,"-1,-3",2
"1079","E3",2022-01-15,"Newport County","Harrogate",4,0,"H",2,0,"H",2.01,3.55,3.93,"2-0","4-0",17,6,13,3,2,3,0,0,4,"Y","Y","Y",5,0,-3,-1,"-3,-1",-2
"1083","E3",2022-01-15,"Colchester","Barrow",0,2,"A",0,0,"D",2.73,3.18,2.75,"0-0","0-2",11,1,16,8,1,3,0,0,2,"Y","N","N",4,0,-2,-1,"-2,-1",-1
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1108","EC",2021-08-28,"Yeovil","Kings Lynn",1,2,"A",1,0,"H",1.93,3.7,3.82,"1-0","1-2",0,0,0,0,3,1,1,0,3,"Y","Y","N",4,1,-1,-1,"-1,-1",0
"1110","EC",2021-08-30,"Aldershot","Yeovil",1,2,"A",0,1,"A",2.57,3.47,2.68,"0-1","1-2",0,0,0,0,5,5,0,0,3,"Y","Y","N",10,0,-2,-1,"-2,-1",-1
"1117","EC",2021-08-30,"Wealdstone","Southend",0,0,"D",0,0,"D",3.7,3.98,1.88,"0-0","0-0",0,0,0,0,2,4,0,0,0,"N","N","N",6,0,-2,-1,"-2,-1",-1
"1121","EC",2021-09-04,"Altrincham","Dover Athletic",3,2,"H",1,1,"D",1.66,4.05,4.87,"1-1","3-2",0,0,0,0,0,4,0,0,5,"Y","Y","Y",4,0,-2,-1,"-2,-1",-1
"1127","EC",2021-09-04,"Maidenhead","Torquay",3,4,"A",0,4,"A",2.81,3.49,2.46,"0-4","3-4",0,0,0,0,4,2,0,0,7,"Y","Y","Y",6,0,-2,-4,"-2,-4",2
"1132","EC",2021-09-11,"Aldershot","Solihull",1,2,"A",1,1,"D",3.21,3.51,2.1,"1-1","1-2",0,0,0,0,1,3,0,0,3,"Y","Y","N",4,0,-1,-1,"-1,-1",0
"1148","EC",2021-09-14,"Maidenhead","Stockport",0,2,"A",0,1,"A",3.2,3.71,2.16,"0-1","0-2",0,0,0,0,0,1,2,0,2,"Y","N","N",1,2,-2,-3,"-2,-3",1
"1151","EC",2021-09-14,"Southend","Aldershot",2,3,"A",1,1,"D",2.11,3.62,3.38,"1-1","2-3",0,0,0,0,1,5,0,0,5,"Y","Y","Y",6,0,-2,-1,"-2,-1",-1
"1157","EC",2021-09-18,"Torquay","Southend",1,0,"H",0,0,"D",2.28,3.57,2.98,"0-0","1-0",0,0,0,0,1,3,0,0,1,"N","N","N",4,0,-1,-1,"-1,-1",0
"1165","EC",2021-09-25,"Barnet","Weymouth",3,1,"H",1,0,"H",2.21,3.5,3.15,"1-0","3-1",0,0,0,0,3,0,0,0,4,"Y","Y","Y",3,0,-2,-2,"-2,-2",0
"1179","EC",2021-10-02,"Grimsby","Dover Athletic",6,0,"H",5,0,"H",1.44,4.38,7.07,"5-0","6-0",0,0,0,0,0,3,0,0,6,"Y","Y","Y",3,0,-2,-1,"-2,-1",-1
"1182","EC",2021-10-02,"Solihull","Southend",2,0,"H",1,0,"H",1.91,3.65,3.84,"1-0","2-0",0,0,0,0,4,3,0,0,2,"Y","N","N",7,0,-4,-2,"-4,-2",-2
"1186","EC",2021-10-05,"Altrincham","Grimsby",2,3,"A",0,1,"A",3.01,3.47,2.36,"0-1","2-3",0,0,0,0,2,1,0,1,5,"Y","Y","Y",3,1,-1,-2,"-1,-2",1
"1194","EC",2021-10-05,"Woking","Dag and Red",1,0,"H",1,0,"H",3.13,3.76,2.18,"1-0","1-0",0,0,0,0,1,3,0,0,1,"N","N","N",4,0,-1,-1,"-1,-1",0
"1207","EC",2021-10-09,"Yeovil","Notts County",0,2,"A",0,1,"A",3.51,3.51,2.05,"0-1","0-2",0,0,0,0,1,5,0,0,2,"Y","N","N",6,0,-2,-1,"-2,-1",-1
"1212","EC",2021-10-23,"Dag and Red","Southend",3,0,"H",0,0,"D",1.65,3.92,5.01,"0-0","3-0",0,0,0,0,1,2,0,0,3,"Y","Y","N",3,0,-2,-3,"-2,-3",1
"1217","EC",2021-10-23,"Torquay","Kings Lynn",2,0,"H",1,0,"H",1.85,3.92,3.82,"1-0","2-0",0,0,0,0,0,1,0,0,2,"Y","N","N",1,0,-2,-2,"-2,-2",0
"1218","EC",2021-10-23,"Weymouth","Wealdstone",1,1,"D",1,0,"H",2.63,3.4,2.63,"1-0","1-1",0,0,0,0,0,0,0,0,2,"Y","N","N",0,0,-2,-1,"-2,-1",-1
"1220","EC",2021-10-26,"Aldershot","Weymouth",0,2,"A",0,1,"A",1.76,3.97,4.4,"0-1","0-2",0,0,0,0,2,3,0,0,2,"Y","N","N",5,0,-1,-2,"-1,-2",1
"1224","EC",2021-10-26,"Kings Lynn","Boreham Wood",0,1,"A",0,1,"A",4.04,4.06,1.81,"0-1","0-1",0,0,0,0,0,1,0,0,1,"N","N","N",1,0,-1,-1,"-1,-1",0
"1227","EC",2021-10-26,"Stockport","Barnet",1,2,"A",1,1,"D",1.37,4.88,8.42,"1-1","1-2",0,0,0,0,2,2,1,1,3,"Y","Y","N",4,2,-1,-3,"-1,-3",2
"1230","EC",2021-10-30,"Boreham Wood","Southend",1,0,"H",0,0,"D",1.77,3.73,4.4,"0-0","1-0",0,0,0,0,2,1,0,1,1,"N","N","N",3,1,-1,-1,"-1,-1",0
"1238","EC",2021-10-30,"Woking","Altrincham",3,2,"H",1,1,"D",2,3.57,3.6,"1-1","3-2",0,0,0,0,2,1,0,1,5,"Y","Y","Y",3,1,-2,-1,"-2,-1",-1
"1244","EC",2021-11-13,"Aldershot","Grimsby",2,1,"H",1,1,"D",3.72,3.86,1.88,"1-1","2-1",0,0,0,0,3,2,0,0,3,"Y","Y","N",5,0,-5,-1,"-5,-1",-4
"1255","EC",2021-11-19,"Grimsby","Southend",1,0,"H",1,0,"H",1.56,3.97,6.34,"1-0","1-0",0,0,0,0,1,2,0,0,1,"N","N","N",3,0,-1,-1,"-1,-1",0
"1256","EC",2021-11-20,"Barnet","Torquay",2,1,"H",1,0,"H",3.08,3.66,2.18,"1-0","2-1",0,0,0,0,4,2,0,0,3,"Y","Y","N",6,0,-1,-1,"-1,-1",0
"1287","EC",2021-12-04,"Bromley","Wealdstone",3,2,"H",2,1,"H",1.48,4.43,6.25,"2-1","3-2",0,0,0,0,2,1,0,1,5,"Y","Y","Y",3,1,-2,-3,"-2,-3",1
"1288","EC",2021-12-04,"Dag and Red","Grimsby",3,2,"H",1,1,"D",2.6,3.57,2.56,"1-1","3-2",0,0,0,0,1,2,0,1,5,"Y","Y","Y",3,1,-1,-1,"-1,-1",0
"1289","EC",2021-12-04,"Dover Athletic","Wrexham",0,1,"A",0,0,"D",8.12,4.51,1.39,"0-0","0-1",0,0,0,0,2,2,0,0,1,"N","N","N",4,0,-1,-2,"-1,-2",1
"1292","EC",2021-12-07,"Southend","Maidenhead",1,1,"D",1,0,"H",1.91,3.6,4.09,"1-0","1-1",0,0,0,0,1,1,0,0,2,"Y","N","N",2,0,-3,-4,"-3,-4",1
"1302","EC",2021-12-11,"Yeovil","Barnet",1,0,"H",1,0,"H",2.05,3.88,3.21,"1-0","1-0",0,0,0,0,4,1,0,1,1,"N","N","N",5,1,-3,-1,"-3,-1",-2
"1321","EC",2022-01-02,"Eastleigh","Weymouth",3,2,"H",1,0,"H",1.56,4.06,5.73,"1-0","3-2",0,0,0,0,2,1,1,0,5,"Y","Y","Y",3,1,-4,-1,"-4,-1",-3
"1324","EC",2022-01-02,"Yeovil","Torquay",1,2,"A",0,0,"D",2.47,3.27,2.91,"0-0","1-2",0,0,0,0,0,0,0,0,3,"Y","Y","N",0,0,-1,-1,"-1,-1",0
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1328","EC",2022-01-08,"Bromley","Solihull",2,1,"H",2,0,"H",2.17,3.55,3.2,"2-0","2-1",0,0,0,0,1,0,0,0,3,"Y","Y","N",1,0,-1,-1,"-1,-1",0
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1399","F1",2021-08-22,"Strasbourg","Troyes",1,1,"D",0,1,"A",2.12,3.4,3.87,"0-1","1-1",14,4,10,6,3,1,0,0,2,"Y","N","N",4,0,-2,-2,"-2,-2",0
"1414","F1",2021-09-12,"Montpellier","St Etienne",2,0,"H",1,0,"H",2.66,3.59,2.72,"1-0","2-0",11,4,14,2,1,4,0,0,2,"Y","N","N",5,0,-1,-2,"-1,-2",1
"1418","F1",2021-09-12,"Rennes","Reims",0,2,"A",0,1,"A",1.71,3.67,5.98,"0-1","0-2",9,1,7,3,1,2,0,0,2,"Y","N","N",3,0,-2,-2,"-2,-2",0
"1423","F1",2021-09-18,"St Etienne","Bordeaux",1,2,"A",0,1,"A",1.97,3.53,4.32,"0-1","1-2",12,5,13,3,1,4,0,0,3,"Y","Y","N",5,0,-2,-1,"-2,-1",-1
"1441","F1",2021-09-25,"St Etienne","Nice",0,3,"A",0,1,"A",3.35,3.5,2.29,"0-1","0-3",11,6,14,9,0,2,0,0,3,"Y","Y","N",2,0,-1,-1,"-1,-1",0
"1446","F1",2021-09-26,"Brest","Metz",1,2,"A",0,1,"A",2.07,3.53,3.89,"0-1","1-2",11,2,6,4,3,2,0,0,3,"Y","Y","N",5,0,-2,-1,"-2,-1",-1
"1450","F1",2021-09-26,"Marseille","Lens",2,3,"A",2,2,"D",1.79,3.84,4.85,"2-2","2-3",14,4,14,5,2,1,0,0,5,"Y","Y","Y",3,0,-1,-1,"-1,-1",0
"1451","F1",2021-10-01,"Lens","Reims",2,0,"H",1,0,"H",1.81,3.56,5.2,"1-0","2-0",13,7,3,0,3,1,0,1,2,"Y","N","N",4,1,-1,-1,"-1,-1",0
"1452","F1",2021-10-02,"Montpellier","Strasbourg",1,1,"D",1,1,"D",2.46,3.59,2.97,"1-1","1-1",12,4,6,3,2,0,0,0,2,"Y","N","N",2,0,-2,-1,"-2,-1",-1
"1464","F1",2021-10-17,"Troyes","Nice",1,0,"H",1,0,"H",4.4,3.7,1.9,"1-0","1-0",8,3,11,3,2,1,0,0,1,"N","N","N",3,0,-2,-1,"-2,-1",-1
"1466","F1",2021-10-17,"Brest","Reims",1,1,"D",0,1,"A",2.41,3.23,3.36,"0-1","1-1",9,4,13,2,3,4,0,0,2,"Y","N","N",7,0,-1,-2,"-1,-2",1
"1475","F1",2021-10-24,"Lens","Metz",4,1,"H",2,1,"H",1.65,3.92,6.08,"2-1","4-1",11,5,9,4,2,3,0,0,5,"Y","Y","Y",5,0,-1,-3,"-1,-3",2
"1493","F1",2021-11-06,"Lille","Angers",1,1,"D",1,0,"H",1.79,3.62,5.34,"1-0","1-1",11,6,9,5,2,2,1,0,2,"Y","N","N",4,1,-1,-1,"-1,-1",0
"1498","F1",2021-11-07,"Reims","Monaco",0,0,"D",0,0,"D",4.19,3.41,2.04,"0-0","0-0",11,4,12,3,0,2,0,0,0,"N","N","N",2,0,-1,-2,"-1,-2",1
"20931","F2",2021-08-07,"Dunkerque","Niort",1,2,"A",1,1,"D",2.4,2.94,3.55,"1-1","1-2",9,2,4,3,1,0,0,0,3,"Y","Y","N",1,0,-1,-1,"-1,-1",0
"21132","F2",2021-08-21,"Grenoble","Quevilly Rouen",2,0,"H",1,0,"H",2.1,3.09,4.15,"1-0","2-0",13,4,7,1,0,1,0,0,2,"Y","N","N",1,0,-1,-1,"-1,-1",0
"21232","F2",2021-08-28,"Nancy","Auxerre",1,4,"A",0,2,"A",3.37,3.27,2.29,"0-2","1-4",17,3,17,8,1,2,0,0,5,"Y","Y","Y",3,0,-1,-1,"-1,-1",0
"21371","F2",2021-09-11,"Valenciennes","Quevilly Rouen",1,2,"A",1,0,"H",2.1,3.39,3.71,"1-0","1-2",7,1,13,3,2,3,0,0,3,"Y","Y","N",5,0,-1,-1,"-1,-1",0
"21401","F2",2021-09-18,"Sochaux","Paris FC",2,0,"H",1,0,"H",2.51,3.1,3.09,"1-0","2-0",12,4,6,2,1,2,0,0,2,"Y","N","N",3,0,-1,-1,"-1,-1",0
"21421","F2",2021-09-18,"Bastia","Caen",1,1,"D",1,0,"H",2.26,3.19,3.45,"1-0","1-1",4,3,11,3,2,1,0,0,2,"Y","N","N",3,0,-1,-1,"-1,-1",0
"21451","F2",2021-09-18,"Nimes","Amiens",3,3,"D",2,0,"H",1.91,3.28,4.59,"2-0","3-3",12,6,16,7,4,3,0,0,6,"Y","Y","Y",7,0,-1,-1,"-1,-1",0
"21651","F2",2021-09-24,"Quevilly Rouen","Guingamp",2,2,"D",2,2,"D",2.71,3.14,2.89,"2-2","2-2",8,3,13,4,3,3,0,0,4,"Y","Y","Y",6,0,-1,-1,"-1,-1",0
"21921","F2",2021-10-23,"Amiens","Valenciennes",3,0,"H",1,0,"H",2.32,2.98,3.59,"1-0","3-0",5,3,11,2,3,1,0,0,3,"Y","Y","N",4,0,-1,-2,"-1,-2",1
"21951","F2",2021-10-23,"Guingamp","Nimes",3,1,"H",1,0,"H",2.64,2.96,3.05,"1-0","3-1",23,8,6,1,1,4,0,0,4,"Y","Y","Y",5,0,-1,-2,"-1,-2",1
"22061","F2",2021-10-30,"Nimes","Niort",1,2,"A",0,1,"A",2.04,3.2,4.11,"0-1","1-2",9,2,7,3,2,1,0,0,3,"Y","Y","N",3,0,-2,-2,"-2,-2",0
"22121","F2",2021-11-06,"Ajaccio","Dijon",1,0,"H",0,0,"D",2.15,2.96,4.15,"0-0","1-0",17,6,4,1,5,3,0,0,1,"N","N","N",8,0,-1,-1,"-1,-1",0
"22161","F2",2021-11-06,"Le Havre","Valenciennes",0,0,"D",0,0,"D",2.12,3.19,3.84,"0-0","0-0",11,2,5,3,0,1,0,0,0,"N","N","N",1,0,-1,-1,"-1,-1",0
"2227","F2",2021-11-20,"Pau FC","Guingamp",2,0,"H",1,0,"H",2.3,3.13,3.43,"1-0","2-0",14,7,21,9,3,2,0,0,2,"Y","N","N",5,0,-3,-1,"-3,-1",-2
"2235","F2",2021-12-03,"Quevilly Rouen","Nancy",2,1,"H",1,1,"D",2.93,2.93,2.86,"1-1","2-1",12,3,15,3,2,3,0,1,3,"Y","Y","N",5,1,-1,-2,"-1,-2",1
"2238","F2",2021-12-04,"Auxerre","Caen",2,2,"D",1,1,"D",1.79,3.38,5.21,"1-1","2-2",10,5,12,3,0,1,1,0,4,"Y","Y","Y",1,1,-2,-1,"-2,-1",-1
"2246","F2",2021-12-11,"Nimes","Nancy",2,1,"H",2,1,"H",1.98,3.28,4.23,"2-1","2-1",12,5,14,6,3,3,0,1,3,"Y","Y","N",6,1,-1,-1,"-1,-1",0
"2361","G1",2021-09-22,"Aris","Panathinaikos",1,0,"H",1,0,"H",2.1,3.47,3.42,"1-0","1-0",5,2,4,3,5,2,0,0,1,"N","N","N",7,0,-1,-1,"-1,-1",0
"2366","G1",2021-09-26,"Lamia","Panetolikos",2,2,"D",1,1,"D",2.5,2.89,3.25,"1-1","2-2",5,5,12,4,4,1,0,0,4,"Y","Y","Y",5,0,-1,-1,"-1,-1",0
"2371","G1",2021-10-02,"Volos NFC","Asteras Tripolis",2,1,"H",1,0,"H",2.72,2.84,2.98,"1-0","2-1",6,5,12,7,4,3,0,0,3,"Y","Y","N",7,0,-4,-2,"-4,-2",-2
"2380","G1",2021-10-17,"Panetolikos","OFI Crete",1,2,"A",1,1,"D",2.55,3.05,2.99,"1-1","1-2",11,4,13,8,1,3,0,0,3,"Y","Y","N",4,0,-2,-2,"-2,-2",0
"2385","G1",2021-10-23,"Atromitos","Ionikos",0,2,"A",0,1,"A",1.78,3.52,4.71,"0-1","0-2",11,4,6,4,1,3,0,0,2,"Y","N","N",4,0,-3,-3,"-3,-3",0
"2386","G1",2021-10-23,"Apollon","Giannina",1,0,"H",0,0,"D",2.96,2.9,2.69,"0-0","1-0",5,1,6,1,4,3,0,0,1,"N","N","N",7,0,-1,-1,"-1,-1",0
"2264","I1",2021-08-28,"Fiorentina","Torino",2,1,"H",1,0,"H",2.2,3.56,3.5,"1-0","2-1",10,7,4,1,4,5,0,0,3,"Y","Y","N",9,0,-2,-1,"-2,-1",-1
"2274","I1",2021-09-12,"Cagliari","Genoa",2,3,"A",1,0,"H",2.14,3.47,3.73,"1-0","2-3",8,3,9,3,2,3,0,0,5,"Y","Y","Y",5,0,-3,-1,"-3,-1",-2
"2276","I1",2021-09-12,"Torino","Salernitana",4,0,"H",1,0,"H",1.61,4.18,6.05,"1-0","4-0",15,7,7,2,0,2,0,0,4,"Y","Y","Y",2,0,-1,-4,"-1,-4",3
"2283","I1",2021-09-18,"Salernitana","Atalanta",0,1,"A",0,0,"D",9.79,5.69,1.34,"0-0","0-1",11,1,10,3,4,4,0,0,1,"N","N","N",8,0,-4,-1,"-4,-1",-3
"2286","I1",2021-09-19,"Lazio","Cagliari",2,2,"D",1,0,"H",1.46,4.97,7.24,"1-0","2-2",28,10,10,3,1,3,0,1,4,"Y","Y","Y",4,1,-2,-1,"-2,-1",-1
