"","x"
"1","33"
"2","37"
"3","65"
"4","38"
"5","42"
"6","35"
"7","53"
"8","44"
"9","28"
"10","41"
"11","51"
"12","58"
"13","51"
"14","63"
"15","38"
"16","25"
"17","45"
"18","63"
