"","final_first_column_f2div","final_second_column_f2div"
"1","St Etienne","Nimes"
"2","St Etienne","Nimes"
"3","St Etienne","Nimes"
"4","St Etienne","Nimes"
"5","Nimes","St Etienne"
"6","Nimes","St Etienne"
"7","Nimes","St Etienne"
"8","Nimes","St Etienne"
"9","Amiens","Annecy"
"10","Amiens","Annecy"
"11","Amiens","Annecy"
"12","Amiens","Annecy"
"13","Annecy","Amiens"
"14","Annecy","Amiens"
"15","Annecy","Amiens"
"16","Annecy","Amiens"
"17","Grenoble","Sochaux"
"18","Grenoble","Sochaux"
"19","Grenoble","Sochaux"
"20","Grenoble","Sochaux"
"21","Sochaux","Grenoble"
"22","Sochaux","Grenoble"
"23","Sochaux","Grenoble"
"24","Sochaux","Grenoble"
"25","Laval","Guingamp"
"26","Laval","Guingamp"
"27","Laval","Guingamp"
"28","Laval","Guingamp"
"29","Guingamp","Laval"
"30","Guingamp","Laval"
"31","Guingamp","Laval"
"32","Guingamp","Laval"
"33","Niort","Bastia"
"34","Niort","Bastia"
"35","Niort","Bastia"
"36","Niort","Bastia"
"37","Bastia","Niort"
"38","Bastia","Niort"
"39","Bastia","Niort"
"40","Bastia","Niort"
"41","Paris FC","Quevilly Rouen"
"42","Paris FC","Quevilly Rouen"
"43","Paris FC","Quevilly Rouen"
"44","Paris FC","Quevilly Rouen"
"45","Quevilly Rouen","Paris FC"
"46","Quevilly Rouen","Paris FC"
"47","Quevilly Rouen","Paris FC"
"48","Quevilly Rouen","Paris FC"
"49","Pau FC","Dijon"
"50","Pau FC","Dijon"
"51","Pau FC","Dijon"
"52","Pau FC","Dijon"
"53","Dijon","Pau FC"
"54","Dijon","Pau FC"
"55","Dijon","Pau FC"
"56","Dijon","Pau FC"
"57","Rodez","Bordeaux"
"58","Rodez","Bordeaux"
"59","Rodez","Bordeaux"
"60","Rodez","Bordeaux"
"61","Bordeaux","Rodez"
"62","Bordeaux","Rodez"
"63","Bordeaux","Rodez"
"64","Bordeaux","Rodez"
"65","Valenciennes","Le Havre"
"66","Valenciennes","Le Havre"
"67","Valenciennes","Le Havre"
"68","Valenciennes","Le Havre"
"69","Le Havre","Valenciennes"
"70","Le Havre","Valenciennes"
"71","Le Havre","Valenciennes"
"72","Le Havre","Valenciennes"
"73","Caen","Metz"
"74","Caen","Metz"
"75","Caen","Metz"
"76","Caen","Metz"
"77","Metz","Caen"
"78","Metz","Caen"
"79","Metz","Caen"
"80","Metz","Caen"
