"","ec_division","ec_teams","ec_avg_AG","ec_away_as","ec_away_ds","ec_totalgames_poiss"
"1","EC","Aldershot","1.3056","1.1489","1.086","no12"
"2","EC","Altrincham","1.3056","1.0212","0.9774","no12"
"3","EC","Barnet","1.3056","1.2036","1.3032","no12"
"4","EC","Boreham Wood","1.3056","1.0942","0.7447","no12"
"5","EC","Bromley","1.3056","1.3787","1.1729","no12"
"6","EC","Chesterfield","1.3056","1.3404","0.4887","no12"
"7","EC","Dag and Red","1.3056","0.7659","0.6516","no12"
"8","EC","Dover Athletic","1.3056","0.6127","2.0851","no12"
"9","EC","Eastleigh","1.3056","0.383","0.9774","no12"
"10","EC","Grimsby","1.3056","0.9848","0.7447","no12"
"11","EC","Halifax","1.3056","0.6565","0.5585","no12"
"12","EC","Kings Lynn","1.3056","1.3787","1.5638","no12"
"13","EC","Maidenhead","1.3056","0.4596","0.9122","no12"
"14","EC","Notts County","1.3056","1.4042","0.6516","no12"
"15","EC","Solihull","1.3056","0.7659","0.7602","no12"
"16","EC","Southend","1.3056","0.2188","0.9308","no12"
"17","EC","Stockport","1.3056","1.2036","0.7447","no12"
"18","EC","Torquay","1.3056","1.0212","1.3032","no12"
"19","EC","Wealdstone","1.3056","0.7659","1.4118","no12"
"20","EC","Weymouth","1.3056","0.9848","1.4894","no12"
"21","EC","Woking","1.3056","1.5319","1.0239","no12"
"22","EC","Wrexham","1.3056","1.4224","1.117","no12"
"23","EC","Yeovil","1.3056","1.1489","0.8145","no12"
