"","final_first_column_sc3div","final_second_column_sc3div"
"1","Albion Rvs","Dumbarton"
"2","Albion Rvs","Dumbarton"
"3","Albion Rvs","Dumbarton"
"4","Albion Rvs","Dumbarton"
"5","Dumbarton","Albion Rvs"
"6","Dumbarton","Albion Rvs"
"7","Dumbarton","Albion Rvs"
"8","Dumbarton","Albion Rvs"
"9","Annan Athletic","Stenhousemuir"
"10","Annan Athletic","Stenhousemuir"
"11","Annan Athletic","Stenhousemuir"
"12","Annan Athletic","Stenhousemuir"
"13","Stenhousemuir","Annan Athletic"
"14","Stenhousemuir","Annan Athletic"
"15","Stenhousemuir","Annan Athletic"
"16","Stenhousemuir","Annan Athletic"
"17","East Fife","Bonnyrigg Rose"
"18","East Fife","Bonnyrigg Rose"
"19","East Fife","Bonnyrigg Rose"
"20","East Fife","Bonnyrigg Rose"
"21","Bonnyrigg Rose","East Fife"
"22","Bonnyrigg Rose","East Fife"
"23","Bonnyrigg Rose","East Fife"
"24","Bonnyrigg Rose","East Fife"
"25","Forfar","Stranraer"
"26","Forfar","Stranraer"
"27","Forfar","Stranraer"
"28","Forfar","Stranraer"
"29","Stranraer","Forfar"
"30","Stranraer","Forfar"
"31","Stranraer","Forfar"
"32","Stranraer","Forfar"
"33","Stirling","Elgin"
"34","Stirling","Elgin"
"35","Stirling","Elgin"
"36","Stirling","Elgin"
"37","Elgin","Stirling"
"38","Elgin","Stirling"
"39","Elgin","Stirling"
"40","Elgin","Stirling"
