"","final_first_column_sc0","final_second_column_sc0"
"1","Hibernian","Aberdeen"
"2","Hibernian","Aberdeen"
"3","Hibernian","Aberdeen"
"4","Hibernian","Aberdeen"
"5","Aberdeen","Hibernian"
"6","Aberdeen","Hibernian"
"7","Aberdeen","Hibernian"
"8","Aberdeen","Hibernian"
"9","Livingston","Kilmarnock"
"10","Livingston","Kilmarnock"
"11","Livingston","Kilmarnock"
"12","Livingston","Kilmarnock"
"13","Kilmarnock","Livingston"
"14","Kilmarnock","Livingston"
"15","Kilmarnock","Livingston"
"16","Kilmarnock","Livingston"
"17","Motherwell","Hearts"
"18","Motherwell","Hearts"
"19","Motherwell","Hearts"
"20","Motherwell","Hearts"
"21","Hearts","Motherwell"
"22","Hearts","Motherwell"
"23","Hearts","Motherwell"
"24","Hearts","Motherwell"
"25","Rangers","Dundee United"
"26","Rangers","Dundee United"
"27","Rangers","Dundee United"
"28","Rangers","Dundee United"
"29","Dundee United","Rangers"
"30","Dundee United","Rangers"
"31","Dundee United","Rangers"
"32","Dundee United","Rangers"
"33","St Johnstone","Ross County"
"34","St Johnstone","Ross County"
"35","St Johnstone","Ross County"
"36","St Johnstone","Ross County"
"37","Ross County","St Johnstone"
"38","Ross County","St Johnstone"
"39","Ross County","St Johnstone"
"40","Ross County","St Johnstone"
"41","St. Mirren","Celtic"
"42","St. Mirren","Celtic"
"43","St. Mirren","Celtic"
"44","St. Mirren","Celtic"
"45","Celtic","St. Mirren"
"46","Celtic","St. Mirren"
"47","Celtic","St. Mirren"
"48","Celtic","St. Mirren"
