"","x"
"1","Augsburg,L W L D L L"
"2","Bayern Munich,W W D W W L"
"3","Bielefeld,L D W D W L"
"4","Dortmund,D L W W W W"
"5","Ein Frankfurt,W W W L W L"
"6","FC Koln,D L L L W W"
"7","Freiburg,L W L L W D"
"8","Hertha,W L W D D D"
"9","Hoffenheim,L L D D W D"
"10","Leverkusen,L W D W L W"
"11","Mainz,W D W W W D"
"12","Mgladbach,W W D W L W"
"13","RB Leipzig,W L W D L W"
"14","Schalke 04,L L L W L L"
"15","Stuttgart,L W L L L L"
"16","Union Berlin,L D D W L W"
"17","Werder Bremen,L L L L L L"
"18","Wolfsburg,W W L L W L"
