Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR,HCO,ACO,HF,AF
E0,11/08/2023,Burnley,Man City,0,3,A,0,2,A,8.58,5.51,1.37,0-2,0-3,6,1,17,8,0,0,1,0,6,5,11,8
E0,12/08/2023,Arsenal,Nottm Forest,2,1,H,2,0,H,1.18,7.86,15.67,2-0,2-1,15,7,6,2,2,2,0,0,8,3,12,12
E0,12/08/2023,Bournemouth,West Ham,1,1,D,0,0,D,2.7,3.47,2.71,0-0,1-1,14,5,16,3,1,4,0,0,10,4,9,14
E0,12/08/2023,Brighton,Luton,4,1,H,1,0,H,1.33,5.65,9.61,1-0,4-1,27,12,9,3,2,2,0,0,6,7,11,12
E0,12/08/2023,Everton,Fulham,0,1,A,0,0,D,2.27,3.45,3.35,0-0,0-1,19,9,9,2,0,2,0,0,10,4,12,6
E0,12/08/2023,Sheffield United,Crystal Palace,0,1,A,0,0,D,3.28,3.22,2.43,0-0,0-1,8,1,24,8,3,0,0,0,5,5,18,11
E0,12/08/2023,Newcastle,Aston Villa,5,1,H,2,1,H,1.77,3.92,4.77,2-1,5-1,17,13,16,6,4,4,0,0,6,5,12,17
E0,13/08/2023,Brentford,Tottenham,2,2,D,2,2,D,2.76,3.65,2.55,2-2,2-2,11,6,18,6,1,4,0,0,3,6,12,13
E0,13/08/2023,Chelsea,Liverpool,1,1,D,1,1,D,2.97,3.64,2.4,1-1,1-1,10,4,13,1,3,3,0,0,4,4,5,12
E0,14/08/2023,Man United,Wolves,1,0,H,0,0,D,1.32,5.79,9.66,0-0,1-0,15,3,23,6,2,3,0,0,8,7,14,10
E0,18/08/2023,Nottm Forest,Sheffield United,2,1,H,1,0,H,1.97,3.48,4.37,1-0,2-1,16,4,7,3,2,3,0,0,6,7,5,9
E0,19/08/2023,Fulham,Brentford,0,3,A,0,1,A,2.76,3.43,2.67,0-1,0-3,10,2,17,8,2,2,1,0,5,5,13,12
E0,19/08/2023,Liverpool,Bournemouth,3,1,H,2,1,H,1.23,7.14,11.46,2-1,3-1,26,10,13,5,1,3,1,0,10,2,11,13
