,matchid,goalmins,n
18,Bayern München-Mainz 05,425,8
51,FC Augsburg-RB Leipzig,400,6
31,Borussia M'Gladbach-1. FC Köln,398,7
30,Borussia Dortmund-Werder Bremen,391,5
40,Eintracht Frankfurt-Bayer Leverkusen,382,6
92,TSG Hoffenheim-Mainz 05,375,5
87,Schalke 04-Union Berlin,341,7
112,VfL Bochum-Bayern München,309,7
12,Bayer Leverkusen-Union Berlin,304,5
2,1. FC Köln-Borussia Dortmund,290,5
54,Freiburg-Borussia Dortmund,284,4
3,1. FC Köln-FC Augsburg,271,5
41,Eintracht Frankfurt-Bayern München,269,7
82,Schalke 04-Borussia M'Gladbach,269,4
4,1. FC Köln-Schalke 04,267,4
125,Wolfsburg-1. FC Köln,260,6
21,Bayern München-Werder Bremen,258,7
56,Hertha BSC-Bayer Leverkusen,257,4
73,RB Leipzig-SC Freiburg,254,4
9,Bayer Leverkusen-SC Freiburg,252,5
88,Schalke 04-VfL Bochum,252,4
25,Borussia Dortmund-Bayern München,250,4
114,VfL Bochum-Eintracht Frankfurt,248,3
20,Bayern München-VfB Stuttgart,243,4
63,Mainz 05-1. FC Köln,242,5
118,Werder Bremen-Eintracht Frankfurt,242,7
7,Augsburg-Freiburg,233,4
19,Bayern München-SC Freiburg,233,5
103,VfB Stuttgart-Eintracht Frankfurt,228,4
72,RB Leipzig-Hertha BSC,226,5
61,Hertha BSC-Schalke 04,222,3
10,Bayer Leverkusen-Schalke 04,221,4
100,Union Berlin-Hertha BSC,220,4
128,Wolfsburg-VfB Stuttgart,218,5
37,Borussia M'Gladbach-TSG Hoffenheim,216,4
124,Werder Bremen-VfB Stuttgart,209,4
69,RB Leipzig-1. FC Köln,204,4
115,VfL Bochum-Union Berlin,204,3
83,Schalke 04-FC Augsburg,203,5
98,Union Berlin-Borussia M'Gladbach,202,3
129,Wolfsburg-VfL Bochum,200,4
117,Werder Bremen-Borussia M'Gladbach,199,6
60,Hertha BSC-SC Freiburg,195,4
123,Werder Bremen-Schalke 04,195,3
93,TSG Hoffenheim-RB Leipzig,193,4
43,Eintracht Frankfurt-RB Leipzig,189,4
110,VfB Stuttgart-VfL Bochum,189,5
68,Mainz 05-Wolfsburg,187,3
28,Borussia Dortmund-VfB Stuttgart,184,5
44,Eintracht Frankfurt-TSG Hoffenheim,182,6
74,RB Leipzig-VfL Bochum,176,4
116,VfL Bochum-Werder Bremen,176,2
15,Bayer Leverkusen-Wolfsburg,175,4
57,Hertha BSC-Bayern München,172,5
127,Wolfsburg-Borussia M'Gladbach,172,4
1,1. FC Köln-Bayer Leverkusen,166,3
32,Borussia M'Gladbach-Borussia Dortmund,165,6
78,SC Freiburg-Union Berlin,159,5
50,FC Augsburg-Mainz 05,156,3
38,Borussia M'Gladbach-VfB Stuttgart,154,4
39,Eintracht Frankfurt-1. FC Köln,153,2
101,Union Berlin-RB Leipzig,153,3
33,Borussia M'Gladbach-Eintracht Frankfurt,152,4
90,TSG Hoffenheim-Bochum,148,5
49,FC Augsburg-Hertha BSC,147,2
16,Bayern München-Bayer Leverkusen,143,4
95,TSG Hoffenheim-Wolfsburg,143,3
23,Bochum-Mainz 05,142,3
8,Bayer Leverkusen-Augsburg,140,3
14,Bayer Leverkusen-Werder Bremen,139,2
122,Werder Bremen-RB Leipzig,139,3
130,Wolfsburg-Werder Bremen,139,4
94,TSG Hoffenheim-Werder Bremen,137,3
80,SC Freiburg-Werder Bremen,136,2
71,RB Leipzig-Borussia Dortmund,135,3
102,Union Berlin-Wolfsburg,131,2
17,Bayern München-Borussia M'Gladbach,126,2
67,Mainz 05-RB Leipzig,125,2
11,Bayer Leverkusen-TSG Hoffenheim,121,3
66,Mainz 05-Hertha BSC,120,2
76,SC Freiburg-1. FC Köln,117,2
70,RB Leipzig-Bayer Leverkusen,115,2
86,Schalke 04-TSG Hoffenheim,115,3
13,Bayer Leverkusen-VfB Stuttgart,112,2
105,VfB Stuttgart-Hertha BSC,112,3
64,Mainz 05-Bayer Leverkusen,109,3
104,VfB Stuttgart-FC Augsburg,109,3
65,Mainz 05-Eintracht Frankfurt,107,2
85,Schalke 04-SC Freiburg,106,2
121,Werder Bremen-Mainz 05,102,2
36,Borussia M'Gladbach-RB Leipzig,98,3
42,Eintracht Frankfurt-Borussia Dortmund,98,3
111,VfL Bochum-1. FC Köln,97,2
126,Wolfsburg-Borussia Dortmund,96,2
75,RB Leipzig-Wolfsburg,95,2
77,SC Freiburg-Mainz 05,92,3
81,Schalke 04-Bayern München,90,2
120,Werder Bremen-Hertha BSC,85,1
53,FC Augsburg-Wolfsburg,82,2
113,VfL Bochum-Borussia M'Gladbach,81,3
26,Borussia Dortmund-Schalke 04,78,1
48,FC Augsburg-Eintracht Frankfurt,78,3
22,Bayern München-Wolfsburg,76,2
99,Union Berlin-FC Augsburg,76,4
109,VfB Stuttgart-Union Berlin,76,1
29,Borussia Dortmund-VfL Bochum,65,3
55,Hertha BSC-1. FC Köln,63,2
119,Werder Bremen-FC Augsburg,63,1
62,Hertha BSC-TSG Hoffenheim,62,2
46,Eintracht Frankfurt-Wolfsburg,60,1
47,FC Augsburg-Bayern München,59,1
52,FC Augsburg-VfL Bochum,58,1
35,Borussia M'Gladbach-Mainz 05,55,1
89,TSG Hoffenheim-Bayern München,55,2
45,Eintracht Frankfurt-Union Berlin,54,2
59,Hertha BSC-Eintracht Frankfurt,51,2
5,1. FC Köln-TSG Hoffenheim,48,2
79,SC Freiburg-VfL Bochum,48,1
91,TSG Hoffenheim-FC Augsburg,39,1
106,VfB Stuttgart-RB Leipzig,39,2
108,VfB Stuttgart-Schalke 04,39,2
34,Borussia M'Gladbach-Hertha BSC,34,1
58,Hertha BSC-Borussia Dortmund,32,1
97,Union Berlin-Borussia Dortmund,29,2
96,Union Berlin-Bayern München,27,2
27,Borussia Dortmund-TSG Hoffenheim,16,1
107,VfB Stuttgart-SC Freiburg,11,1
24,Borussia Dortmund-Bayer Leverkusen,10,1
84,Schalke 04-Mainz 05,10,1
6,1. FC Köln-Union Berlin,3,1
