MatchNumber,RoundNumber,Location,Date,Home_Team,Away_Team
1,1,stadium,7/23/2021,Sturm Graz,Salzburg
2,1,stadium,7/24/2021,Altach,LASK
3,1,stadium,7/24/2021,Rapid Vienna,Hartberg
4,1,stadium,7/24/2021,Tirol,Admira
5,1,stadium,7/25/2021,Ried,Austria Vienna
6,1,stadium,7/25/2021,A. Klagenfurt,Wolfsberger AC
7,1,stadium,7/31/2021,Admira,A. Klagenfurt
8,1,stadium,7/31/2021,Hartberg,Altach
9,1,stadium,7/31/2021,LASK,Rapid Vienna
10,1,stadium,8/1/2021,Salzburg,Ried
11,1,stadium,8/1/2021,Austria Vienna,Tirol
12,1,stadium,8/1/2021,Wolfsberger AC,Sturm Graz
13,1,stadium,8/7/2021,A. Klagenfurt,Hartberg
14,1,stadium,8/7/2021,Rapid Vienna,Wolfsberger AC
15,1,stadium,8/7/2021,Sturm Graz,Altach
16,1,stadium,8/8/2021,Salzburg,Austria Vienna
17,1,stadium,8/8/2021,Ried,Admira
18,1,stadium,8/8/2021,Tirol,LASK
19,1,stadium,8/14/2021,Admira,Salzburg
20,1,stadium,8/14/2021,Hartberg,Ried
21,1,stadium,8/14/2021,Altach,Rapid Vienna
22,1,stadium,8/15/2021,Wolfsberger AC,Tirol
23,1,stadium,8/15/2021,Austria Vienna,A. Klagenfurt
24,1,stadium,8/15/2021,LASK,Sturm Graz
25,1,stadium,8/21/2021,Wolfsberger AC,Admira
26,1,stadium,8/21/2021,Rapid Vienna,Ried
27,1,stadium,8/21/2021,Salzburg,A. Klagenfurt
28,1,stadium,8/22/2021,Tirol,Altach
29,1,stadium,8/22/2021,LASK,Hartberg
30,1,stadium,8/22/2021,Sturm Graz,Austria Vienna
31,1,stadium,8/28/2021,A. Klagenfurt,Tirol
32,1,stadium,8/28/2021,Altach,Wolfsberger AC
33,1,stadium,8/28/2021,Hartberg,Salzburg
34,1,stadium,8/29/2021,Admira,Sturm Graz
