"","ec_division","ec_teams","ec_avg_HG","ec_home_as","ec_home_ds","ec_totalgames_poiss"
"1","EC","Aldershot","1.5347","0.4344","1.5319","no12"
"2","EC","Altrincham","1.5347","1.4118","1.0212","no12"
"3","EC","Barnet","1.5347","0.4344","1.5319","no12"
"4","EC","Boreham Wood","1.5347","0.9308","0.3283","no12"
"5","EC","Bromley","1.5347","1.3963","0.4377","no12"
"6","EC","Chesterfield","1.5347","1.4118","0.8936","no12"
"7","EC","Dag and Red","1.5347","2.0479","1.313","no12"
"8","EC","Dover Athletic","1.5347","0.3723","1.2036","no12"
"9","EC","Eastleigh","1.5347","1.4118","1.2766","no12"
"10","EC","Grimsby","1.5347","1.9548","0.5106","no12"
"11","EC","Halifax","1.5347","1.3963","0.5471","no12"
"12","EC","Kings Lynn","1.5347","0.1862","0.9848","no12"
"13","EC","Maidenhead","1.5347","1.3032","1.5319","no12"
"14","EC","Notts County","1.5347","1.117","1.2036","no12"
"15","EC","Solihull","1.5347","1.3032","0.9848","no12"
"16","EC","Southend","1.5347","0.6516","1.5319","no12"
"17","EC","Stockport","1.5347","0.543","1.1489","no12"
"18","EC","Torquay","1.5347","1.086","1.2766","no12"
"19","EC","Wealdstone","1.5347","0.5585","0.6565","no12"
"20","EC","Weymouth","1.5347","0.7602","1.0212","no12"
"21","EC","Woking","1.5347","0.9774","0.9574","no12"
"22","EC","Wrexham","1.5347","0.6516","0.383","no12"
"23","EC","Yeovil","1.5347","0.4654","0.7659","no12"
