"","ec_division","ec_teams","ec_avg_HG","ec_home_as","ec_home_ds","ec_totalgames_poiss"
"1","EC","Aldershot","1.4815","0.6075","1.5","no18"
"2","EC","Altrincham","1.4815","1.125","1","no18"
"3","EC","Barnet","1.4815","0.825","1.1667","no18"
"4","EC","Boreham Wood","1.4815","1.125","0.3333","no18"
"5","EC","Bromley","1.4815","1.485","0.75","no18"
"6","EC","Chesterfield","1.4815","1.6031","0.8438","no18"
"7","EC","Dag and Red","1.4815","1.6875","1.2","no18"
"8","EC","Dover Athletic","1.4815","0.4725","1.35","no18"
"9","EC","Eastleigh","1.4815","1.08","0.975","no18"
"10","EC","Grimsby","1.4815","1.425","0.5","no18"
"11","EC","Halifax","1.4815","1.35","0.5833","no18"
"12","EC","Kings Lynn","1.4815","0.405","1.275","no18"
"13","EC","Maidenhead","1.4815","1.125","1.8334","no18"
"14","EC","Notts County","1.4815","1.35","0.975","no18"
"15","EC","Solihull","1.4815","1.1045","0.75","no18"
"16","EC","Southend","1.4815","0.8437","1.3125","no18"
"17","EC","Stockport","1.4815","0.9281","0.9375","no18"
"18","EC","Torquay","1.4815","1.2","1.25","no18"
"19","EC","Wealdstone","1.4815","0.54","0.825","no18"
"20","EC","Weymouth","1.4815","0.81","1.275","no18"
"21","EC","Woking","1.4815","0.825","1.25","no18"
"22","EC","Wrexham","1.4815","0.6","0.4167","no18"
"23","EC","Yeovil","1.4815","0.6075","0.675","no18"
