MatchNumber,RoundNumber,Date,Location,Home_Team,Away_Team
1,1,30/09/2023,england,Barnsley,Blackpool
2,1,14/10/2023,england,Barnsley,Bolton
3,1,13/01/2024,england,Barnsley,Bristol Rvs
4,1,16/09/2023,england,Barnsley,Burton
5,1,29/03/2024,england,Barnsley,Cambridge
6,1,18/11/2023,england,Barnsley,Carlisle
7,1,16/12/2023,england,Barnsley,Charlton
8,1,16/03/2024,england,Barnsley,Cheltenham
9,1,24/02/2024,england,Barnsley,Derby
10,1,27/01/2024,england,Barnsley,Exeter
11,1,28/10/2023,england,Barnsley,Fleetwood Town
12,1,10/2/2024,england,Barnsley,Leyton Orient
13,1,9/3/2024,england,Barnsley,Lincoln
14,1,27/04/2024,england,Barnsley,Northampton
15,1,19/08/2023,england,Barnsley,Oxford
16,1,15/08/2023,england,Barnsley,Peterboro
17,1,5/8/2023,england,Barnsley,Port Vale
18,1,19/09/2023,england,Barnsley,Portsmouth
19,1,13/04/2024,england,Barnsley,Reading
20,1,24/10/2023,england,Barnsley,Shrewsbury
21,1,23/12/2023,england,Barnsley,Stevenage
22,1,1/1/2024,england,Barnsley,Wigan
23,1,28/11/2023,england,Barnsley,Wycombe
24,1,20/04/2024,england,Blackpool,Barnsley
25,1,24/02/2024,england,Blackpool,Bolton
26,1,23/12/2023,england,Blackpool,Bristol Rvs
27,1,5/8/2023,england,Blackpool,Burton
28,1,6/4/2024,england,Blackpool,Cambridge
29,1,9/12/2023,england,Blackpool,Carlisle
30,1,27/01/2024,england,Blackpool,Charlton
31,1,24/10/2023,england,Blackpool,Cheltenham
32,1,3/10/2023,england,Blackpool,Derby
33,1,13/01/2024,england,Blackpool,Exeter
34,1,23/03/2024,england,Blackpool,Fleetwood Town
35,1,19/08/2023,england,Blackpool,Leyton Orient
36,1,1/1/2024,england,Blackpool,Lincoln
37,1,28/11/2023,england,Blackpool,Northampton
38,1,10/2/2024,england,Blackpool,Oxford
39,1,28/10/2023,england,Blackpool,Peterboro
40,1,15/08/2023,england,Blackpool,Port Vale
41,1,9/3/2024,england,Blackpool,Portsmouth
42,1,23/09/2023,england,Blackpool,Reading
43,1,18/11/2023,england,Blackpool,Shrewsbury
44,1,14/10/2023,england,Blackpool,Stevenage
45,1,2/9/2023,england,Blackpool,Wigan
46,1,1/4/2024,england,Blackpool,Wycombe
47,1,3/2/2024,england,Bolton,Barnsley
48,1,11/11/2023,england,Bolton,Blackpool
49,1,16/12/2023,england,Bolton,Bristol Rvs
50,1,1/1/2024,england,Bolton,Burton
51,1,2/3/2024,england,Bolton,Cambridge
52,1,7/10/2023,england,Bolton,Carlisle
53,1,17/02/2024,england,Bolton,Charlton
54,1,13/01/2024,england,Bolton,Cheltenham
55,1,2/9/2023,england,Bolton,Derby
56,1,25/11/2023,england,Bolton,Exeter
57,1,15/08/2023,england,Bolton,Fleetwood Town
58,1,23/12/2023,england,Bolton,Leyton Orient
59,1,5/8/2023,england,Bolton,Lincoln
60,1,21/10/2023,england,Bolton,Northampton
61,1,12/3/2024,england,Bolton,Oxford
62,1,23/09/2023,england,Bolton,Peterboro
63,1,20/04/2024,england,Bolton,Port Vale
64,1,13/04/2024,england,Bolton,Portsmouth
65,1,1/4/2024,england,Bolton,Reading
66,1,23/03/2024,england,Bolton,Shrewsbury
67,1,3/10/2023,england,Bolton,Stevenage
68,1,19/08/2023,england,Bolton,Wigan
69,1,13/02/2024,england,Bolton,Wycombe
70,1,12/8/2023,england,Bristol Rvs,Barnsley
71,1,20/01/2024,england,Bristol Rvs,Blackpool
72,1,6/4/2024,england,Bristol Rvs,Bolton
73,1,10/2/2024,england,Bristol Rvs,Burton
74,1,6/1/2024,england,Bristol Rvs,Cambridge
75,1,24/02/2024,england,Bristol Rvs,Carlisle
76,1,29/12/2023,england,Bristol Rvs,Charlton
77,1,9/12/2023,england,Bristol Rvs,Cheltenham
78,1,9/3/2024,england,Bristol Rvs,Derby
79,1,14/10/2023,england,Bristol Rvs,Exeter
80,1,18/11/2023,england,Bristol Rvs,Fleetwood Town
81,1,28/11/2023,england,Bristol Rvs,Leyton Orient
82,1,2/9/2023,england,Bristol Rvs,Lincoln
83,1,28/10/2023,england,Bristol Rvs,Northampton
