"","final_first_column_sc0div","final_second_column_sc0div"
"1","Aberdeen","St Mirren"
"2","Aberdeen","St Mirren"
"3","Aberdeen","St Mirren"
"4","Aberdeen","St Mirren"
"5","St Mirren","Aberdeen"
"6","St Mirren","Aberdeen"
"7","St Mirren","Aberdeen"
"8","St Mirren","Aberdeen"
"9","Motherwell","St Johnstone"
"10","Motherwell","St Johnstone"
"11","Motherwell","St Johnstone"
"12","Motherwell","St Johnstone"
"13","St Johnstone","Motherwell"
"14","St Johnstone","Motherwell"
"15","St Johnstone","Motherwell"
"16","St Johnstone","Motherwell"
"17","Rangers","Kilmarnock"
"18","Rangers","Kilmarnock"
"19","Rangers","Kilmarnock"
"20","Rangers","Kilmarnock"
"21","Kilmarnock","Rangers"
"22","Kilmarnock","Rangers"
"23","Kilmarnock","Rangers"
"24","Kilmarnock","Rangers"
"25","Ross County","Celtic"
"26","Ross County","Celtic"
"27","Ross County","Celtic"
"28","Ross County","Celtic"
"29","Celtic","Ross County"
"30","Celtic","Ross County"
"31","Celtic","Ross County"
"32","Celtic","Ross County"
"33","Hibernian","Hearts"
"34","Hibernian","Hearts"
"35","Hibernian","Hearts"
"36","Hibernian","Hearts"
"37","Hearts","Hibernian"
"38","Hearts","Hibernian"
"39","Hearts","Hibernian"
"40","Hearts","Hibernian"
"41","Dundee United","Livingston"
"42","Dundee United","Livingston"
"43","Dundee United","Livingston"
"44","Dundee United","Livingston"
"45","Livingston","Dundee United"
"46","Livingston","Dundee United"
"47","Livingston","Dundee United"
"48","Livingston","Dundee United"
