"","i2_division","i2_teams","i2_avg_HG","i2_home_as","i2_home_ds","i2_totalgames_poiss"
"1","I2","Alessandria","1.3444","0.4959","1.1009","18"
"2","I2","Ascoli","1.3444","0.6612","1.1927","18"
"3","I2","Benevento","1.3444","1.562","0.9083","18"
"4","I2","Brescia","1.3444","1.0744","1.1009","18"
"5","I2","Cittadella","1.3444","1.1571","0.734","18"
"6","I2","Como","1.3444","0.8265","0.734","18"
"7","I2","Cosenza","1.3444","0.7438","0.8257","18"
"8","I2","Cremonese","1.3444","1.1571","0.8257","18"
"9","I2","Crotone","1.3444","0.967","1.3211","18"
"10","I2","Frosinone","1.3444","1.1157","0.8257","18"
"11","I2","Lecce","1.3444","1.7666","0.7225","18"
"12","I2","Monza","1.3444","1.5806","0.7225","18"
"13","I2","Parma","1.3444","0.5579","0.6193","18"
"14","I2","Perugia","1.3444","0.8265","0.8257","18"
"15","I2","Pisa","1.3444","0.9918","0.367","18"
"16","I2","Pordenone","1.3444","0.7438","1.5596","18"
"17","I2","Reggina","1.3444","0.7438","1.1927","18"
"18","I2","Spal","1.3444","1.3224","1.4679","18"
"19","I2","Ternana","1.3444","1.1157","1.3211","18"
"20","I2","Vicenza","1.3444","0.5579","1.5482","18"
