"","MatchNumber","RoundNumber","Date","Location","Home_Team","Away_Team"
"1","  1","1","7/23/2021","Stadium","Schalke 04","Hamburg"
"2","  2","1","7/24/2021","Stadium","Werder Bremen","Hannover"
"3","  3","1","7/24/2021","Stadium","Dresden","Ingolstadt"
"4","  4","1","7/24/2021","Stadium","Darmstadt","Regensburg"
"5","  5","1","7/24/2021","Stadium","Hansa Rostock","Karlsruhe"
"6","  6","1","7/24/2021","Stadium","Heidenheim","Paderborn"
"7","  7","1","7/25/2021","Stadium","Sandhausen","Fortuna Dusseldorf"
"8","  8","1","7/25/2021","Stadium","Nurnberg","Erzgebirge Aue"
"9","  9","1","7/25/2021","Stadium","St Pauli","Holstein Kiel"
"10"," 10","1","7/30/2021","Stadium","Karlsruhe","Darmstadt"
"11"," 11","1","7/30/2021","Stadium","Paderborn","Nurnberg"
"12"," 12","1","7/31/2021","Stadium","Hannover","Hansa Rostock"
"13"," 13","1","7/31/2021","Stadium","Ingolstadt","Heidenheim"
"14"," 14","1","7/31/2021","Stadium","Regensburg","Sandhausen"
"15"," 15","1","7/31/2021","Stadium","Fortuna Dusseldorf","Werder Bremen"
"16"," 16","1","8/1/2021","Stadium","Hamburg","Dresden"
"17"," 17","1","8/1/2021","Stadium","Holstein Kiel","Schalke 04"
"18"," 18","1","8/1/2021","Stadium","Erzgebirge Aue","St Pauli"
"19"," 19","1","8/13/2021","Stadium","Schalke 04","Erzgebirge Aue"
"20"," 20","1","8/13/2021","Stadium","St Pauli","Hamburg"
"21"," 21","1","8/14/2021","Stadium","Nurnberg","Fortuna Dusseldorf"
"22"," 22","1","8/14/2021","Stadium","Dresden","Hannover"
"23"," 23","1","8/14/2021","Stadium","Holstein Kiel","Regensburg"
"24"," 24","1","8/14/2021","Stadium","Sandhausen","Karlsruhe"
"25"," 25","1","8/15/2021","Stadium","Heidenheim","Hansa Rostock"
"26"," 26","1","8/15/2021","Stadium","Darmstadt","Ingolstadt"
"27"," 27","1","8/15/2021","Stadium","Werder Bremen","Paderborn"
"28"," 28","1","8/20/2021","Stadium","Hannover","Heidenheim"
"29"," 29","1","8/20/2021","Stadium","Fortuna Dusseldorf","Holstein Kiel"
"30"," 30","1","8/21/2021","Stadium","Hansa Rostock","Dresden"
"31"," 31","1","8/21/2021","Stadium","Regensburg","Schalke 04"
"32"," 32","1","8/21/2021","Stadium","Paderborn","St Pauli"
"33"," 33","1","8/21/2021","Stadium","Karlsruhe","Werder Bremen"
"34"," 34","1","8/22/2021","Stadium","Hamburg","Darmstadt"
"35"," 35","1","8/22/2021","Stadium","Ingolstadt","Nurnberg"
"36"," 36","1","8/22/2021","Stadium","Erzgebirge Aue","Sandhausen"
"37"," 37","1","8/27/2021","Stadium","Sandhausen","Ingolstadt"
"38"," 38","1","8/27/2021","Stadium","Nurnberg","Karlsruhe"
"39"," 39","1","8/28/2021","Stadium","Schalke 04","Fortuna Dusseldorf"
"40"," 40","1","8/28/2021","Stadium","Holstein Kiel","Erzgebirge Aue"
"41"," 41","1","8/28/2021","Stadium","Heidenheim","Hamburg"
"42"," 42","1","8/28/2021","Stadium","Darmstadt","Hannover"
"43"," 43","1","8/29/2021","Stadium","Werder Bremen","Hansa Rostock"
"44"," 44","1","8/29/2021","Stadium","St Pauli","Regensburg"
"45"," 45","1","8/29/2021","Stadium","Dresden","Paderborn"
"46"," 46","1","9/11/2021","Stadium","Karlsruhe","Holstein Kiel"
"47"," 47","1","9/11/2021","Stadium","Hamburg","Sandhausen"
"48"," 48","1","9/11/2021","Stadium","Hannover","St Pauli"
"49"," 49","1","9/11/2021","Stadium","Ingolstadt","Werder Bremen"
"50"," 50","1","9/12/2021","Stadium","Erzgebirge Aue","Fortuna Dusseldorf"
"51"," 51","1","9/12/2021","Stadium","Hansa Rostock","Darmstadt"
"52"," 52","1","9/12/2021","Stadium","Heidenheim","Dresden"
"53"," 53","1","9/12/2021","Stadium","Regensburg","Nurnberg"
"54"," 54","1","9/12/2021","Stadium","Paderborn","Schalke 04"
"55"," 55","1","9/17/2021","Stadium","Nurnberg","Hansa Rostock"
"56"," 56","1","9/17/2021","Stadium","Schalke 04","Karlsruhe"
"57"," 57","1","9/18/2021","Stadium","Werder Bremen","Hamburg"
"58"," 58","1","9/18/2021","Stadium","Holstein Kiel","Hannover"
"59"," 59","1","9/18/2021","Stadium","Sandhausen","Heidenheim"
"60"," 60","1","9/18/2021","Stadium","Fortuna Dusseldorf","Regensburg"
"61"," 61","1","9/19/2021","Stadium","Darmstadt","Dresden"
"62"," 62","1","9/19/2021","Stadium","St Pauli","Ingolstadt"
"63"," 63","1","9/19/2021","Stadium","Erzgebirge Aue","Paderborn"
"64"," 64","1","9/24/2021","Stadium","Heidenheim","Darmstadt"
"65"," 65","1","9/24/2021","Stadium","Regensburg","Erzgebirge Aue"
"66"," 66","1","9/25/2021","Stadium","Ingolstadt","Fortuna Dusseldorf"
"67"," 67","1","9/25/2021","Stadium","Paderborn","Holstein Kiel"
"68"," 68","1","9/25/2021","Stadium","Hansa Rostock","Schalke 04"
"69"," 69","1","9/25/2021","Stadium","Karlsruhe","St Pauli"
"70"," 70","1","9/26/2021","Stadium","Hamburg","Nurnberg"
"71"," 71","1","9/26/2021","Stadium","Hannover","Sandhausen"
"72"," 72","1","9/26/2021","Stadium","Dresden","Werder Bremen"
"73"," 73","1","10/3/2021","Stadium","Sandhausen","Darmstadt"
"74"," 74","1","10/3/2021","Stadium","St Pauli","Dresden"
"75"," 75","1","10/3/2021","Stadium","Erzgebirge Aue","Hamburg"
"76"," 76","1","10/3/2021","Stadium","Nurnberg","Hannover"
"77"," 77","1","10/3/2021","Stadium","Holstein Kiel","Hansa Rostock"
"78"," 78","1","10/3/2021","Stadium","Werder Bremen","Heidenheim"
"79"," 79","1","10/3/2021","Stadium","Schalke 04","Ingolstadt"
"80"," 80","1","10/3/2021","Stadium","Regensburg","Karlsruhe"
"81"," 81","1","10/3/2021","Stadium","Fortuna Dusseldorf","Paderborn"
"82"," 82","1","10/17/2021","Stadium","Hamburg","Fortuna Dusseldorf"
"83"," 83","1","10/17/2021","Stadium","Karlsruhe","Erzgebirge Aue"
"84"," 84","1","10/17/2021","Stadium","Ingolstadt","Holstein Kiel"
"85"," 85","1","10/17/2021","Stadium","Paderborn","Regensburg"
"86"," 86","1","10/17/2021","Stadium","Dresden","Nurnberg"
"87"," 87","1","10/17/2021","Stadium","Hansa Rostock","Sandhausen"
"88"," 88","1","10/17/2021","Stadium","Hannover","Schalke 04"
"89"," 89","1","10/17/2021","Stadium","Heidenheim","St Pauli"
"90"," 90","1","10/17/2021","Stadium","Darmstadt","Werder Bremen"
"91"," 91","1","10/24/2021","Stadium","Holstein Kiel","Darmstadt"
"92"," 92","1","10/24/2021","Stadium","Schalke 04","Dresden"
"93"," 93","1","10/24/2021","Stadium","Paderborn","Hamburg"
"94"," 94","1","10/24/2021","Stadium","Regensburg","Hannover"
"95"," 95","1","10/24/2021","Stadium","St Pauli","Hansa Rostock"
"96"," 96","1","10/24/2021","Stadium","Nurnberg","Heidenheim"
"97"," 97","1","10/24/2021","Stadium","Erzgebirge Aue","Ingolstadt"
"98"," 98","1","10/24/2021","Stadium","Fortuna Dusseldorf","Karlsruhe"
"99"," 99","1","10/24/2021","Stadium","Sandhausen","Werder Bremen"
"100","100","1","10/31/2021","Stadium","Hansa Rostock","Fortuna Dusseldorf"
"101","101","1","10/31/2021","Stadium","Hannover","Erzgebirge Aue"
"102","102","1","10/31/2021","Stadium","Hamburg","Holstein Kiel"
"103","103","1","10/31/2021","Stadium","Ingolstadt","Regensburg"
"104","104","1","10/31/2021","Stadium","Darmstadt","Nurnberg"
"105","105","1","10/31/2021","Stadium","Karlsruhe","Paderborn"
"106","106","1","10/31/2021","Stadium","Dresden","Sandhausen"
"107","107","1","10/31/2021","Stadium","Heidenheim","Schalke 04"
"108","108","1","10/31/2021","Stadium","Werder Bremen","St Pauli"
"109","109","1","11/7/2021","Stadium","Schalke 04","Darmstadt"
"110","110","1","11/7/2021","Stadium","Holstein Kiel","Dresden"
"111","111","1","11/7/2021","Stadium","Karlsruhe","Hamburg"
"112","112","1","11/7/2021","Stadium","Fortuna Dusseldorf","Hannover"
"113","113","1","11/7/2021","Stadium","Regensburg","Hansa Rostock"
"114","114","1","11/7/2021","Stadium","Erzgebirge Aue","Heidenheim"
"115","115","1","11/7/2021","Stadium","Paderborn","Ingolstadt"
"116","116","1","11/7/2021","Stadium","St Pauli","Sandhausen"
"117","117","1","11/7/2021","Stadium","Nurnberg","Werder Bremen"
"118","118","1","11/21/2021","Stadium","Dresden","Fortuna Dusseldorf"
"119","119","1","11/21/2021","Stadium","Hansa Rostock","Erzgebirge Aue"
"120","120","1","11/21/2021","Stadium","Heidenheim","Holstein Kiel"
"121","121","1","11/21/2021","Stadium","Hamburg","Regensburg"
"122","122","1","11/21/2021","Stadium","Ingolstadt","Karlsruhe"
"123","123","1","11/21/2021","Stadium","Sandhausen","Nurnberg"
"124","124","1","11/21/2021","Stadium","Hannover","Paderborn"
"125","125","1","11/21/2021","Stadium","Werder Bremen","Schalke 04"
"126","126","1","11/21/2021","Stadium","Darmstadt","St Pauli"
"127","127","1","11/28/2021","Stadium","Erzgebirge Aue","Darmstadt"
"128","128","1","11/28/2021","Stadium","Regensburg","Dresden"
"129","129","1","11/28/2021","Stadium","Karlsruhe","Hannover"
