"","final_first_column_e1div","final_second_column_e1div"
"1","Birmingham","Huddersfield"
"2","Birmingham","Huddersfield"
"3","Birmingham","Huddersfield"
"4","Birmingham","Huddersfield"
"5","Huddersfield","Birmingham"
"6","Huddersfield","Birmingham"
"7","Huddersfield","Birmingham"
"8","Huddersfield","Birmingham"
"9","Norwich","Wigan"
"10","Norwich","Wigan"
"11","Norwich","Wigan"
"12","Norwich","Wigan"
"13","Wigan","Norwich"
"14","Wigan","Norwich"
"15","Wigan","Norwich"
"16","Wigan","Norwich"
"17","Bristol City","Sunderland"
"18","Bristol City","Sunderland"
"19","Bristol City","Sunderland"
"20","Bristol City","Sunderland"
"21","Sunderland","Bristol City"
"22","Sunderland","Bristol City"
"23","Sunderland","Bristol City"
"24","Sunderland","Bristol City"
"25","Burnley","Luton"
"26","Burnley","Luton"
"27","Burnley","Luton"
"28","Burnley","Luton"
"29","Luton","Burnley"
"30","Luton","Burnley"
"31","Luton","Burnley"
"32","Luton","Burnley"
"33","Preston","Hull"
"34","Preston","Hull"
"35","Preston","Hull"
"36","Preston","Hull"
"37","Hull","Preston"
"38","Hull","Preston"
"39","Hull","Preston"
"40","Hull","Preston"
"41","QPR","Middlesbrough"
"42","QPR","Middlesbrough"
"43","QPR","Middlesbrough"
"44","QPR","Middlesbrough"
"45","Middlesbrough","QPR"
"46","Middlesbrough","QPR"
"47","Middlesbrough","QPR"
"48","Middlesbrough","QPR"
"49","Reading","Cardiff"
"50","Reading","Cardiff"
"51","Reading","Cardiff"
"52","Reading","Cardiff"
"53","Cardiff","Reading"
"54","Cardiff","Reading"
"55","Cardiff","Reading"
"56","Cardiff","Reading"
"57","Sheffield United","Millwall"
"58","Sheffield United","Millwall"
"59","Sheffield United","Millwall"
"60","Sheffield United","Millwall"
"61","Millwall","Sheffield United"
"62","Millwall","Sheffield United"
"63","Millwall","Sheffield United"
"64","Millwall","Sheffield United"
"65","Stoke","Blackpool"
"66","Stoke","Blackpool"
"67","Stoke","Blackpool"
"68","Stoke","Blackpool"
"69","Blackpool","Stoke"
"70","Blackpool","Stoke"
"71","Blackpool","Stoke"
"72","Blackpool","Stoke"
"73","Swansea","Blackburn"
"74","Swansea","Blackburn"
"75","Swansea","Blackburn"
"76","Swansea","Blackburn"
"77","Blackburn","Swansea"
"78","Blackburn","Swansea"
"79","Blackburn","Swansea"
"80","Blackburn","Swansea"
"81","Coventry","Rotherham"
"82","Coventry","Rotherham"
"83","Coventry","Rotherham"
"84","Coventry","Rotherham"
"85","Rotherham","Coventry"
"86","Rotherham","Coventry"
"87","Rotherham","Coventry"
"88","Rotherham","Coventry"
"89","West Brom","Watford"
"90","West Brom","Watford"
"91","West Brom","Watford"
"92","West Brom","Watford"
"93","Watford","West Brom"
"94","Watford","West Brom"
"95","Watford","West Brom"
"96","Watford","West Brom"
