"","MatchNumber","RoundNumber","Date","Location","Home_Team","Away_Team"
"1","  1","1","7/23/2021","stadium","Standard","Genk"
"2","  2","1","7/24/2021","stadium","Beerschot VA","Cercle Brugge"
"3","  3","1","7/24/2021","stadium","Oostende","Charleroi"
"4","  4","1","7/24/2021","stadium","Kortrijk","Seraing"
"5","  5","1","7/24/2021","stadium","Oud-Heverlee Leuven","Waregem"
"6","  6","1","7/25/2021","stadium","Mechelen","Antwerp"
"7","  7","1","7/25/2021","stadium","Club Brugge","Eupen"
"8","  8","1","7/25/2021","stadium","St Truiden","Gent"
"9","  9","1","7/25/2021","stadium","Anderlecht","St. Gilloise"
"10"," 10","1","7/30/2021","stadium","Genk","Oostende"
"11"," 11","1","7/31/2021","stadium","Eupen","Anderlecht"
"12"," 12","1","7/31/2021","stadium","Seraing","Mechelen"
"13"," 13","1","7/31/2021","stadium","Cercle Brugge","Oud-Heverlee Leuven"
"14"," 14","1","7/31/2021","stadium","Charleroi","St Truiden"
"15"," 15","1","8/1/2021","stadium","Gent","Beerschot VA"
"16"," 16","1","8/1/2021","stadium","St. Gilloise","Club Brugge"
"17"," 17","1","8/1/2021","stadium","Antwerp","Kortrijk"
"18"," 18","1","8/1/2021","stadium","Waregem","Standard"
"19"," 19","1","8/6/2021","stadium","Club Brugge","Cercle Brugge"
"20"," 20","1","8/7/2021","stadium","Mechelen","Eupen"
"21"," 21","1","8/7/2021","stadium","Kortrijk","Genk"
"22"," 22","1","8/7/2021","stadium","Beerschot VA","St. Gilloise"
"23"," 23","1","8/7/2021","stadium","St Truiden","Waregem"
"24"," 24","1","8/8/2021","stadium","Standard","Antwerp"
"25"," 25","1","8/8/2021","stadium","Oud-Heverlee Leuven","Charleroi"
"26"," 26","1","8/8/2021","stadium","Oostende","Gent"
"27"," 27","1","8/8/2021","stadium","Anderlecht","Seraing"
"28"," 28","1","8/13/2021","stadium","Charleroi","Antwerp"
"29"," 29","1","8/14/2021","stadium","St. Gilloise","Kortrijk"
"30"," 30","1","8/14/2021","stadium","Genk","Oud-Heverlee Leuven"
"31"," 31","1","8/14/2021","stadium","Seraing","Oostende"
"32"," 32","1","8/14/2021","stadium","Eupen","St Truiden"
"33"," 33","1","8/15/2021","stadium","Cercle Brugge","Anderlecht"
"34"," 34","1","8/15/2021","stadium","Waregem","Club Brugge"
"35"," 35","1","8/15/2021","stadium","Gent","Mechelen"
"36"," 36","1","8/15/2021","stadium","Beerschot VA","Standard"
"37"," 37","1","8/20/2021","stadium","Antwerp","Genk"
"38"," 38","1","8/20/2021","stadium","Standard","Oostende"
"39"," 39","1","8/21/2021","stadium","Seraing","Cercle Brugge"
"40"," 40","1","8/21/2021","stadium","Oud-Heverlee Leuven","Eupen"
"41"," 41","1","8/21/2021","stadium","St Truiden","Kortrijk"
"42"," 42","1","8/22/2021","stadium","Club Brugge","Beerschot VA"
"43"," 43","1","8/22/2021","stadium","Waregem","Charleroi"
"44"," 44","1","8/22/2021","stadium","Anderlecht","Gent"
"45"," 45","1","8/22/2021","stadium","Mechelen","St. Gilloise"
"46"," 46","1","8/27/2021","stadium","Kortrijk","Mechelen"
"47"," 47","1","8/28/2021","stadium","Charleroi","Beerschot VA"
"48"," 48","1","8/28/2021","stadium","Eupen","Seraing"
"49"," 49","1","8/28/2021","stadium","Cercle Brugge","St Truiden"
"50"," 50","1","8/28/2021","stadium","St. Gilloise","Standard"
"51"," 51","1","8/29/2021","stadium","Genk","Anderlecht"
"52"," 52","1","8/29/2021","stadium","Gent","Club Brugge"
"53"," 53","1","8/29/2021","stadium","Antwerp","Oud-Heverlee Leuven"
"54"," 54","1","8/29/2021","stadium","Oostende","Waregem"
"55"," 55","1","9/11/2021","stadium","Eupen","Antwerp"
"56"," 56","1","9/11/2021","stadium","Waregem","Cercle Brugge"
"57"," 57","1","9/11/2021","stadium","Gent","Charleroi"
"58"," 58","1","9/11/2021","stadium","Oud-Heverlee Leuven","Kortrijk"
"59"," 59","1","9/11/2021","stadium","Anderlecht","Mechelen"
"60"," 60","1","9/11/2021","stadium","Club Brugge","Oostende"
"61"," 61","1","9/11/2021","stadium","Beerschot VA","St Truiden"
"62"," 62","1","9/11/2021","stadium","Seraing","Standard"
"63"," 63","1","9/11/2021","stadium","Genk","St. Gilloise"
"64"," 64","1","9/18/2021","stadium","Standard","Anderlecht"
"65"," 65","1","9/18/2021","stadium","Oostende","Beerschot VA"
"66"," 66","1","9/18/2021","stadium","Charleroi","Club Brugge"
"67"," 67","1","9/18/2021","stadium","Cercle Brugge","Eupen"
"68"," 68","1","9/18/2021","stadium","St Truiden","Genk"
"69"," 69","1","9/18/2021","stadium","Kortrijk","Gent"
"70"," 70","1","9/18/2021","stadium","Mechelen","Oud-Heverlee Leuven"
"71"," 71","1","9/18/2021","stadium","Antwerp","Seraing"
"72"," 72","1","9/18/2021","stadium","St. Gilloise","Waregem"
"73"," 73","1","9/25/2021","stadium","Oostende","Anderlecht"
"74"," 74","1","9/25/2021","stadium","St. Gilloise","Antwerp"
"75"," 75","1","9/25/2021","stadium","Gent","Cercle Brugge"
"76"," 76","1","9/25/2021","stadium","Beerschot VA","Eupen"
"77"," 77","1","9/25/2021","stadium","Waregem","Kortrijk"
"78"," 78","1","9/25/2021","stadium","Charleroi","Mechelen"
"79"," 79","1","9/25/2021","stadium","Club Brugge","Oud-Heverlee Leuven"
"80"," 80","1","9/25/2021","stadium","Genk","Seraing"
"81"," 81","1","9/25/2021","stadium","Standard","St Truiden"
"82"," 82","1","10/2/2021","stadium","Oud-Heverlee Leuven","Beerschot VA"
"83"," 83","1","10/2/2021","stadium","Kortrijk","Charleroi"
"84"," 84","1","10/2/2021","stadium","Anderlecht","Club Brugge"
"85"," 85","1","10/2/2021","stadium","Eupen","Genk"
"86"," 86","1","10/2/2021","stadium","Antwerp","Gent"
"87"," 87","1","10/2/2021","stadium","St Truiden","Oostende"
"88"," 88","1","10/2/2021","stadium","Mechelen","Standard"
"89"," 89","1","10/2/2021","stadium","Cercle Brugge","St. Gilloise"
"90"," 90","1","10/2/2021","stadium","Seraing","Waregem"
"91"," 91","1","10/16/2021","stadium","St Truiden","Anderlecht"
"92"," 92","1","10/16/2021","stadium","Waregem","Antwerp"
"93"," 93","1","10/16/2021","stadium","Oostende","Cercle Brugge"
"94"," 94","1","10/16/2021","stadium","Gent","Eupen"
"95"," 95","1","10/16/2021","stadium","Charleroi","Genk"
"96"," 96","1","10/16/2021","stadium","Club Brugge","Kortrijk"
"97"," 97","1","10/16/2021","stadium","Beerschot VA","Mechelen"
"98"," 98","1","10/16/2021","stadium","Standard","Oud-Heverlee Leuven"
"99"," 99","1","10/16/2021","stadium","St. Gilloise","Seraing"
"100","100","1","10/23/2021","stadium","Anderlecht","Beerschot VA"
"101","101","1","10/23/2021","stadium","Seraing","Charleroi"
"102","102","1","10/23/2021","stadium","Antwerp","Club Brugge"
"103","103","1","10/23/2021","stadium","Genk","Gent"
"104","104","1","10/23/2021","stadium","Kortrijk","Oostende"
"105","105","1","10/23/2021","stadium","Oud-Heverlee Leuven","St Truiden"
"106","106","1","10/23/2021","stadium","Cercle Brugge","Standard"
"107","107","1","10/23/2021","stadium","Eupen","St. Gilloise"
"108","108","1","10/23/2021","stadium","Mechelen","Waregem"
"109","109","1","10/30/2021","stadium","Cercle Brugge","Antwerp"
"110","110","1","10/30/2021","stadium","St Truiden","Club Brugge"
"111","111","1","10/30/2021","stadium","Charleroi","Eupen"
"112","112","1","10/30/2021","stadium","Waregem","Genk"
"113","113","1","10/30/2021","stadium","Standard","Kortrijk"
"114","114","1","10/30/2021","stadium","Oostende","Mechelen"
"115","115","1","10/30/2021","stadium","Anderlecht","Oud-Heverlee Leuven"
"116","116","1","10/30/2021","stadium","Beerschot VA","Seraing"
"117","117","1","10/30/2021","stadium","Gent","St. Gilloise"
