Country,League,Date,Time,Home,Away,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Argentina,Liga Profesional,23/07/2021,23:00,Atl. Tucuman,Huracan,,,,2.41,3.42,3.86,2.28,3.1,3.25
Argentina,Liga Profesional,24/07/2021,01:15,Platense,Aldosivi,,,,2.43,3.5,3.58,2.23,3.1,3.3
Argentina,Liga Profesional,24/07/2021,17:30,Colon Santa FE,Lanus,,,,2.35,3.36,3.4,2.24,3.16,3.23
Argentina,Liga Profesional,24/07/2021,19:45,San Lorenzo,Central Cordoba,,,,2.16,4.1,5.5,1.96,3.36,3.96
Argentina,Liga Profesional,24/07/2021,22:00,Racing Club,Gimnasia L.P.,,,,2.01,3.47,4.35,1.89,3.34,4.12
Argentina,Liga Profesional,25/07/2021,00:15,Banfield,Boca Juniors,,,,2.4,3.24,3.4,2.29,3.2,3.2
Argentina,Liga Profesional,25/07/2021,17:30,Defensa y Justicia,Godoy Cruz,,,,2.25,3.4,3.7,2.16,3.11,3.47
Argentina,Liga Profesional,25/07/2021,17:30,Patronato,Sarmiento Junin,,,,2.47,3.25,3.4,2.29,3.06,3.21
Argentina,Liga Profesional,25/07/2021,19:45,Rosario Central,Velez Sarsfield,,,,2.8,3.37,2.72,2.72,3.06,2.63
Argentina,Liga Profesional,25/07/2021,22:00,River Plate,Union de Santa Fe,,,,1.68,3.86,6,1.63,3.63,5.43
Argentina,Liga Profesional,26/07/2021,00:15,Estudiantes L.P.,Independiente,,,,2.6,3.19,3.03,2.52,2.96,2.94
Argentina,Liga Profesional,26/07/2021,22:00,Talleres Cordoba,Arsenal Sarandi,,,,2.1,3.45,4.05,2.03,3.21,3.7
Argentina,Liga Profesional,27/07/2021,00:15,Argentinos Jrs,Newells Old Boys,,,,2.75,3.09,2.96,2.63,2.94,2.83
Austria,Admiral Bundesliga,23/07/2021,19:30,Sturm Graz,Salzburg,5.6,4.42,1.6,5.61,4.6,1.64,5.2,4.31,1.57
Austria,Admiral Bundesliga,24/07/2021,16:00,Altach,LASK,5.91,4.34,1.57,6,4.4,1.6,5.59,4.16,1.55
Austria,Admiral Bundesliga,24/07/2021,16:00,Rapid Vienna,Hartberg,1.49,4.57,6.74,1.49,4.8,7,1.46,4.53,6.3
Austria,Admiral Bundesliga,24/07/2021,16:00,Tirol,Admira,1.83,3.81,4.42,1.86,3.9,4.47,1.79,3.73,4.24
Austria,Admiral Bundesliga,25/07/2021,16:00,A. Klagenfurt,Wolfsberger AC,4.4,3.84,1.83,4.42,3.92,1.86,4.17,3.73,1.79
Austria,Admiral Bundesliga,25/07/2021,16:00,Ried,Austria Vienna,3.09,3.74,2.26,3.09,3.76,2.31,2.96,3.6,2.22
Brazil,Serie A,24/07/2021,21:00,Gremio,America MG,1.83,3.67,4.59,1.88,3.67,5.25,1.8,3.52,4.46
Brazil,Serie A,24/07/2021,23:00,Palmeiras,Fluminense,1.71,3.56,5.85,1.79,3.72,6.1,1.71,3.49,5.28
Brazil,Serie A,25/07/2021,15:00,Atletico-MG,Bahia,1.66,3.95,5.56,1.72,3.95,6.31,1.64,3.73,5.38
Brazil,Serie A,25/07/2021,20:00,Flamengo RJ,Sao Paulo,1.68,3.94,5.35,1.75,3.97,5.7,1.66,3.73,5.09
Brazil,Serie A,25/07/2021,20:00,Fortaleza,Bragantino,2.54,3.08,3.18,2.66,3.18,3.19,2.49,3,3
Brazil,Serie A,25/07/2021,22:15,Athletico-PR,Internacional,2.5,3.16,3.15,2.6,3.24,3.25,2.44,3.06,3.03
Brazil,Serie A,25/07/2021,22:15,Santos,Atletico GO,1.87,3.4,4.85,1.91,3.5,4.86,1.84,3.3,4.52
Brazil,Serie A,26/07/2021,00:30,Sport Recife,Ceara,3.25,2.96,2.58,3.5,3.04,2.67,3.1,2.85,2.55
Brazil,Serie A,26/07/2021,22:00,Juventude,Chapecoense-SC,2.12,3.23,3.88,2.14,3.28,4.38,2.06,3.14,3.81
Brazil,Serie A,27/07/2021,00:00,Cuiaba,Corinthians,3.38,3.05,2.41,3.39,3.09,2.51,3.25,2.93,2.4
China,Super League,24/07/2021,11:00,Shandong Taishan,Chongqing Liangjiang Athletic,1.23,5.88,15.92,1.26,6.2,15.92,1.23,5.57,12.21
China,Super League,24/07/2021,11:00,Shenzhen,Henan Songshan Longmen,1.56,4.19,6.17,1.69,4.19,6.17,1.58,3.88,5.41
China,Super League,24/07/2021,13:00,Cangzhou,Qingdao FC,1.9,3.71,4.07,1.99,3.8,4.5,1.85,3.57,3.91
China,Super League,24/07/2021,13:00,Guangzhou City,Guangzhou FC,6.47,3.73,1.61,6.69,4.4,1.62,5.66,3.95,1.55
China,Super League,25/07/2021,09:30,Changchun Yatai,Dalian Pro,1.42,4.25,9.34,1.45,4.75,9.34,1.41,4.31,7.42
China,Super League,25/07/2021,09:30,Wuhan FC,Hebei,2.31,3.17,3.44,2.33,3.21,3.53,2.24,3.05,3.3
China,Super League,25/07/2021,11:30,Shanghai Port,Tianjin Jinmen Tiger,1.28,5.33,12.78,1.35,5.33,12.78,1.3,4.91,9.99
China,Super League,25/07/2021,13:30,Beijing Guoan,Shanghai Shenhua,2.92,3.4,2.48,3.1,3.55,2.51,2.78,3.33,2.39
Denmark,Superliga,24/07/2021,17:00,Aalborg,Midtjylland,2.84,3.59,2.48,2.95,3.66,2.5,2.78,3.52,2.41
Denmark,Superliga,25/07/2021,13:00,Nordsjaelland,Aarhus,2.97,4,2.24,3.11,4,2.38,2.89,3.8,2.22
Denmark,Superliga,25/07/2021,13:00,Randers FC,Odense,2.37,3.48,3.09,2.39,3.55,3.15,2.29,3.41,3.01
Denmark,Superliga,25/07/2021,15:00,FC Copenhagen,Silkeborg,1.52,4.75,5.95,1.55,4.75,6.5,1.51,4.51,5.71
Denmark,Superliga,25/07/2021,17:00,Brondby,Viborg,1.86,3.74,4.33,1.93,3.75,4.33,1.85,3.6,4.11
Denmark,Superliga,26/07/2021,18:00,Sonderjyske,Vejle,2.31,3.41,3.26,2.31,3.6,3.3,2.23,3.36,3.18
Finland,Veikkausliiga,23/07/2021,16:30,HIFK,KTP,1.51,4.07,8.07,1.51,4.27,8.4,1.47,3.99,7.62
Finland,Veikkausliiga,24/07/2021,15:00,HJK,Haka,1.4,4.93,8.62,1.42,5.13,8.62,1.38,4.73,7.72
Finland,Veikkausliiga,24/07/2021,15:00,SJK,AC Oulu,1.58,3.92,6.87,1.66,4,6.87,1.57,3.8,6.04
Finland,Veikkausliiga,25/07/2021,16:30,Honka,Lahti,2.59,3.1,3.08,2.67,3.3,3.1,2.52,3.01,2.95
Finland,Veikkausliiga,25/07/2021,16:30,KuPS,Ilves,1.84,3.72,4.61,1.84,3.81,4.8,1.78,3.6,4.42
Japan,J1 League,24/07/2021,11:00,Gamba Osaka,Kashima Antlers,3.85,4,1.93,4,4,2.02,3.77,3.66,1.91
Japan,J1 League,24/07/2021,11:00,Sagan Tosu,Cerezo Osaka,2.36,3.4,3.23,2.47,3.4,3.31,2.33,3.22,3.11
Japan,J1 League,27/07/2021,11:00,Gamba Osaka,Oita Trinita,1.91,3.6,4.29,2,3.65,4.33,1.92,3.41,4.03
Mexico,Liga MX,24/07/2021,01:00,Necaxa,Santos Laguna,3.14,3.2,2.53,3.14,3.3,2.55,2.97,3.11,2.43
Mexico,Liga MX,24/07/2021,03:00,Juarez,Toluca,2.66,3.44,2.77,2.66,3.48,2.94,2.53,3.3,2.69
Mexico,Liga MX,24/07/2021,22:00,Pachuca,Club Leon,2.55,3.29,3.02,2.59,3.46,3.02,2.43,3.22,2.86
Mexico,Liga MX,25/07/2021,03:00,Guadalajara Chivas,Atl. San Luis,1.83,3.49,5.12,1.83,3.75,5.12,1.77,3.39,4.67
Mexico,Liga MX,25/07/2021,18:00,U.N.A.M.- Pumas,Atlas,2.55,3.2,3.09,2.56,3.25,3.09,2.45,3.1,2.91
