"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","total_goals","OV25"
"1","B1",NA,NA,NA,1.59212146081247,1.22938038572015,NA,0.660237997537957,0.515387771850636,NA,NA,NA,NA,NA,NA,2.82150184653262,NA
"2","D1",NA,NA,NA,1.64759036144578,1.28246318607764,NA,0.734270414993307,0.551204819277108,NA,2.77962516733601,4.15954819277108,4.60245649263722,NA,NA,2.93005354752343,NA
"3","D2",NA,NA,NA,1.48894101876676,1.19001340482574,NA,0.628016085790885,0.503016085790885,NA,NA,NA,NA,NA,NA,2.67895442359249,NA
"4","E0",NA,NA,NA,1.53854447439353,1.19946091644205,NA,0.684636118598383,0.531805929919137,NA,NA,NA,NA,NA,NA,2.73800539083558,NA
"5","E1",NA,NA,NA,1.4390919158361,1.14414913252123,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58324104835733,NA
"6","E2",NA,NA,NA,1.42896832746805,1.19355436191887,NA,0.629005371365068,0.523245045378774,NA,NA,NA,NA,NA,NA,2.62252268938692,NA
"7","E3",NA,NA,NA,1.39462962962963,1.16537037037037,NA,0.624259259259259,0.503703703703704,NA,NA,NA,NA,NA,NA,2.56,NA
"8","EC",NA,NA,NA,1.49593495934959,1.20797882397429,NA,0.663263376819815,0.545282662128947,NA,NA,NA,NA,NA,NA,2.70391378332388,NA
"9","F1",NA,NA,NA,1.44731182795699,1.09569892473118,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54301075268817,NA
"10","F2",NA,NA,NA,1.35771920387305,1.02474448628295,NA,0.600322754168908,0.440290478752017,NA,NA,NA,NA,NA,NA,2.382463690156,NA
"11","G1",NA,NA,NA,1.37001209189843,0.933091495364772,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3031035872632,NA
"12","I1",NA,NA,NA,1.51014335948066,1.18339193941033,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69353529889099,NA
"13","I2",NA,NA,NA,1.37491353470141,1.04565367765737,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42056721235877,NA
"14","N1",NA,NA,NA,1.78437917222964,1.36048064085447,NA,0.754672897196262,0.585781041388518,NA,NA,NA,NA,NA,NA,3.14485981308411,NA
"15","P1",NA,NA,NA,1.44161123429416,1.1219512195122,NA,0.644863266814486,0.495934959349593,NA,NA,NA,NA,NA,NA,2.56356245380636,NA
"16","SC0",NA,NA,NA,1.43111111111111,1.21155555555556,NA,0.652888888888889,0.524,NA,NA,NA,NA,NA,NA,2.64266666666667,NA
"17","SC1",NA,NA,NA,1.48113755078352,1.27103888566454,NA,0.645966337782937,0.539756239117818,NA,NA,NA,NA,NA,NA,2.75217643644806,NA
"18","SC2",NA,NA,NA,1.64477611940299,1.41611940298507,NA,0.732537313432836,0.635223880597015,NA,NA,NA,NA,NA,NA,3.06089552238806,NA
"19","SC3",NA,NA,NA,1.61244019138756,1.37260765550239,NA,0.698564593301435,0.620215311004785,NA,NA,NA,NA,NA,NA,2.98504784688995,NA
"20","SP1",NA,NA,NA,1.58675675675676,1.14297297297297,NA,0.705135135135135,0.502162162162162,NA,NA,NA,NA,NA,NA,2.72972972972973,NA
"21","SP2",NA,NA,NA,1.39393939393939,0.985516934046346,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37945632798574,NA
"22","T1",NA,NA,NA,1.52708877284595,1.19190600522193,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.71899477806789,NA
