"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","all_matchday"
"6030","B1",2024-07-26,"Club Brugge","Mechelen",1,1,"D",0,0,"D",1.39,5.06,7.82,"0-0","1-1",28,7,5,2,1,2,0,0,7,2,14,8,2,9,22,"7-2","Y","N","N",3,0,1
"6027","B1",2024-07-27,"Anderlecht","St Truiden",1,0,"H",0,0,"D",1.51,4.36,5.91,"0-0","1-0",11,3,2,0,0,0,0,0,6,0,8,10,1,6,18,"6-0","N","N","N",0,0,1
"6028","B1",2024-07-27,"Beerschot VA","Oud-Heverlee Leuven",0,0,"D",0,0,"D",2.79,3.37,2.5,"0-0","0-0",1,0,9,2,2,1,0,0,2,6,15,15,0,8,30,"2-6","N","N","N",3,0,1
"6031","B1",2024-07-27,"Dender","St. Gilloise",0,0,"D",0,0,"D",6.58,4.91,1.41,"0-0","0-0",3,0,10,3,4,2,0,0,4,6,12,7,0,10,19,"4-6","N","N","N",6,0,1
"6029","B1",2024-07-28,"Charleroi","Antwerp",0,1,"A",0,1,"A",3.13,3.47,2.23,"0-1","0-1",12,5,12,4,5,2,0,0,5,6,15,7,1,11,22,"5-6","N","N","N",7,0,1
"6032","B1",2024-07-28,"Genk","Standard",0,0,"D",0,0,"D",1.44,4.62,6.5,"0-0","0-0",21,3,4,1,0,4,0,0,10,1,12,14,0,11,26,"10-1","N","N","N",4,0,1
"6033","B1",2024-07-28,"Kortrijk","Gent",0,1,"A",0,0,"D",4.9,4.18,1.62,"0-0","0-1",15,5,8,2,2,2,0,0,8,4,10,7,1,12,17,"8-4","N","N","N",4,0,1
"6034","B1",2024-07-28,"Westerlo","Cercle Brugge",3,0,"H",1,0,"H",2.9,3.62,2.3,"1-0","3-0",10,6,12,4,0,1,0,0,6,7,9,12,3,13,21,"6-7","Y","Y","N",1,0,1
"6035","B1",2024-08-02,"St. Gilloise","Beerschot VA",3,1,"H",2,0,"H",1.37,5.31,7.98,"2-0","3-1",10,4,6,2,2,2,0,0,4,6,12,10,4,10,22,"4-6","Y","Y","Y",4,0,2
"6036","B1",2024-08-03,"Mechelen","Westerlo",2,4,"A",0,2,"A",1.89,3.93,3.65,"0-2","2-4",12,4,14,9,4,3,0,0,8,4,14,13,6,12,27,"8-4","Y","Y","Y",7,0,2
"6037","B1",2024-08-03,"Oud-Heverlee Leuven","Genk",3,1,"H",2,0,"H",3.4,3.54,2.09,"2-0","3-1",11,5,18,7,2,2,0,0,2,10,12,16,4,12,28,"2-10","Y","Y","Y",4,0,2
"6038","B1",2024-08-03,"St Truiden","Charleroi",1,4,"A",0,4,"A",2.52,3.38,2.76,"0-4","1-4",3,2,15,7,1,1,0,0,3,3,6,7,5,6,13,"3-3","Y","Y","Y",2,0,2
"6039","B1",2024-08-04,"Antwerp","Anderlecht",1,2,"A",1,1,"D",2.78,3.44,2.47,"1-1","1-2",17,7,10,4,2,0,0,0,7,2,17,11,3,9,28,"7-2","Y","Y","N",2,0,2
"6040","B1",2024-08-04,"Cercle Brugge","Kortrijk",1,2,"A",1,1,"D",1.63,4.13,4.89,"1-1","1-2",23,6,11,6,2,3,0,0,14,7,7,13,3,21,20,"14-7","Y","Y","N",5,0,2
"6041","B1",2024-08-04,"Standard","Club Brugge",1,0,"H",0,0,"D",5.51,4.45,1.52,"0-0","1-0",10,2,16,6,0,2,0,0,3,10,10,8,1,13,18,"3-10","N","N","N",2,0,2
"6042","B1",2024-08-04,"Gent","Dender",1,2,"A",0,1,"A",1.34,5.37,7.78,"0-1","1-2",15,3,17,5,0,3,0,0,6,3,8,13,3,9,21,"6-3","Y","Y","N",3,0,2
"6043","B1",2024-08-09,"Standard","Mechelen",0,0,"D",0,0,"D",2.54,3.39,2.86,"0-0","0-0",17,4,9,2,1,1,0,0,6,3,7,9,0,9,16,"6-3","N","N","N",2,0,3
"6044","B1",2024-08-10,"Dender","Kortrijk",4,1,"H",2,1,"H",2.19,3.49,3.21,"2-1","4-1",12,6,9,2,0,4,0,1,3,9,10,8,5,12,18,"3-9","Y","Y","Y",4,1,3
"6045","B1",2024-08-10,"Westerlo","St. Gilloise",4,3,"H",3,1,"H",3.65,3.68,1.95,"3-1","4-3",24,9,14,7,5,3,0,0,5,6,11,15,7,11,26,"5-6","Y","Y","Y",8,0,3
"6046","B1",2024-08-10,"Anderlecht","Oud-Heverlee Leuven",1,1,"D",1,1,"D",1.85,3.58,4.18,"1-1","1-1",19,2,10,4,3,2,0,0,9,4,10,14,2,13,24,"9-4","Y","N","N",5,0,3
"6047","B1",2024-08-11,"Genk","Club Brugge",3,2,"H",0,1,"A",3.48,3.61,2.03,"0-1","3-2",14,7,17,7,2,2,0,0,5,4,10,4,5,9,14,"5-4","Y","Y","Y",4,0,3
"6048","B1",2024-08-11,"Antwerp","St Truiden",6,1,"H",2,0,"H",1.37,4.89,7.68,"2-0","6-1",11,8,15,7,1,0,0,0,5,2,4,8,7,7,12,"5-2","Y","Y","Y",1,0,3
"6049","B1",2024-08-11,"Charleroi","Gent",1,0,"H",0,0,"D",2.86,3.67,2.31,"0-0","1-0",17,5,7,0,3,1,0,0,4,3,14,6,1,7,20,"4-3","N","N","N",4,0,3
