"","final_first_column_aut","final_second_column_aut"
"1","Ried","Sturm Graz"
"2","Ried","Sturm Graz"
"3","Ried","Sturm Graz"
"4","Ried","Sturm Graz"
"5","Sturm Graz","Ried"
"6","Sturm Graz","Ried"
"7","Sturm Graz","Ried"
"8","Sturm Graz","Ried"
"9","Wolfsberger AC","LASK"
"10","Wolfsberger AC","LASK"
"11","Wolfsberger AC","LASK"
"12","Wolfsberger AC","LASK"
"13","LASK","Wolfsberger AC"
"14","LASK","Wolfsberger AC"
"15","LASK","Wolfsberger AC"
"16","LASK","Wolfsberger AC"
"17","Hartberg","Salzburg"
"18","Hartberg","Salzburg"
"19","Hartberg","Salzburg"
"20","Hartberg","Salzburg"
"21","Salzburg","Hartberg"
"22","Salzburg","Hartberg"
"23","Salzburg","Hartberg"
"24","Salzburg","Hartberg"
"25","Altach","Austria Vienna"
"26","Altach","Austria Vienna"
"27","Altach","Austria Vienna"
"28","Altach","Austria Vienna"
"29","Austria Vienna","Altach"
"30","Austria Vienna","Altach"
"31","Austria Vienna","Altach"
"32","Austria Vienna","Altach"
"33","Rapid Vienna","A. Lustenau"
"34","Rapid Vienna","A. Lustenau"
"35","Rapid Vienna","A. Lustenau"
"36","Rapid Vienna","A. Lustenau"
"37","A. Lustenau","Rapid Vienna"
"38","A. Lustenau","Rapid Vienna"
"39","A. Lustenau","Rapid Vienna"
"40","A. Lustenau","Rapid Vienna"
"41","Tirol","A. Klagenfurt"
"42","Tirol","A. Klagenfurt"
"43","Tirol","A. Klagenfurt"
"44","Tirol","A. Klagenfurt"
"45","A. Klagenfurt","Tirol"
"46","A. Klagenfurt","Tirol"
"47","A. Klagenfurt","Tirol"
"48","A. Klagenfurt","Tirol"
