MatchNumber,RoundNumber,Location,Date,Home_Team,Away_Team
1,1,stadium,8/8/2021,Porto,Belenenses
2,1,stadium,8/8/2021,Moreirense,Benfica
3,1,stadium,8/8/2021,Gil Vicente,Boavista
4,1,stadium,8/8/2021,Maritimo,Sp Braga
5,1,stadium,8/8/2021,Arouca,Estoril
6,1,stadium,8/8/2021,Pacos Ferreira,Famalicao
7,1,stadium,8/8/2021,Sp Lisbon,Vizela
8,1,stadium,8/8/2021,Guimaraes,Portimonense
9,1,stadium,8/8/2021,Tondela,Santa Clara
10,1,stadium,8/14/2021,Benfica,Arouca
11,1,stadium,8/14/2021,Portimonense,Gil Vicente
12,1,stadium,8/14/2021,Belenenses,Maritimo
13,1,stadium,8/14/2021,Santa Clara,Moreirense
14,1,stadium,8/14/2021,Boavista,Pacos Ferreira
15,1,stadium,8/14/2021,Famalicao,Porto
16,1,stadium,8/14/2021,Sp Braga,Sp Lisbon
17,1,stadium,8/14/2021,Vizela,Tondela
18,1,stadium,8/14/2021,Estoril,Guimaraes
19,1,stadium,8/22/2021,Sp Lisbon,Belenenses
20,1,stadium,8/22/2021,Gil Vicente,Benfica
21,1,stadium,8/22/2021,Moreirense,Sp Braga
22,1,stadium,8/22/2021,Pacos Ferreira,Estoril
23,1,stadium,8/22/2021,Arouca,Famalicao
24,1,stadium,8/22/2021,Guimaraes,Vizela
25,1,stadium,8/22/2021,Tondela,Portimonense
26,1,stadium,8/22/2021,Maritimo,Porto
27,1,stadium,8/22/2021,Boavista,Santa Clara
28,1,stadium,8/29/2021,Porto,Arouca
29,1,stadium,8/29/2021,Vizela,Boavista
30,1,stadium,8/29/2021,Santa Clara,Gil Vicente
31,1,stadium,8/29/2021,Estoril,Maritimo
32,1,stadium,8/29/2021,Belenenses,Moreirense
33,1,stadium,8/29/2021,Portimonense,Pacos Ferreira
34,1,stadium,8/29/2021,Famalicao,Sp Lisbon
35,1,stadium,8/29/2021,Benfica,Tondela
36,1,stadium,8/29/2021,Sp Braga,Guimaraes
37,1,stadium,9/12/2021,Maritimo,Arouca
38,1,stadium,9/12/2021,Guimaraes,Belenenses
39,1,stadium,9/12/2021,Santa Clara,Benfica
40,1,stadium,9/12/2021,Pacos Ferreira,Sp Braga
41,1,stadium,9/12/2021,Tondela,Estoril
42,1,stadium,9/12/2021,Moreirense,Famalicao
43,1,stadium,9/12/2021,Gil Vicente,Vizela
44,1,stadium,9/12/2021,Boavista,Portimonense
45,1,stadium,9/12/2021,Sp Lisbon,Porto
46,1,stadium,9/19/2021,Benfica,Boavista
47,1,stadium,9/19/2021,Belenenses,Gil Vicente
48,1,stadium,9/19/2021,Famalicao,Maritimo
49,1,stadium,9/19/2021,Porto,Moreirense
50,1,stadium,9/19/2021,Vizela,Pacos Ferreira
51,1,stadium,9/19/2021,Portimonense,Santa Clara
52,1,stadium,9/19/2021,Estoril,Sp Lisbon
53,1,stadium,9/19/2021,Sp Braga,Tondela
54,1,stadium,9/19/2021,Arouca,Guimaraes
55,1,stadium,9/26/2021,Moreirense,Arouca
56,1,stadium,9/26/2021,Pacos Ferreira,Belenenses
57,1,stadium,9/26/2021,Guimaraes,Benfica
58,1,stadium,9/26/2021,Santa Clara,Sp Braga
59,1,stadium,9/26/2021,Boavista,Estoril
60,1,stadium,9/26/2021,Tondela,Famalicao
61,1,stadium,9/26/2021,Portimonense,Vizela
62,1,stadium,9/26/2021,Sp Lisbon,Maritimo
63,1,stadium,9/26/2021,Gil Vicente,Porto
64,1,stadium,10/3/2021,Sp Braga,Boavista
65,1,stadium,10/3/2021,Estoril,Gil Vicente
66,1,stadium,10/3/2021,Maritimo,Moreirense
67,1,stadium,10/3/2021,Porto,Pacos Ferreira
68,1,stadium,10/3/2021,Benfica,Portimonense
69,1,stadium,10/3/2021,Vizela,Santa Clara
70,1,stadium,10/3/2021,Arouca,Sp Lisbon
71,1,stadium,10/3/2021,Belenenses,Tondela
72,1,stadium,10/3/2021,Famalicao,Guimaraes
73,1,stadium,10/24/2021,Pacos Ferreira,Arouca
74,1,stadium,10/24/2021,Boavista,Belenenses
75,1,stadium,10/24/2021,Vizela,Benfica
76,1,stadium,10/24/2021,Gil Vicente,Sp Braga
77,1,stadium,10/24/2021,Portimonense,Estoril
78,1,stadium,10/24/2021,Santa Clara,Famalicao
79,1,stadium,10/24/2021,Guimaraes,Maritimo
80,1,stadium,10/24/2021,Sp Lisbon,Moreirense
81,1,stadium,10/24/2021,Tondela,Porto
82,1,stadium,10/31/2021,Estoril,Benfica
83,1,stadium,10/31/2021,Porto,Boavista
84,1,stadium,10/31/2021,Famalicao,Vizela
85,1,stadium,10/31/2021,Maritimo,Gil Vicente
86,1,stadium,10/31/2021,Moreirense,Pacos Ferreira
87,1,stadium,10/31/2021,Sp Braga,Portimonense
88,1,stadium,10/31/2021,Belenenses,Santa Clara
89,1,stadium,10/31/2021,Arouca,Tondela
90,1,stadium,10/31/2021,Sp Lisbon,Guimaraes
91,1,stadium,11/7/2021,Gil Vicente,Arouca
92,1,stadium,11/7/2021,Portimonense,Belenenses
93,1,stadium,11/7/2021,Benfica,Sp Braga
