"","final_first_column_e2div","final_second_column_e2div"
"1","Barnsley","Cheltenham"
"2","Barnsley","Cheltenham"
"3","Barnsley","Cheltenham"
"4","Barnsley","Cheltenham"
"5","Cheltenham","Barnsley"
"6","Cheltenham","Barnsley"
"7","Cheltenham","Barnsley"
"8","Cheltenham","Barnsley"
"9","Bolton","Wycombe"
"10","Bolton","Wycombe"
"11","Bolton","Wycombe"
"12","Bolton","Wycombe"
"13","Wycombe","Bolton"
"14","Wycombe","Bolton"
"15","Wycombe","Bolton"
"16","Wycombe","Bolton"
"17","Burton","Bristol Rvs"
"18","Burton","Bristol Rvs"
"19","Burton","Bristol Rvs"
"20","Burton","Bristol Rvs"
"21","Bristol Rvs","Burton"
"22","Bristol Rvs","Burton"
"23","Bristol Rvs","Burton"
"24","Bristol Rvs","Burton"
"25","Charlton","Derby"
"26","Charlton","Derby"
"27","Charlton","Derby"
"28","Charlton","Derby"
"29","Derby","Charlton"
"30","Derby","Charlton"
"31","Derby","Charlton"
"32","Derby","Charlton"
"33","Exeter","Port Vale"
"34","Exeter","Port Vale"
"35","Exeter","Port Vale"
"36","Exeter","Port Vale"
"37","Port Vale","Exeter"
"38","Port Vale","Exeter"
"39","Port Vale","Exeter"
"40","Port Vale","Exeter"
"41","Fleetwood Town","Plymouth"
"42","Fleetwood Town","Plymouth"
"43","Fleetwood Town","Plymouth"
"44","Fleetwood Town","Plymouth"
"45","Plymouth","Fleetwood Town"
"46","Plymouth","Fleetwood Town"
"47","Plymouth","Fleetwood Town"
"48","Plymouth","Fleetwood Town"
"49","Forest Green","Ipswich"
"50","Forest Green","Ipswich"
"51","Forest Green","Ipswich"
"52","Forest Green","Ipswich"
"53","Ipswich","Forest Green"
"54","Ipswich","Forest Green"
"55","Ipswich","Forest Green"
"56","Ipswich","Forest Green"
"57","Milton Keynes Dons","Sheffield Weds"
"58","Milton Keynes Dons","Sheffield Weds"
"59","Milton Keynes Dons","Sheffield Weds"
"60","Milton Keynes Dons","Sheffield Weds"
"61","Sheffield Weds","Milton Keynes Dons"
"62","Sheffield Weds","Milton Keynes Dons"
"63","Sheffield Weds","Milton Keynes Dons"
"64","Sheffield Weds","Milton Keynes Dons"
"65","Oxford","Cambridge"
"66","Oxford","Cambridge"
"67","Oxford","Cambridge"
"68","Oxford","Cambridge"
"69","Cambridge","Oxford"
"70","Cambridge","Oxford"
"71","Cambridge","Oxford"
"72","Cambridge","Oxford"
"73","Peterboro","Morecambe"
"74","Peterboro","Morecambe"
"75","Peterboro","Morecambe"
"76","Peterboro","Morecambe"
"77","Morecambe","Peterboro"
"78","Morecambe","Peterboro"
"79","Morecambe","Peterboro"
"80","Morecambe","Peterboro"
"81","Portsmouth","Lincoln"
"82","Portsmouth","Lincoln"
"83","Portsmouth","Lincoln"
"84","Portsmouth","Lincoln"
"85","Lincoln","Portsmouth"
"86","Lincoln","Portsmouth"
"87","Lincoln","Portsmouth"
"88","Lincoln","Portsmouth"
"89","Shrewsbury","Accrington"
"90","Shrewsbury","Accrington"
"91","Shrewsbury","Accrington"
"92","Shrewsbury","Accrington"
"93","Accrington","Shrewsbury"
"94","Accrington","Shrewsbury"
"95","Accrington","Shrewsbury"
"96","Accrington","Shrewsbury"
