"","b1_division","b1_avg_HG","b1_teams","b1_home_as","b1_home_ds"
"45","D2","1.5825","Heidenheim","1.0664","0.6615"
"46","D2","1.5825","Holstein Kiel","1.1284","0.756"
"47","D2","1.5825","Karlsruhe","0.6319","0.756"
"48","D2","1.5825","Nurnberg","0.8294","1.0395"
"49","D2","1.5825","Osnabruck","0.5134","1.5119"
"50","D2","1.5825","Paderborn","1.1848","1.0395"
"51","D2","1.5825","Regensburg","0.7899","0.9922"
"52","D2","1.5825","Sandhausen","1.0664","0.9922"
"53","D2","1.5825","St Pauli","1.0664","1.0867"
"54","D2","1.5825","Wurzburger Kickers","0.8294","1.5119"
"55","E0","1.3382","Arsenal","0.9133","0.8814"
"56","E0","1.3382","Aston Villa","1.1868","1.1554"
"57","E0","1.3382","Brighton","0.7912","0.8443"
"58","E0","1.3382","Burnley","0.6154","0.8888"
"59","E0","1.3382","Chelsea","1.2748","0.711"
"60","E0","1.3382","Crystal Palace","0.7033","1.1998"
"61","E0","1.3382","Everton","1.011","1.1998"
"62","E0","1.3382","Fulham","0.3956","1.0665"
"63","E0","1.3382","Leeds","1.0379","0.8394"
"64","E0","1.3382","Leicester","1.3285","1.0912"
"65","E0","1.3382","Liverpool","1.1209","0.8394"
"66","E0","1.3382","Man City","1.5776","0.7135"
"67","E0","1.3382","Man United","1.588","0.9915"
"68","E0","1.3382","Newcastle","0.9671","1.2887"
"69","E0","1.3382","Sheffield United","0.4567","1.1332"
"70","E0","1.3382","Southampton","1.0275","0.9915"
"71","E0","1.3382","Tottenham","1.4066","0.7999"
"72","E0","1.3382","West Brom","0.5714","1.5109"
"73","E0","1.3382","West Ham","1.2039","0.9233"
"74","E0","1.3382","Wolves","0.8303","0.9653"
"75","E1","1.2518","Barnsley","1.042","0.9056"
"76","E1","1.2518","Birmingham","0.6252","1.5231"
"77","E1","1.2518","Blackburn","1.2851","1.1526"
"78","E1","1.2518","Bournemouth","1.3893","0.988"
"79","E1","1.2518","Brentford","1.3546","0.8233"
"80","E1","1.2518","Bristol City","0.6252","1.2349"
"81","E1","1.2518","Cardiff","1.2851","1.0703"
"82","E1","1.2518","Coventry","1.042","0.9056"
"83","E1","1.2518","Derby","0.6947","1.0703"
"84","E1","1.2518","Huddersfield","0.9725","0.9468"
"85","E1","1.2518","Luton","0.8683","0.9468"
"86","E1","1.2518","Middlesbrough","1.042","1.0291"
"87","E1","1.2518","Millwall","0.8336","0.988"
"88","E1","1.2518","Norwich","1.3546","0.6175"
"89","E1","1.2518","Nottm Forest","0.7294","0.988"
"90","E1","1.2518","Preston","0.7294","0.988"
"91","E1","1.2518","QPR","1.1114","1.1114"
"92","E1","1.2518","Reading","1.2851","1.1114"
"93","E1","1.2518","Rotherham","0.903","1.4408"
"94","E1","1.2518","Sheffield Weds","0.7641","0.6998"
"95","E1","1.2518","Stoke","1.0072","1.1526"
"96","E1","1.2518","Swansea","0.9378","0.6586"
"97","E1","1.2518","Watford","1.5282","0.494"
"98","E1","1.2518","Wycombe","0.5905","1.1526"
"99","E2","1.3478","Accrington","1","0.8876"
"100","E2","1.3478","AFC Wimbledon","1.0323","1.3314"
"101","E2","1.3478","Blackpool","0.9678","0.6145"
"102","E2","1.3478","Bristol Rvs","0.7419","1.0924"
"103","E2","1.3478","Burton","1.0323","1.4338"
"104","E2","1.3478","Charlton","1.1613","1.2631"
"105","E2","1.3478","Crewe","1.0323","1.0241"
"106","E2","1.3478","Doncaster","1.0968","1.0924"
"107","E2","1.3478","Fleetwood Town","0.8387","0.5803"
"108","E2","1.3478","Gillingham","1","1.0241"
"109","E2","1.3478","Hull","1.0323","0.4779"
"110","E2","1.3478","Ipswich","0.8065","0.6145"
"111","E2","1.3478","Lincoln","1.1291","1.0241"
"112","E2","1.3478","Milton Keynes Dons","1.1613","0.9559"
"113","E2","1.3478","Northampton","0.6452","0.8876"
"114","E2","1.3478","Oxford","1.2581","0.7169"
"115","E2","1.3478","Peterboro","1.6775","0.751"
"116","E2","1.3478","Plymouth","1","1.3314"
"117","E2","1.3478","Portsmouth","0.9355","0.8193"
"118","E2","1.3478","Rochdale","0.871","1.4338"
"119","E2","1.3478","Shrewsbury","0.9032","1.0583"
"120","E2","1.3478","Sunderland","1.0323","0.8535"
"121","E2","1.3478","Swindon","0.8065","1.2972"
"122","E2","1.3478","Wigan","0.8387","1.4338"
"123","E3","1.2609","Barrow","1.1034","1.2653"
"124","E3","1.2609","Bolton","0.931","0.9094"
"125","E3","1.2609","Bradford","0.7586","0.7513"
"126","E3","1.2609","Cambridge","1.0345","0.7908"
"127","E3","1.2609","Carlisle","1.3103","0.9885"
"128","E3","1.2609","Cheltenham","1.2758","0.8303"
"129","E3","1.2609","Colchester","1.1034","1.028"
"130","E3","1.2609","Crawley Town","1.0345","1.0676"
"131","E3","1.2609","Exeter","1.3103","0.7908"
"132","E3","1.2609","Forest Green","1.0689","1.0676"
"133","E3","1.2609","Grimsby","0.5862","1.1862"
"134","E3","1.2609","Harrogate","0.8276","1.1467"
"135","E3","1.2609","Leyton Orient","1.1034","0.9885"
"136","E3","1.2609","Mansfield","1.1379","1.2257"
"137","E3","1.2609","Morecambe","1.3103","1.0676"
"138","E3","1.2609","Newport County","0.931","0.6722"
"139","E3","1.2609","Oldham","1.0689","1.6607"
"140","E3","1.2609","Port Vale","0.931","0.9885"
"141","E3","1.2609","Salford","1.2413","0.5931"
"142","E3","1.2609","Scunthorpe","0.7586","1.1071"
"143","E3","1.2609","Southend","0.5517","1.1467"
"144","E3","1.2609","Stevenage","0.8965","0.7908"
"145","E3","1.2609","Tranmere","1.0345","0.8699"
"146","E3","1.2609","Walsall","0.6896","1.0676"
"147","EC","1.4149","Aldershot","0.9978","1.132"
"148","EC","1.4149","Altrincham","0.7853","1.0691"
"149","EC","1.4149","Barnet","0.4464","1.6459"
"150","EC","1.4149","Boreham Wood","0.8556","0.8863"
"151","EC","1.4149","Bromley","1.1106","1.1073"
"152","EC","1.4149","Chesterfield","1.0209","0.7573"
"153","EC","1.4149","Dag and Red","0.8556","0.8863"
"154","EC","1.4149","Dover Athletic","0.7068","1.6037"
"155","EC","1.4149","Eastleigh","0.7812","0.5064"
"156","EC","1.4149","Halifax","1.1308","1.1226"
"157","EC","1.4149","Hartlepool","1.1308","0.7618"
"158","EC","1.4149","Kings Lynn","0.8835","1.3632"
"159","EC","1.4149","Maidenhead","1.1387","1.1137"
"160","EC","1.4149","Notts County","1.0415","0.7597"
"161","EC","1.4149","Solihull","1.2472","0.6604"
"162","EC","1.4149","Stockport","1.1159","0.5064"
"163","EC","1.4149","Sutton","1.3763","0.5908"
"164","EC","1.4149","Torquay","1.1443","0.6873"
"165","EC","1.4149","Wealdstone","1.1531","1.9413"
"166","EC","1.4149","Weymouth","0.8184","1.3505"
"167","EC","1.4149","Woking","0.8835","1.283"
"168","EC","1.4149","Wrexham","1.0601","0.5613"
"169","EC","1.4149","Yeovil","1.1531","1.0129"
"170","F1","1.4056","Angers","0.751","1.0225"
"171","F1","1.4056","Bordeaux","0.6324","0.8589"
"172","F1","1.4056","Brest","1.2648","1.2679"
"173","F1","1.4056","Dijon","0.3162","1.1043"
"174","F1","1.4056","Lens","1.1067","1.0634"
"175","F1","1.4056","Lille","1.1067","0.4499"
"176","F1","1.4056","Lorient","1.1462","1.1452"
"177","F1","1.4056","Lyon","1.581","0.818"
"178","F1","1.4056","Marseille","1.1462","0.8589"
"179","F1","1.4056","Metz","0.7114","1.0225"
"180","F1","1.4056","Monaco","1.6205","0.818"
"181","F1","1.4056","Montpellier","1.3438","1.4315"
"182","F1","1.4056","Nantes","0.7905","1.1043"
"183","F1","1.4056","Nice","0.9881","1.1452"
"184","F1","1.4056","Nimes","0.7905","1.3906"
"185","F1","1.4056","Paris SG","1.581","0.5726"
"186","F1","1.4056","Reims","0.5929","0.7771"
"187","F1","1.4056","Rennes","0.9486","0.8589"
"188","F1","1.4056","St Etienne","0.7905","1.1452"
"189","F1","1.4056","Strasbourg","0.7905","1.1452"
"190","F2","1.3288","Ajaccio","0.8318","0.871"
"191","F2","1.3288","Amiens","0.5941","0.6149"
"192","F2","1.3288","Auxerre","1.5051","0.9223"
"193","F2","1.3288","Caen","0.6271","0.9735"
"194","F2","1.3288","Chambly","0.8318","1.3834"
"195","F2","1.3288","Chateauroux","0.878","1.6766"
"196","F2","1.3288","Clermont","1.4655","0.4611"
"197","F2","1.3288","Dunkerque","0.7944","0.8113"
"198","F2","1.3288","Grenoble","1.4215","0.7572"
"199","F2","1.3288","Guingamp","0.7526","1.1785"
"200","F2","1.3288","Le Havre","0.5435","1.1358"
"201","F2","1.3288","Nancy","1.087","1.4062"
"202","F2","1.3288","Niort","0.7526","1.1453"
"203","F2","1.3288","Paris FC","1.1706","0.9735"
"204","F2","1.3288","Pau FC","0.9198","0.8654"
"205","F2","1.3288","Rodez","0.911","1.0248"
"206","F2","1.3288","Sochaux","0.9198","1.0276"
"207","F2","1.3288","Toulouse","1.756","0.8654"
"208","F2","1.3288","Troyes","1.2675","0.7686"
"209","F2","1.3288","Valenciennes","0.9506","1.1785"
"210","G1","1.179","AEK","1.3471","1.3471"
"211","G1","1.179","Apollon","0.7952","1.3717"
"212","G1","1.179","Aris","0.9979","0.6736"
"213","G1","1.179","Asteras Tripolis","0.8482","0.7858"
"214","G1","1.179","Atromitos","0.9012","1.1331"
"215","G1","1.179","Giannina","0.5831","0.9542"
"216","G1","1.179","Lamia","0.5301","1.2524"
"217","G1","1.179","Larisa","0.4524","1.2723"
"218","G1","1.179","OFI Crete","0.8482","1.6539"
"219","G1","1.179","Olympiakos","2.0955","0.2245"
"220","G1","1.179","Panathinaikos","1.0477","0.6736"
"221","G1","1.179","Panetolikos","0.6891","1.2524"
"222","G1","1.179","PAOK","1.846","0.6736"
"223","G1","1.179","Volos NFC","0.8482","0.8981"
"224","I1","1.6361","Atalanta","1.6898","0.9087"
"225","I1","1.6361","Benevento","0.6112","1.4824"
"226","I1","1.6361","Bologna","1.1505","1.1153"
"227","I1","1.6361","Cagliari","0.791","1.2805"
"228","I1","1.6361","Crotone","0.755","1.4044"
"229","I1","1.6361","Fiorentina","0.8489","0.8973"
"230","I1","1.6361","Genoa","0.8829","1.0143"
"231","I1","1.6361","Inter","1.6179","0.6609"
"232","I1","1.6361","Juventus","1.2564","0.6242"
"233","I1","1.6361","Lazio","1.2584","0.95"
"234","I1","1.6361","Milan","1.0526","0.9363"
"235","I1","1.6361","Napoli","1.582","0.7435"
"236","I1","1.6361","Parma","0.5093","1.4044"
"237","I1","1.6361","Roma","1.3582","0.7022"
"238","I1","1.6361","Sampdoria","0.9707","0.9913"
"239","I1","1.6361","Sassuolo","1.0067","0.9913"
"240","I1","1.6361","Spezia","0.791","1.2392"
"241","I1","1.6361","Torino","0.8629","1.1566"
"242","I1","1.6361","Udinese","0.4754","0.7022"
"243","I1","1.6361","Verona","0.6112","0.8192"
"244","I2","1.3","Ascoli","0.7287","0.9158"
"245","I2","1.3","Brescia","1.4575","1.3014"
"246","I2","1.3","Chievo","1.1111","0.7123"
"247","I2","1.3","Cittadella","1.0256","0.6614"
"248","I2","1.3","Cosenza","0.6073","0.964"
"249","I2","1.3","Cremonese","1.0931","1.0604"
"250","I2","1.3","Empoli","1.5385","0.7123"
"251","I2","1.3","Frosinone","0.6478","1.0122"
"252","I2","1.3","Lecce","1.4575","1.3497"
"253","I2","1.3","Monza","1.1538","0.7123"
"254","I2","1.3","Pescara","0.7692","1.3229"
"255","I2","1.3","Pisa","0.9829","0.865"
"256","I2","1.3","Pordenone","1.0684","0.9667"
"257","I2","1.3","Reggiana","0.7692","1.1086"
"258","I2","1.3","Reggina","0.8547","0.9158"
"259","I2","1.3","Salernitana","1.0526","0.6266"
"260","I2","1.3","Spal","1.0256","0.9667"
"261","I2","1.3","Venezia","1.1336","0.9158"
"262","I2","1.3","Vicenza","0.8547","1.1702"
"263","I2","1.3","Virtus Entella","0.6883","1.6871"
"264","N1","1.5903","Ajax","1.965","0.5821"
"265","N1","1.5903","AZ Alkmaar","1.3362","0.806"
"266","N1","1.5903","Den Haag","0.6288","1.5224"
"267","N1","1.5903","FC Emmen","0.9039","1.7911"
"268","N1","1.5903","Feyenoord","1.2576","0.5821"
"269","N1","1.5903","For Sittard","0.9432","1.3433"
"270","N1","1.5903","Groningen","0.6681","0.5821"
"271","N1","1.5903","Heerenveen","0.8253","0.7164"
"272","N1","1.5903","Heracles","1.1004","0.6717"
"273","N1","1.5903","PSV Eindhoven","1.3755","0.4925"
"274","N1","1.5903","Sparta Rotterdam","1.179","1.209"
"275","N1","1.5903","Twente","0.786","1.0299"
"276","N1","1.5903","Utrecht","1.0218","1.0747"
"277","N1","1.5903","Vitesse","0.9825","0.403"
"278","N1","1.5903","VVV Venlo","0.786","1.8806"
"279","N1","1.5903","Waalwijk","0.7467","1.0747"
"280","N1","1.5903","Willem II","0.786","1.4329"
"281","N1","1.5903","Zwolle","0.7074","0.806"
"282","P1","1.2278","Belenenses","0.7636","0.8836"
"283","P1","1.2278","Benfica","1.3744","0.6627"
"284","P1","1.2278","Boavista","0.8145","1.215"
"285","P1","1.2278","Famalicao","0.8145","1.3254"
"286","P1","1.2278","Farense","0.9163","1.1045"
"287","P1","1.2278","Gil Vicente","0.6108","0.9941"
"288","P1","1.2278","Guimaraes","1.0317","1.296"
"289","P1","1.2278","Maritimo","0.509","1.1598"
"290","P1","1.2278","Moreirense","1.069","1.2702"
"291","P1","1.2278","Nacional","0.9231","1.4727"
"292","P1","1.2278","Pacos Ferreira","1.1708","0.9389"
"293","P1","1.2278","Portimonense","1.0317","0.8836"
"294","P1","1.2278","Porto","1.6832","0.8247"
"295","P1","1.2278","Rio Ave","0.6108","0.8284"
"296","P1","1.2278","Santa Clara","1.1403","0.9425"
"297","P1","1.2278","Sp Braga","1.2726","0.7732"
"298","P1","1.2278","Sp Lisbon","1.5203","0.5302"
"299","P1","1.2278","Tondela","0.8145","0.8836"
"300","SC0","1.2639","Aberdeen","1.011","0.8193"
"301","SC0","1.2639","Celtic","1.6264","0.5301"
"302","SC0","1.2639","Dundee United","0.8352","1.0602"
"303","SC0","1.2639","Hamilton","0.5714","1.3012"
"304","SC0","1.2639","Hibernian","0.9231","1.012"
"305","SC0","1.2639","Kilmarnock","1.1868","1.1566"
"306","SC0","1.2639","Livingston","0.8791","1.0602"
"307","SC0","1.2639","Motherwell","0.8352","1.3976"
"308","SC0","1.2639","Rangers","2.3296","0.1928"
"309","SC0","1.2639","Ross County","0.7472","1.6385"
"310","SC0","1.2639","St Johnstone","0.3956","0.7229"
"311","SC0","1.2639","St Mirren","0.6593","1.1084"
"312","SC1","1.5481","Alloa","0.8305","1.6353"
"313","SC1","1.5481","Arbroath","0.7382","0.6203"
"314","SC1","1.5481","Ayr","0.5466","0.7287"
"315","SC1","1.5481","Dundee","1.2422","1.0324"
"316","SC1","1.5481","Dunfermline","1.1073","0.7331"
"317","SC1","1.5481","Hearts","2.0301","0.9022"
"318","SC1","1.5481","Inverness C","0.795","0.7895"
"319","SC1","1.5481","Morton","0.646","1.015"
"320","SC1","1.5481","Queen of Sth","0.8447","1.4575"
"321","SC1","1.5481","Raith Rvs","1.1925","1.0931"
"322","SC2","1.4091","Airdrie Utd","1.3548","0.8943"
"323","SC2","1.4091","Clyde","0.9677","1.3821"
"324","SC2","1.4091","Cove Rangers","1.1613","0.813"
"325","SC2","1.4091","Dumbarton","0.5161","0.8943"
"326","SC2","1.4091","East Fife","1.1613","0.8943"
"327","SC2","1.4091","Falkirk","0.9032","0.7317"
"328","SC2","1.4091","Forfar","0.6452","1.7073"
"329","SC2","1.4091","Montrose","1.2258","1.1382"
"330","SC2","1.4091","Partick","1.4193","0.5691"
"331","SC2","1.4091","Peterhead","0.6452","0.9756"
"332","SC3","1.3091","Albion Rvs","0.5556","1.0739"
"333","SC3","1.3091","Annan Athletic","1.0417","1.2081"
"334","SC3","1.3091","Brechin","0.4167","1.8121"
"335","SC3","1.3091","Cowdenbeath","0.625","1.2752"
"336","SC3","1.3091","Edinburgh City","1.25","0.9396"
"337","SC3","1.3091","Elgin","1.5972","1.0067"
"338","SC3","1.3091","Queens Park","1.4583","0.3356"
"339","SC3","1.3091","Stenhousemuir","1.0417","0.8725"
"340","SC3","1.3091","Stirling","0.625","0.604"
"341","SC3","1.3091","Stranraer","1.3889","0.8725"
"342","SP1","1.3524","Alaves","0.6983","1.129"
"343","SP1","1.3524","Ath Bilbao","1.1913","0.8835"
"344","SP1","1.3524","Ath Madrid","1.6093","0.4678"
"345","SP1","1.3524","Barcelona","1.7664","0.8835"
"346","SP1","1.3524","Betis","1.0439","1.0395"
"347","SP1","1.3524","Cadiz","0.6573","1.3253"
"348","SP1","1.3524","Celta","1.1744","1.4033"
"349","SP1","1.3524","Eibar","0.4785","0.9875"
"350","SP1","1.3524","Elche","0.6959","1.0914"
"351","SP1","1.3524","Getafe","0.534","0.589"
"352","SP1","1.3524","Granada","1.0439","1.0914"
"353","SP1","1.3524","Huesca","0.6959","1.0914"
"354","SP1","1.3524","Levante","0.9569","1.2993"
"355","SP1","1.3524","Osasuna","0.7829","1.0395"
"356","SP1","1.3524","Real Madrid","1.2735","0.589"
"357","SP1","1.3524","Sevilla","1.0874","0.5717"
"358","SP1","1.3524","Sociedad","1.2324","0.9817"
"359","SP1","1.3524","Valencia","1.2324","1.0799"
"360","SP1","1.3524","Valladolid","0.7829","1.3513"
"361","SP1","1.3524","Villarreal","1.027","1.129"
"362","SP2","1.1707","Albacete","0.6294","1.2335"
"363","SP2","1.1707","Alcorcon","0.7643","1.2335"
"364","SP2","1.1707","Almeria","1.3937","0.9868"
"365","SP2","1.1707","Cartagena","1.034","1.2335"
"366","SP2","1.1707","Castellon","0.9441","0.9868"
"367","SP2","1.1707","Espanol","1.7983","0.5551"
"368","SP2","1.1707","Fuenlabrada","0.8991","1.1101"
"369","SP2","1.1707","Girona","0.8991","0.7401"
"370","SP2","1.1707","Las Palmas","1.3937","1.1718"
"371","SP2","1.1707","Leganes","1.079","0.7401"
"372","SP2","1.1707","Logrones","0.6294","1.4185"
"373","SP2","1.1707","Lugo","0.7193","0.8634"
"374","SP2","1.1707","Malaga","0.7643","1.2951"
"375","SP2","1.1707","Mallorca","1.3038","0.6784"
"376","SP2","1.1707","Mirandes","0.8542","0.9868"
"377","SP2","1.1707","Oviedo","1.079","1.2951"
"378","SP2","1.1707","Ponferradina","1.079","1.1101"
"379","SP2","1.1707","Sabadell","0.8092","1.1718"
"380","SP2","1.1707","Sp Gijon","0.9491","0.651"
"381","SP2","1.1707","Tenerife","0.9891","0.6784"
"382","SP2","1.1707","Vallecano","1.2338","1.1067"
"383","SP2","1.1707","Zaragoza","0.7643","0.7401"
"384","T1","1.4975","Alanyaspor","1.4059","0.8063"
"385","T1","1.4975","Ankaragucu","0.9138","1.075"
"386","T1","1.4975","Antalyaspor","0.8435","1.2542"
"387","T1","1.4975","Besiktas","1.687","0.5375"
"388","T1","1.4975","Buyuksehyr","0.9138","1.2542"
"389","T1","1.4975","Denizlispor","0.5623","1.0302"
"390","T1","1.4975","Erzurum BB","0.601","1.2766"
"391","T1","1.4975","Fenerbahce","1.1598","1.0302"
"392","T1","1.4975","Galatasaray","1.4761","0.7167"
"393","T1","1.4975","Gaziantep","1.1598","0.8511"
"394","T1","1.4975","Genclerbirligi","0.7732","1.4334"
"395","T1","1.4975","Goztep","1.195","1.1198"
"396","T1","1.4975","Hatayspor","1.2301","0.9854"
"397","T1","1.4975","Karagumruk","1.3004","0.8511"
"398","T1","1.4975","Kasimpasa","0.8084","1.075"
"399","T1","1.4975","Kayserispor","0.6678","1.0302"
"400","T1","1.4975","Konyaspor","0.9138","0.8063"
"401","T1","1.4975","Rizespor","0.949","1.2542"
"402","T1","1.4975","Sivasspor","0.5975","0.6271"
"403","T1","1.4975","Trabzonspor","0.9841","1.0302"
"404","T1","1.4975","Yeni Malatyaspor","0.8787","0.9406"
