,x,
131,Christian Kabasele,
132,Christian Nørgaard,
133,Christian Pulisic,
134,Christoph Zimmermann,
135,Christos Tzolis,
136,Ciaran Clark,
137,Clément Lenglet,
138,Cole Palmer,
139,Connor Roberts,
140,Conor Coady,
141,Conor Gallagher,
142,Conor Hourihane,
143,Conor Townsend,
144,Craig Cathcart,
145,Craig Dawson,
146,Cristian Romero,
147,Cristiano Ronaldo,
148,Crysencio Summerville,
149,Curtis Jones,
150,Dale Stephens,
151,Dan Gosling,
152,Dan N'Lundulu,
153,Daniel Amartey,
154,Daniel Burn,
155,Daniel Ceballos,
156,Daniel James,
157,Daniel Jebbison,
158,Daniel Podence,
159,Danny Ings,
160,Danny Rose,
161,Danny Welbeck,
162,Dara O'Shea,
163,Darnell Furlong,
164,Darwin Nunez,
165,David Luiz,
166,David McGoldrick,
167,Davinson Sanchez,
168,Davinson Sánchez,
169,Davy Propper,
170,DeAndre Yedlin,
171,Declan Rice,
172,Dejan Kulusevski,
173,Dele Alli,
174,Demarai Gray,
175,Denis Odoi,
176,Deniz Undav,
177,Dennis Praet,
178,Diego Carlos,
179,Diego Costa,
180,Diego Llorente,
181,Dimitrios Giannoulis,
182,Diogo Dalot,
183,Diogo Jota,
184,Divock Origi,
185,Djed Spence,
186,Dominic Calvert-Lewin,
187,Dominic Solanke,
188,Dominic Thompson,
189,Donny van de Beek,
190,Douglas Luiz,
191,Duje Caleta-Car,
192,Dwight Gayle,
193,Dwight McNeil,
194,Eberechi Eze,
195,Edinson Cavani,
196,Édinson Cavani,
197,Edo Kayembe,
198,Edward Nketiah,
199,Elliot Anderson,
200,Emerson,
201,Emerson Royal,
202,Emil Krafth,
203,Emile Smith-Rowe,
204,Emile Smith Rowe,
205,Emiliano Buendia,
206,Emmanuel Dennis,
207,Enda Stevens,
208,Enock Mwepu,
209,Eric Bailly,
210,Eric Dier,
211,Eric Garcia,
212,Erik Lamela,
213,Erik Pieters,
214,Erling Braut Haaland,
215,Ethan Ampadu,
216,Ethan Pinnock,
217,Ezgjan Alioski,
218,Ezri Konsa,
219,Fabian Balbuena,
220,Fabian Delph,
221,Fabian Schaer,
222,Fabian Schär,
223,Fabinho,
224,Fabio Carvalho,
225,Fabio Silva,
226,Fabio Vieira,
227,Federico Fernandez,
228,Federico Fernández,
229,Fernandinho,
230,Fernando Marcal,
231,Ferran Torres,
232,Filip Krovinovic,
233,Flynn Downes,
234,Folarin Balogun,
235,Francisco Oliveira,
236,Francisco Sierralta,
237,Frank Onyeka,
238,Fred,
239,Gabriel,
240,Gabriel Jesus,
241,Gabriel Martinelli,
242,Gaetano Berardi,
243,Gareth Bale,
244,Gary Cahill,
245,George Baldock,
246,Georginio Wijnaldum,
247,Gianluca Scamacca,
248,Giovani Lo Celso,
249,Goncalo Guedes,
250,Grady Diangana,
251,Granit Xhaka,
252,Grant Hanley,
253,Gylfi Sigurdsson,
254,Hakim Ziyech,
255,Hal Robson-Kanu,
256,Halil Dervisoglu,
257,Hamza Choudhury,
258,Hannibal Mejbri,
259,Harrison Reed,
260,Harry Kane,
261,Harry Maguire,
262,Harry Toffolo,
263,Harry Wilson,
264,Harry Winks,
265,Harvey Barnes,
266,Harvey Elliott,
267,Hassane Kamara,
268,Hector Bellerin,
269,Hee-Chan Hwang,
270,Helder Costa,
271,Hélder Costa,
272,Heung-Min Son,
273,Hugo Bueno,
274,Ian Poveda,
275,Ibrahima Diallo,
276,Ibrahima Konaté,
277,Ilkay Gundogan,
278,Ilkay Gündogan,
279,Illan Meslier,
280,Imran Louza,
281,Isaac Hayden,
282,Isaac Price,
283,Islam Slimani,
284,Ismaila Sarr,
285,Issa Diop,
286,Ivan Cavaleiro,
287,Ivan Perisic,
288,Ivan Toney,
289,Jack Cork,
290,Jack Grealish,
291,Jack Harrison,
292,Jack Robinson,
293,Jack Stacey,
294,Jack Stephens,
295,Jacob Lungi Sørensen,
296,Jacob Murphy,
297,Jacob Ramsey,
298,Jadon Sancho,
299,Jaidon Anthony,
300,Jairo Riedewald,
301,Jake Livermore,
302,Jakub Moder,
303,Jamaal Lascelles,
304,Jamal Lewis,
305,James Garner,
306,James Justin,
307,James Maddison,
308,James McArthur,
309,James McAtee,
310,James McCarthy,
311,James Milner,
312,James Rodriguez,
313,James Tarkowski,
314,James Tomkins,
315,James Ward-Prowse,
316,Jamie Shackleton,
317,Jamie Vardy,
318,Jan Bednarek,
319,Jannik Vestergaard,
320,Japhet Tanganga,
321,Jarrad Branthwaite,
322,Jarrod Bowen,
323,Javier Manquillo,
324,Jay Rodriguez,
325,Jay Stansfield,
326,Jayden Bogle,
327,Jean-Philippe Mateta,
328,Jeff Hendrick,
329,Jefferson Lerma,
330,Jeffrey Schlupp,
331,Jeremy Ngakia,
332,Jeremy Sarmiento,
333,Jesse Lingard,
334,Jimmy Dunne,
335,Joachim Andersen,
336,Joao Cancelo,
337,Joao Moutinho,
338,Joao Palhinha,
339,Joao Pedro,
340,Joe Aribo,
341,Joe Bryan,
342,Joe Gelhardt,
343,Joe Hodge,
344,Joe Rodon,
345,Joe Worrall,
346,Joel Matip,
347,Joel Veltman,
348,Joel Ward,
349,Joelinton,
350,Johann Berg Gudmundsson,
351,John Egan,
352,John Fleck,
353,John Lundstram,
354,John McGinn,
355,John Stones,
356,Jonathan Rowe,
357,Jonjo Shelvey,
358,Jonjoe Kenny,
359,Jonny,
360,Jonny Evans,
361,Jordan Ayew,
362,Jordan Henderson,
363,Jorginho,
364,Jose Izquierdo,
365,José Sá,
366,José Salomon Rondon,
367,Joseph Gomez,
368,Joseph Willock,
369,Josh Benson,
370,Josh Brownhill,
371,Josh Maja,
372,Joshua Dasilva,
373,Joshua King,
374,Joshua Onomah,
375,Joshua Sargent,
376,Juan Hernández,
377,Juan Mata,
378,Julián Álvarez,
379,Julio Enciso,
380,Junior Firpo,
381,Junior Stanislas,
382,Juraj Kucka,
383,Jürgen Locadia,
384,Kai Havertz,
385,Kaide Gordon,
386,Kalidou Koulibaly,
387,Kalvin Phillips,
388,Kamil Grosicki,
389,Kaoru Mitoma,
390,Karlan Grant,
391,Kasper Schmeichel,
392,Kean Bryan,
393,Keane Lewis-Potter,
394,Keinan Davis,
395,Kelechi Iheanacho,
396,Ken Sema,
397,Kenedy,
398,Kenny McLean,
399,Kenny Tete,
400,Kevin De Bruyne,
401,Kevin Long,
402,Ki-Jana Hoever,
403,Kieffer Moore,
404,Kieran Dowell,
405,Kieran Gibbs,
406,Kieran Tierney,
407,Kieran Trippier,
408,Kiernan Dewsbury-Hall,
409,Kiko,
410,Konstantinos Tsimikas,
411,Kortney Hause,
412,Kristoffer Ajer,
413,Kurt Zouma,
414,Kyle Bartley,
415,Kyle Edwards,
416,Kyle Walker,
417,Kyle Walker-Peters,
418,Leander Dendoncker,
419,Leandro Trossard,
420,Leon Bailey,
421,Levi Colwill,
422,Lewis Bate,
423,Lewis Cook,
424,Lewis Dunk,
425,Lewis O'Brien,
426,Liam Cooper,
427,Liam Delap,
428,Lisandro Martinez,
429,Lucas Digne,
430,Lucas Moura,
431,Lucas Paquetá,
432,Luis Diaz,
433,Luis Sinisterra,
434,Luka Milivojevic,
435,Lukas Rupp,
436,Luke Ayling,
437,Luke Shaw,
438,Luke Thomas,
439,Lyanco,
440,Lys Mousset,
441,Mads Bech,
442,Mads Roerslev,
443,Malang Sarr,
444,Mamadou Sakho,
445,Manuel Akanji,
446,Manuel Lanzini,
447,Marc Albrighton,
448,Marc Cucurella,
449,Marc Guehi,
450,Marc Roca,
451,Marcos Alonso,
452,Marcos Senesi,
453,Marcus Forss,
454,Marcus Rashford,
455,Marcus Tavernier,
456,Mario Lemina,
457,Mark Noble,
458,Martin Ødegaard,
459,Martin Oedegaard,
460,Marvelous Nakamba,
461,Mason Greenwood,
462,Mason Holgate,
463,Mason Mount,
464,Matej Vydra,
465,Mateo Kovacic,
466,Mateusz Klich,
467,Matheus Nunes,
468,Matheus Pereira,
469,Mathias Jensen,
470,Mathias Jørgensen,
471,Mathias Normann,
472,Matt Doherty,
473,Matt Ritchie,
474,Matt Targett,
475,Matthew Lowton,
476,Matthew Phillips,
477,Matty Cash,
478,Max Aarons,
479,Max Kilman,
480,Max Lowe,
481,Maxime Le Marchand,
482,Maxwel Cornet,
483,Mbaye Diagne,
484,Michael Hector,
485,Michael Keane,
486,Michael Olise,
487,Michail Antonio,
488,Michy Batshuayi,
489,Miguel Almiron,
490,Mikkel Damsgaard,
491,Milot Rashica,
492,Mohamed Elneny,
493,Mohamed Elyounoussi,
494,Mohamed Salah,
495,Mohammed Salisu,
496,Moise Kean,
497,Moisés Caicedo,
498,Morgan Gibbs-White,
499,Morgan Sanson,
500,Moussa Djenepo,
501,Moussa Niakhaté,
502,Moussa Sissoko,
503,N'Golo Kante,
504,N'Golo Kanté,
505,Naby Keita,
506,Naif Aguerd,
507,Nampalys Mendy,
508,Nathan Ake,
509,Nathan Aké,
510,Nathan Collins,
511,Nathan Patterson,
512,Nathan Redmond,
513,Nathan Tella,
514,Nathaniel Chalobah,
515,Nathaniel Clyne,
516,Nathaniel Phillips,
517,Neal Maupay,
518,Neco Williams,
519,Neeskens Kebano,
520,Nelson Semedo,
521,Nélson Semedo,
522,Nemanja Matic,
523,Nicolas Pepe,
524,Nicolas Pépé,
525,Niels Nkounkou,
526,Nikola Vlasic,
527,Nuno Tavares,
528,Odsonne Edouard,
529,Oghenekaro Etebo,
530,Okay Yokuslu,
531,Ola Aina,
532,Oleksandr Zinchenko,
533,Oliver Burke,
534,Oliver McBurnie,
535,Oliver Norwood,
536,Oliver Skipp,
537,Olivier Giroud,
538,Ollie Watkins,
539,Orel Mangala,
540,Oriol Romeu,
541,Owen Otasowie,
542,Ozan Kabak,
543,Ozan Tufan,
544,Pablo Fornals,
545,Pablo Hernandez,
546,Pablo Mari,
547,Pascal Gross,
548,Pascal Struijk,
549,Patrick Bamford,
550,Patrick Cutrone,
551,Patrick van Aanholt,
552,Patson Daka,
553,Paul Dummett,
554,Paul Pogba,
555,Pedro Neto,
556,Pervis Estupinan,
557,Phil Bardsley,
558,Phil Foden,
559,Phil Jagielka,
560,Philip Billing,
561,Philippe Coutinho,
562,Pierre-Emerick Aubameyang,
563,Pierre-Emile Hoejbjerg,
564,Pierre-Emile Højbjerg,
565,Pierre Lees-Melou,
566,Pontus Jansson,
567,Przemyslaw Placheta,
568,Raheem Sterling,
569,Raphaël Varane,
570,Raphinha,
571,Rasmus Kristensen,
572,Raul Jimenez,
573,Raul Jiménez,
574,Rayan Ait Nouri,
575,Reece James,
576,Reiss Nelson,
577,Rekeem Harper,
578,Remo Freuler,
579,Renan Lodi,
580,Rhian Brewster,
581,Rhys Williams,
582,Ricardo Pereira,
583,Richarlison,
584,Rico Henry,
585,Riyad Mahrez,
586,Rob Holding,
587,Robert Brady,
588,Robert Snodgrass,
589,Roberto Firmino,
590,Robin Koch,
591,Rodri,
592,Rodrigo,
593,Rodrigo Bentancur,
594,Romain Perraud,
595,Romain Saiss,
596,Romaine Sawyers,
597,Romelu Lukaku,
598,Romeo Lavia,
599,Ross Barkley,
600,Ruben Dias,
601,Ruben Loftus-Cheek,
602,Ruben Neves,
603,Ryan Bertrand,
604,Ryan Christie,
605,Ryan Fraser,
606,Ryan Fredericks,
607,Ryan Sessegnon,
608,Ryan Yates,
609,Sadio Mane,
610,Sadio Mané,
611,Said Benrahma,
612,Sam Byram,
613,Sam Greenwood,
614,Sam Surridge,
615,Saman Ghoddos,
616,Samir,
617,Samuel Edozie,
618,Samuel Kalu,
619,Sander Berge,
620,Sasa Kalajdzic,
621,Saul Niguez,
622,Scott Dann,
623,Scott McKenna,
624,Scott McTominay,
625,Seamus Coleman,
626,Sean Longstaff,
627,Sebastien Haller,
628,Sékou Mara,
629,Semi Ajayi,
630,Serge Aurier,
631,Sergi Canos,
632,Sergio Aguero,
633,Sergio Gomez,
634,Sergio Reguilon,
635,Shandon Baptiste,
636,Shane Duffy,
637,Shane Long,
638,Sidnei Tavares,
639,Solly March,
640,Stefan Bajcetic,
641,Steve Cook,
642,Steven Alzate,
643,Steven Bergwijn,
644,Stuart Armstrong,
645,Stuart Dallas,
646,Sven Botman,
647,Taiwo Awoniyi,
648,Takehiro Tomiyasu,
649,Takumi Minamino,
650,Tammy Abraham,
651,Tanguy Ndombele,
652,Tanguy Ndombélé,
653,Tariq Lamptey,
654,Tariqe Fosu,
655,Taylor Richards,
656,Teemu Pukki,
657,Theo Walcott,
658,Thiago Alcantara,
659,Thiago Alcántara,
660,Thiago Silva,
661,Thilo Kehrer,
662,Thomas Cannon,
663,Thomas Partey,
664,Tim Iroegbunam,
665,Tim Krul,
666,Tim Ream,
667,Timo Werner,
668,Timothy Castagne,
669,Timothy Fosu-Mensah,
670,Toby Alderweireld,
671,Todd Cantwell,
672,Tom Cairney,
673,Tom Cleverley,
674,Tom Davies,
675,Tomas Soucek,
676,Tony Springett,
677,Tosin Adarabioyo,
678,Toti Gomes,
679,Trent Alexander-Arnold,
680,Trevoh Chalobah,
681,Trezeguet,
682,Trincao,
683,Troy Deeney,
684,Tyler Adams,
685,Tyler Onyango,
686,Tyler Roberts,
687,Tyrell Malacia,
688,Tyrick Mitchell,
689,Tyrone Mings,
690,Valentino Livramento,
691,Victor Nilsson Lindeloef,
692,Victor Nilsson Lindelöf,
693,Vinicius,
694,Virgil van Dijk,
695,Vitalii Mykolenko,
696,Vitaly Janelt,
697,Vitinha,
698,Vladimir Coufal,
699,Wesley,
700,Wesley Fofana,
701,Wilfred Ndidi,
702,Wilfried Zaha,
703,Will Hughes,
704,William Saliba,
705,William Smallbone,
706,William Troost-Ekong,
707,Willian,
708,Willian Jose,
709,Willy Boly,
710,Wout Faes,
711,Wout Weghorst,
712,Xherdan Shaqiri,
713,Yan Valery,
714,Yerry Mina,
715,Yoane Wissa,
716,Youri Tielemans,
717,Yves Bissouma,
