,x,
1,Aaron Connolly,
2,Aaron Cresswell,3
3,Aaron Hickey,2
4,Aaron Lennon,
5,Aaron Wan-Bissaka,29
6,Abdoulaye Doucoure,16
7,Abdoulaye Doucouré,16
8,Aboubakar Kamara,
9,Adam Armstrong,9
10,Adam Forshaw,4
11,Adam Idah,
12,Adam Lallana,14
13,Adam Masina,
14,Adam Smith,15
15,Adam Webster,4
16,Adama Traore,37
17,Adama Traoré,37
18,Ademola Lookman,
19,Ahmed El Mohamady,
20,Ainsley Maitland-Niles,3
21,Albert Sambi Lokonga,23
22,Alejandro Garnacho,49
23,Aleksandar Mitrovic,9
24,Alex Iwobi,17
25,Alex Oxlade-Chamberlain,15
26,Alex Telles,
27,Alexander Isak,14
28,Alexandre Lacazette,
29,Alexis Mac Allister,10
30,Alireza Jahanbakhsh,
31,Alisson Becker,1
32,Allan,
33,Allan Saint-Maximin,10
34,Álvaro Fernández,
35,Amad,
36,Amadou Onana,8
37,Andi Zeqiri,
38,Andre-Frank Zambo Anguissa,
39,Andre Gomes,
40,André Gomes,
41,Andreas Christensen,
42,Andreas Pereira,18
43,Andrew Omobamidele,
44,Andrew Robertson,26
45,Andriy Yarmolenko,
46,Andros Townsend,14
47,Andy Carroll,
48,Angelo Ogbonna,21
49,Anthony Elanga,36
50,Anthony Gordon,10
51,Anthony Martial,9
52,Antonee Robinson,33
53,Antonio Rüdiger,
54,Antonio Ruediger,
55,Antony,21
56,Antwoine Hackford,
57,Anwar El-Ghazi,
58,Armando Broja,18
59,Armel Bella-Kotchap,37
60,Arthur Masuaku,
61,Ashley Barnes,
62,Ashley Fletcher,
63,Ashley Westwood,
64,Ashley Young,18
65,Axel Tuanzebe,38
66,Aymeric Laporte,14
67,Ayoze Perez,17
68,Ayoze Pérez,
69,Ben Chilwell,21
70,Ben Davies,33
71,Ben Gibson,
72,Ben Godfrey,22
73,Ben Johnson,2
74,Ben Mee,16
75,Ben Osborn,
76,Ben Pearson,22
77,Ben White,4
78,Benjamin Mendy,
79,Bernard,
80,Bernardo,
81,Bernardo Silva,20
82,Bernd Leno,
83,Bertrand Traore,
84,Bertrand Traoré,
85,Billy Gilmour,
86,Billy Sharp,
87,Bobby Reid,
88,Boubacar Kamara,
89,Boubacar Traore,
90,Boubakary Soumaré,
91,Brandon Williams,
92,Branislav Ivanovic,
93,Brenden Aaronson,
94,Brennan Johnson,
95,Bruno Fernandes,
96,Bruno Guimaraes,
97,Bryan Gil,
98,Bryan Mbeumo,
99,Bukayo Saka,
100,Caglar Soyuncu,
101,Caglar Söyüncü,
102,Callum Hudson-Odoi,
103,Callum Robinson,
104,Callum Wilson,
105,Calum Chambers,
106,Cameron Archer,
107,Carney Chukwuemeka,
108,Casemiro,
109,Cedric Soares,
110,Cédric Soares,
111,Cengiz Under,
112,Cesar Azpilicueta,
113,César Azpilicueta,
114,Charlie Austin,
115,Charlie Cresswell,
116,Charlie Goode,
117,Charlie Taylor,
118,Che Adams,
119,Cheick Oumar Doucouré,
120,Cheikhou Kouyate,
121,Cheikhou Kouyaté,
122,Chem Campbell,
123,Chiquinho,
124,Chris Basham,
125,Chris Mepham,
126,Chris Richards,
127,Chris Wood,
128,Christian Benteke,
129,Christian Eriksen,
130,Christian Fuchs,
