"","ec_division","ec_teams","ec_avg_AG","ec_away_as","ec_away_ds","ec_totalgames_poiss"
"1","EC","Aldershot","1.2882","1.0748","0.78","no24"
"2","EC","Altrincham","1.2882","1.109","1.4487","no24"
"3","EC","Barnet","1.2882","1.0151","1.0401","no24"
"4","EC","Boreham Wood","1.2882","1.0868","0.6084","no24"
"5","EC","Bromley","1.2882","1.0586","0.8604","no24"
"6","EC","Chesterfield","1.2882","1.4331","0.52","no24"
"7","EC","Dag and Red","1.2882","1.1346","0.78","no24"
"8","EC","Dover Athletic","1.2882","0.7166","1.9761","no24"
"9","EC","Eastleigh","1.2882","0.3529","1.1677","no24"
"10","EC","Grimsby","1.2882","0.7763","0.9577","no24"
"11","EC","Halifax","1.2882","0.9981","0.6278","no24"
"12","EC","Kings Lynn","1.2882","0.841","1.6338","no24"
"13","EC","Maidenhead","1.2882","0.3881","1.1831","no24"
"14","EC","Notts County","1.2882","1.0997","0.676","no24"
"15","EC","Solihull","1.2882","0.9174","0.676","no24"
"16","EC","Southend","1.2882","0.499","0.8692","no24"
"17","EC","Stockport","1.2882","1.6635","0.6278","no24"
"18","EC","Torquay","1.2882","1.0151","1.0921","no24"
"19","EC","Wealdstone","1.2882","0.7763","1.2957","no24"
"20","EC","Weymouth","1.2882","0.7763","1.5081","no24"
"21","EC","Woking","1.2882","1.3137","0.9881","no24"
"22","EC","Wrexham","1.2882","1.7743","0.9175","no24"
"23","EC","Yeovil","1.2882","0.9174","0.676","no24"
