"","final_first_column_mls","final_second_column_mls"
"1","Vancouver Whitecaps","Houston Dynamo"
"2","Vancouver Whitecaps","Houston Dynamo"
"3","Vancouver Whitecaps","Houston Dynamo"
"4","Vancouver Whitecaps","Houston Dynamo"
"5","Houston Dynamo","Vancouver Whitecaps"
"6","Houston Dynamo","Vancouver Whitecaps"
"7","Houston Dynamo","Vancouver Whitecaps"
"8","Houston Dynamo","Vancouver Whitecaps"
"9","Atlanta Utd","Seattle Sounders"
"10","Atlanta Utd","Seattle Sounders"
"11","Atlanta Utd","Seattle Sounders"
"12","Atlanta Utd","Seattle Sounders"
"13","Seattle Sounders","Atlanta Utd"
"14","Seattle Sounders","Atlanta Utd"
"15","Seattle Sounders","Atlanta Utd"
"16","Seattle Sounders","Atlanta Utd"
"17","Charlotte","Chicago Fire"
"18","Charlotte","Chicago Fire"
"19","Charlotte","Chicago Fire"
"20","Charlotte","Chicago Fire"
"21","Chicago Fire","Charlotte"
"22","Chicago Fire","Charlotte"
"23","Chicago Fire","Charlotte"
"24","Chicago Fire","Charlotte"
"25","CF Montreal","Inter Miami"
"26","CF Montreal","Inter Miami"
"27","CF Montreal","Inter Miami"
"28","CF Montreal","Inter Miami"
"29","Inter Miami","CF Montreal"
"30","Inter Miami","CF Montreal"
"31","Inter Miami","CF Montreal"
"32","Inter Miami","CF Montreal"
"33","Columbus Crew","New York City"
"34","Columbus Crew","New York City"
"35","Columbus Crew","New York City"
"36","Columbus Crew","New York City"
"37","New York City","Columbus Crew"
"38","New York City","Columbus Crew"
"39","New York City","Columbus Crew"
"40","New York City","Columbus Crew"
"41","DC United","New York Red Bulls"
"42","DC United","New York Red Bulls"
"43","DC United","New York Red Bulls"
"44","DC United","New York Red Bulls"
"45","New York Red Bulls","DC United"
"46","New York Red Bulls","DC United"
"47","New York Red Bulls","DC United"
"48","New York Red Bulls","DC United"
"49","FC Cincinnati","Philadelphia Union"
"50","FC Cincinnati","Philadelphia Union"
"51","FC Cincinnati","Philadelphia Union"
"52","FC Cincinnati","Philadelphia Union"
"53","Philadelphia Union","FC Cincinnati"
"54","Philadelphia Union","FC Cincinnati"
"55","Philadelphia Union","FC Cincinnati"
"56","Philadelphia Union","FC Cincinnati"
"57","Orlando City","New England Revolution"
"58","Orlando City","New England Revolution"
"59","Orlando City","New England Revolution"
"60","Orlando City","New England Revolution"
"61","New England Revolution","Orlando City"
"62","New England Revolution","Orlando City"
"63","New England Revolution","Orlando City"
"64","New England Revolution","Orlando City"
"65","Nashville SC","Toronto FC"
"66","Nashville SC","Toronto FC"
"67","Nashville SC","Toronto FC"
"68","Nashville SC","Toronto FC"
"69","Toronto FC","Nashville SC"
"70","Toronto FC","Nashville SC"
"71","Toronto FC","Nashville SC"
"72","Toronto FC","Nashville SC"
"73","Sporting Kansas City","Los Angeles Galaxy"
"74","Sporting Kansas City","Los Angeles Galaxy"
"75","Sporting Kansas City","Los Angeles Galaxy"
"76","Sporting Kansas City","Los Angeles Galaxy"
"77","Los Angeles Galaxy","Sporting Kansas City"
"78","Los Angeles Galaxy","Sporting Kansas City"
"79","Los Angeles Galaxy","Sporting Kansas City"
"80","Los Angeles Galaxy","Sporting Kansas City"
"81","Austin FC","San Jose Earthquakes"
"82","Austin FC","San Jose Earthquakes"
"83","Austin FC","San Jose Earthquakes"
"84","Austin FC","San Jose Earthquakes"
"85","San Jose Earthquakes","Austin FC"
"86","San Jose Earthquakes","Austin FC"
"87","San Jose Earthquakes","Austin FC"
"88","San Jose Earthquakes","Austin FC"
"89","Colorado Rapids","Minnesota United"
"90","Colorado Rapids","Minnesota United"
"91","Colorado Rapids","Minnesota United"
"92","Colorado Rapids","Minnesota United"
"93","Minnesota United","Colorado Rapids"
"94","Minnesota United","Colorado Rapids"
"95","Minnesota United","Colorado Rapids"
"96","Minnesota United","Colorado Rapids"
"97","Real Salt Lake","Los Angeles FC"
"98","Real Salt Lake","Los Angeles FC"
"99","Real Salt Lake","Los Angeles FC"
"100","Real Salt Lake","Los Angeles FC"
"101","Los Angeles FC","Real Salt Lake"
"102","Los Angeles FC","Real Salt Lake"
"103","Los Angeles FC","Real Salt Lake"
"104","Los Angeles FC","Real Salt Lake"
"105","Portland Timbers","FC Dallas"
"106","Portland Timbers","FC Dallas"
"107","Portland Timbers","FC Dallas"
"108","Portland Timbers","FC Dallas"
"109","FC Dallas","Portland Timbers"
"110","FC Dallas","Portland Timbers"
"111","FC Dallas","Portland Timbers"
"112","FC Dallas","Portland Timbers"
