MatchNumber,RoundNumber,Location,Date,Home_Team,Away_Team
1,1,stadium,8/7/2021,Wycombe,Accrington
2,1,stadium,8/7/2021,Doncaster,AFC Wimbledon
3,1,stadium,8/7/2021,Shrewsbury,Burton
4,1,stadium,8/7/2021,Crewe,Cheltenham
5,1,stadium,8/7/2021,Gillingham,Lincoln
6,1,stadium,8/7/2021,Bolton,Milton Keynes Dons
7,1,stadium,8/7/2021,Ipswich,Morecambe
8,1,stadium,8/7/2021,Cambridge,Oxford
9,1,stadium,8/7/2021,Rotherham,Plymouth
10,1,stadium,8/7/2021,Fleetwood Town,Portsmouth
11,1,stadium,8/7/2021,Charlton,Sheffield Weds
12,1,stadium,8/7/2021,Sunderland,Wigan
13,1,stadium,8/14/2021,AFC Wimbledon,Bolton
14,1,stadium,8/14/2021,Accrington,Cambridge
15,1,stadium,8/14/2021,Oxford,Charlton
16,1,stadium,8/14/2021,Portsmouth,Crewe
17,1,stadium,8/14/2021,Sheffield Weds,Doncaster
18,1,stadium,8/14/2021,Lincoln,Fleetwood Town
19,1,stadium,8/14/2021,Plymouth,Gillingham
20,1,stadium,8/14/2021,Burton,Ipswich
21,1,stadium,8/14/2021,Wigan,Rotherham
22,1,stadium,8/14/2021,Morecambe,Shrewsbury
23,1,stadium,8/14/2021,Milton Keynes Dons,Sunderland
24,1,stadium,8/14/2021,Cheltenham,Wycombe
25,1,stadium,8/17/2021,Lincoln,Bolton
26,1,stadium,8/17/2021,Plymouth,Cambridge
27,1,stadium,8/17/2021,Milton Keynes Dons,Charlton
28,1,stadium,8/17/2021,Oxford,Crewe
29,1,stadium,8/17/2021,Accrington,Doncaster
30,1,stadium,8/17/2021,Sheffield Weds,Fleetwood Town
31,1,stadium,8/17/2021,AFC Wimbledon,Gillingham
32,1,stadium,8/17/2021,Cheltenham,Ipswich
33,1,stadium,8/17/2021,Morecambe,Rotherham
34,1,stadium,8/17/2021,Portsmouth,Shrewsbury
35,1,stadium,8/17/2021,Burton,Sunderland
36,1,stadium,8/17/2021,Wigan,Wycombe
37,1,stadium,8/21/2021,Crewe,Accrington
38,1,stadium,8/21/2021,Sunderland,AFC Wimbledon
39,1,stadium,8/21/2021,Cambridge,Burton
40,1,stadium,8/21/2021,Fleetwood Town,Cheltenham
41,1,stadium,8/21/2021,Wycombe,Lincoln
42,1,stadium,8/21/2021,Ipswich,Milton Keynes Dons
43,1,stadium,8/21/2021,Gillingham,Morecambe
44,1,stadium,8/21/2021,Bolton,Oxford
45,1,stadium,8/21/2021,Shrewsbury,Plymouth
46,1,stadium,8/21/2021,Doncaster,Portsmouth
