"","final_first_column_bra","final_second_column_bra"
"1","Botafogo RJ","Ceara"
"2","Botafogo RJ","Ceara"
"3","Botafogo RJ","Ceara"
"4","Botafogo RJ","Ceara"
"5","Ceara","Botafogo RJ"
"6","Ceara","Botafogo RJ"
"7","Ceara","Botafogo RJ"
"8","Ceara","Botafogo RJ"
"9","Juventude","America MG"
"10","Juventude","America MG"
"11","Juventude","America MG"
"12","Juventude","America MG"
"13","America MG","Juventude"
"14","America MG","Juventude"
"15","America MG","Juventude"
"16","America MG","Juventude"
"17","Atletico GO","Bragantino"
"18","Atletico GO","Bragantino"
"19","Atletico GO","Bragantino"
"20","Atletico GO","Bragantino"
"21","Bragantino","Atletico GO"
"22","Bragantino","Atletico GO"
"23","Bragantino","Atletico GO"
"24","Bragantino","Atletico GO"
"25","Avai","Corinthians"
"26","Avai","Corinthians"
"27","Avai","Corinthians"
"28","Avai","Corinthians"
"29","Corinthians","Avai"
"30","Corinthians","Avai"
"31","Corinthians","Avai"
"32","Corinthians","Avai"
"33","Sao Paulo","Flamengo RJ"
"34","Sao Paulo","Flamengo RJ"
"35","Sao Paulo","Flamengo RJ"
"36","Sao Paulo","Flamengo RJ"
"37","Flamengo RJ","Sao Paulo"
"38","Flamengo RJ","Sao Paulo"
"39","Flamengo RJ","Sao Paulo"
"40","Flamengo RJ","Sao Paulo"
"41","Fluminense","Cuiaba"
"42","Fluminense","Cuiaba"
"43","Fluminense","Cuiaba"
"44","Fluminense","Cuiaba"
"45","Cuiaba","Fluminense"
"46","Cuiaba","Fluminense"
"47","Cuiaba","Fluminense"
"48","Cuiaba","Fluminense"
"49","Palmeiras","Goias"
"50","Palmeiras","Goias"
"51","Palmeiras","Goias"
"52","Palmeiras","Goias"
"53","Goias","Palmeiras"
"54","Goias","Palmeiras"
"55","Goias","Palmeiras"
"56","Goias","Palmeiras"
"57","Fortaleza","Internacional"
"58","Fortaleza","Internacional"
"59","Fortaleza","Internacional"
"60","Fortaleza","Internacional"
"61","Internacional","Fortaleza"
"62","Internacional","Fortaleza"
"63","Internacional","Fortaleza"
"64","Internacional","Fortaleza"
"65","Atletico-MG","Athletico-PR"
"66","Atletico-MG","Athletico-PR"
"67","Atletico-MG","Athletico-PR"
"68","Atletico-MG","Athletico-PR"
"69","Athletico-PR","Atletico-MG"
"70","Athletico-PR","Atletico-MG"
"71","Athletico-PR","Atletico-MG"
"72","Athletico-PR","Atletico-MG"
"73","Coritiba","Santos"
"74","Coritiba","Santos"
"75","Coritiba","Santos"
"76","Coritiba","Santos"
"77","Santos","Coritiba"
"78","Santos","Coritiba"
"79","Santos","Coritiba"
"80","Santos","Coritiba"
