"","d2_division","d2_teams","d2_avg_AG","d2_away_as","d2_away_ds","d2_totalgames_poiss"
"1","D2","Darmstadt","1.3705","1.303","0.7979","no30"
"2","D2","Dresden","1.3705","0.5212","1.0325","no30"
"3","D2","Erzgebirge Aue","1.3705","0.8419","1.4152","no30"
"4","D2","Fortuna Dusseldorf","1.3705","0.7297","0.8448","no30"
"5","D2","Hamburg","1.3705","1.1226","0.6571","no30"
"6","D2","Hannover","1.3705","0.7818","1.1264","no30"
"7","D2","Hansa Rostock","1.3705","1.1466","1.0325","no30"
"8","D2","Heidenheim","1.3705","0.6775","1.0795","no30"
"9","D2","Holstein Kiel","1.3705","0.9903","1.2203","no30"
"10","D2","Ingolstadt","1.3705","0.6775","1.408","no30"
"11","D2","Karlsruhe","1.3705","1.1226","1.0109","no30"
"12","D2","Nurnberg","1.3705","1.0945","0.9856","no30"
"13","D2","Paderborn","1.3705","1.5114","0.7979","no30"
"14","D2","Regensburg","1.3705","0.886","0.8448","no30"
"15","D2","Sandhausen","1.3705","0.9242","0.9199","no30"
"16","D2","Schalke 04","1.3705","1.1987","0.6101","no30"
"17","D2","St Pauli","1.3705","1.0215","1.0951","no30"
"18","D2","Werder Bremen","1.3705","1.4593","1.1264","no30"
