"","final_first_column_f2","final_second_column_f2"
"1","Amiens","Niort"
"2","Amiens","Niort"
"3","Amiens","Niort"
"4","Amiens","Niort"
"5","Niort","Amiens"
"6","Niort","Amiens"
"7","Niort","Amiens"
"8","Niort","Amiens"
"9","Bastia","Metz"
"10","Bastia","Metz"
"11","Bastia","Metz"
"12","Bastia","Metz"
"13","Metz","Bastia"
"14","Metz","Bastia"
"15","Metz","Bastia"
"16","Metz","Bastia"
"17","Grenoble","Caen"
"18","Grenoble","Caen"
"19","Grenoble","Caen"
"20","Grenoble","Caen"
"21","Caen","Grenoble"
"22","Caen","Grenoble"
"23","Caen","Grenoble"
"24","Caen","Grenoble"
"25","Guingamp","St Etienne"
"26","Guingamp","St Etienne"
"27","Guingamp","St Etienne"
"28","Guingamp","St Etienne"
"29","St Etienne","Guingamp"
"30","St Etienne","Guingamp"
"31","St Etienne","Guingamp"
"32","St Etienne","Guingamp"
"33","Le Havre","Annecy"
"34","Le Havre","Annecy"
"35","Le Havre","Annecy"
"36","Le Havre","Annecy"
"37","Annecy","Le Havre"
"38","Annecy","Le Havre"
"39","Annecy","Le Havre"
"40","Annecy","Le Havre"
"41","Paris FC","Rodez"
"42","Paris FC","Rodez"
"43","Paris FC","Rodez"
"44","Paris FC","Rodez"
"45","Rodez","Paris FC"
"46","Rodez","Paris FC"
"47","Rodez","Paris FC"
"48","Rodez","Paris FC"
"49","Pau FC","Valenciennes"
"50","Pau FC","Valenciennes"
"51","Pau FC","Valenciennes"
"52","Pau FC","Valenciennes"
"53","Valenciennes","Pau FC"
"54","Valenciennes","Pau FC"
"55","Valenciennes","Pau FC"
"56","Valenciennes","Pau FC"
"57","Quevilly Rouen","Laval"
"58","Quevilly Rouen","Laval"
"59","Quevilly Rouen","Laval"
"60","Quevilly Rouen","Laval"
"61","Laval","Quevilly Rouen"
"62","Laval","Quevilly Rouen"
"63","Laval","Quevilly Rouen"
"64","Laval","Quevilly Rouen"
"65","Sochaux","Nimes"
"66","Sochaux","Nimes"
"67","Sochaux","Nimes"
"68","Sochaux","Nimes"
"69","Nimes","Sochaux"
"70","Nimes","Sochaux"
"71","Nimes","Sochaux"
"72","Nimes","Sochaux"
