"","ec_division","ec_teams","ec_avg_AG","ec_away_as","ec_away_ds","ec_totalgames_poiss"
"1","EC","Aldershot","1.2472","1.0691","0.9832","no30"
"2","EC","Altrincham","1.2472","0.9905","1.2619","no30"
"3","EC","Barnet","1.2472","1.0022","1.2151","no30"
"4","EC","Boreham Wood","1.2472","0.9868","0.7735","no30"
"5","EC","Bromley","1.2472","0.9736","0.8619","no30"
"6","EC","Chesterfield","1.2472","1.4432","0.581","no30"
"7","EC","Dag and Red","1.2472","1.176","0.8045","no30"
"8","EC","Dover Athletic","1.2472","0.6131","1.8534","no30"
"9","EC","Eastleigh","1.2472","0.3508","1.2151","no30"
"10","EC","Grimsby","1.2472","0.9087","0.8938","no30"
"11","EC","Halifax","1.2472","1.0524","0.5866","no30"
"12","EC","Kings Lynn","1.2472","0.7517","1.3827","no30"
"13","EC","Maidenhead","1.2472","0.5345","1.162","no30"
"14","EC","Notts County","1.2472","1.2294","0.8045","no30"
"15","EC","Solihull","1.2472","0.9736","0.6704","no30"
"16","EC","Southend","1.2472","0.7075","0.907","no30"
"17","EC","Stockport","1.2472","1.7539","0.5866","no30"
"18","EC","Torquay","1.2472","1.2027","1.0475","no30"
"19","EC","Wealdstone","1.2472","0.9521","1.257","no30"
"20","EC","Weymouth","1.2472","0.7517","1.5921","no30"
"21","EC","Woking","1.2472","1.0848","0.8675","no30"
"22","EC","Wrexham","1.2472","1.6979","0.8281","no30"
"23","EC","Yeovil","1.2472","0.8018","0.6704","no30"
