"","final_first_column_sc2div","final_second_column_sc2div"
"1","Airdrie Utd","Falkirk"
"2","Airdrie Utd","Falkirk"
"3","Airdrie Utd","Falkirk"
"4","Airdrie Utd","Falkirk"
"5","Falkirk","Airdrie Utd"
"6","Falkirk","Airdrie Utd"
"7","Falkirk","Airdrie Utd"
"8","Falkirk","Airdrie Utd"
"9","Alloa","Kelty Hearts"
"10","Alloa","Kelty Hearts"
"11","Alloa","Kelty Hearts"
"12","Alloa","Kelty Hearts"
"13","Kelty Hearts","Alloa"
"14","Kelty Hearts","Alloa"
"15","Kelty Hearts","Alloa"
"16","Kelty Hearts","Alloa"
"17","Clyde","Peterhead"
"18","Clyde","Peterhead"
"19","Clyde","Peterhead"
"20","Clyde","Peterhead"
"21","Peterhead","Clyde"
"22","Peterhead","Clyde"
"23","Peterhead","Clyde"
"24","Peterhead","Clyde"
"25","FC Edinburgh","Dunfermline"
"26","FC Edinburgh","Dunfermline"
"27","FC Edinburgh","Dunfermline"
"28","FC Edinburgh","Dunfermline"
"29","Dunfermline","FC Edinburgh"
"30","Dunfermline","FC Edinburgh"
"31","Dunfermline","FC Edinburgh"
"32","Dunfermline","FC Edinburgh"
"33","Montrose","Queen of Sth"
"34","Montrose","Queen of Sth"
"35","Montrose","Queen of Sth"
"36","Montrose","Queen of Sth"
"37","Queen of Sth","Montrose"
"38","Queen of Sth","Montrose"
"39","Queen of Sth","Montrose"
"40","Queen of Sth","Montrose"
