"","MatchNumber","RoundNumber","Location","Date","Home_Team","Away_Team"
"1","  1","1","stadium","8/13/2021","Go Ahead Eagles","Heerenveen"
"2","  2","1","stadium","8/14/2021","Waalwijk","AZ Alkmaar"
"3","  3","1","stadium","8/14/2021","Ajax","Nijmegen"
"4","  4","1","stadium","8/14/2021","Heracles","PSV Eindhoven"
"5","  5","1","stadium","8/14/2021","For Sittard","Twente"
"6","  6","1","stadium","8/15/2021","Willem II","Feyenoord"
"7","  7","1","stadium","8/15/2021","Cambuur","Groningen"
"8","  8","1","stadium","8/15/2021","Utrecht","Sparta Rotterdam"
"9","  9","1","stadium","8/15/2021","Zwolle","Vitesse"
"10"," 10","1","stadium","8/20/2021","Nijmegen","Zwolle"
"11"," 11","1","stadium","8/21/2021","PSV Eindhoven","Cambuur"
"12"," 12","1","stadium","8/21/2021","Sparta Rotterdam","Heracles"
"13"," 13","1","stadium","8/21/2021","Heerenveen","Waalwijk"
"14"," 14","1","stadium","8/21/2021","Groningen","Utrecht"
"15"," 15","1","stadium","8/22/2021","Twente","Ajax"
"16"," 16","1","stadium","8/22/2021","AZ Alkmaar","For Sittard"
"17"," 17","1","stadium","8/22/2021","Feyenoord","Go Ahead Eagles"
"18"," 18","1","stadium","8/22/2021","Vitesse","Willem II"
"19"," 19","1","stadium","8/27/2021","For Sittard","Waalwijk"
"20"," 20","1","stadium","8/28/2021","PSV Eindhoven","Groningen"
"21"," 21","1","stadium","8/28/2021","Go Ahead Eagles","Sparta Rotterdam"
"22"," 22","1","stadium","8/28/2021","Cambuur","Twente"
"23"," 23","1","stadium","8/28/2021","Willem II","Zwolle"
"24"," 24","1","stadium","8/29/2021","Heerenveen","AZ Alkmaar"
"25"," 25","1","stadium","8/29/2021","Utrecht","Feyenoord"
"26"," 26","1","stadium","8/29/2021","Heracles","Nijmegen"
"27"," 27","1","stadium","8/29/2021","Ajax","Vitesse"
"28"," 28","1","stadium","9/11/2021","Zwolle","Ajax"
"29"," 29","1","stadium","9/11/2021","Sparta Rotterdam","For Sittard"
"30"," 30","1","stadium","9/11/2021","Cambuur","Go Ahead Eagles"
"31"," 31","1","stadium","9/11/2021","AZ Alkmaar","PSV Eindhoven"
"32"," 32","1","stadium","9/11/2021","Twente","Utrecht"
"33"," 33","1","stadium","9/12/2021","Groningen","Heerenveen"
"34"," 34","1","stadium","9/12/2021","Feyenoord","Heracles"
"35"," 35","1","stadium","9/12/2021","Waalwijk","Vitesse"
"36"," 36","1","stadium","9/12/2021","Nijmegen","Willem II"
"37"," 37","1","stadium","9/17/2021","Sparta Rotterdam","Nijmegen"
"38"," 38","1","stadium","9/18/2021","Ajax","Cambuur"
"39"," 39","1","stadium","9/18/2021","Heerenveen","For Sittard"
"40"," 40","1","stadium","9/18/2021","Willem II","Groningen"
"41"," 41","1","stadium","9/18/2021","Utrecht","Waalwijk"
"42"," 42","1","stadium","9/19/2021","Heracles","AZ Alkmaar"
"43"," 43","1","stadium","9/19/2021","PSV Eindhoven","Feyenoord"
"44"," 44","1","stadium","9/19/2021","Vitesse","Twente"
"45"," 45","1","stadium","9/19/2021","Go Ahead Eagles","Zwolle"
"46"," 46","1","stadium","9/21/2021","For Sittard","Ajax"
"47"," 47","1","stadium","9/21/2021","Waalwijk","Willem II"
"48"," 48","1","stadium","9/22/2021","Feyenoord","Heerenveen"
"49"," 49","1","stadium","9/22/2021","Cambuur","Heracles"
"50"," 50","1","stadium","9/22/2021","Go Ahead Eagles","PSV Eindhoven"
"51"," 51","1","stadium","9/22/2021","Nijmegen","Utrecht"
"52"," 52","1","stadium","9/22/2021","Groningen","Vitesse"
"53"," 53","1","stadium","9/23/2021","Twente","AZ Alkmaar"
"54"," 54","1","stadium","9/23/2021","Zwolle","Sparta Rotterdam"
"55"," 55","1","stadium","9/25/2021","Vitesse","For Sittard"
"56"," 56","1","stadium","9/25/2021","Ajax","Groningen"
"57"," 57","1","stadium","9/25/2021","Feyenoord","Nijmegen"
"58"," 58","1","stadium","9/25/2021","Willem II","PSV Eindhoven"
"59"," 59","1","stadium","9/25/2021","Heracles","Waalwijk"
"60"," 60","1","stadium","9/26/2021","Sparta Rotterdam","Cambuur"
"61"," 61","1","stadium","9/26/2021","AZ Alkmaar","Go Ahead Eagles"
"62"," 62","1","stadium","9/26/2021","Heerenveen","Twente"
"63"," 63","1","stadium","9/26/2021","Utrecht","Zwolle"
"64"," 64","1","stadium","10/1/2021","Groningen","Twente"
"65"," 65","1","stadium","10/2/2021","Waalwijk","Go Ahead Eagles"
"66"," 66","1","stadium","10/2/2021","Zwolle","Heerenveen"
"67"," 67","1","stadium","10/2/2021","For Sittard","Nijmegen"
"68"," 68","1","stadium","10/2/2021","Heracles","Willem II"
"69"," 69","1","stadium","10/3/2021","Cambuur","AZ Alkmaar"
"70"," 70","1","stadium","10/3/2021","Vitesse","Feyenoord"
"71"," 71","1","stadium","10/3/2021","PSV Eindhoven","Sparta Rotterdam"
"72"," 72","1","stadium","10/3/2021","Ajax","Utrecht"
"73"," 73","1","stadium","10/16/2021","Heerenveen","Ajax"
"74"," 74","1","stadium","10/16/2021","For Sittard","Cambuur"
"75"," 75","1","stadium","10/16/2021","Go Ahead Eagles","Heracles"
"76"," 76","1","stadium","10/16/2021","Feyenoord","Waalwijk"
"77"," 77","1","stadium","10/16/2021","PSV Eindhoven","Zwolle"
"78"," 78","1","stadium","10/17/2021","Sparta Rotterdam","Groningen"
"79"," 79","1","stadium","10/17/2021","AZ Alkmaar","Utrecht"
"80"," 80","1","stadium","10/17/2021","Nijmegen","Vitesse"
"81"," 81","1","stadium","10/17/2021","Twente","Willem II"
"82"," 82","1","stadium","10/22/2021","Willem II","For Sittard"
"83"," 83","1","stadium","10/23/2021","Utrecht","Heerenveen"
"84"," 84","1","stadium","10/23/2021","Zwolle","Heracles"
"85"," 85","1","stadium","10/23/2021","Twente","Nijmegen"
"86"," 86","1","stadium","10/23/2021","Waalwijk","Sparta Rotterdam"
"87"," 87","1","stadium","10/24/2021","Groningen","AZ Alkmaar"
"88"," 88","1","stadium","10/24/2021","Cambuur","Feyenoord"
"89"," 89","1","stadium","10/24/2021","Vitesse","Go Ahead Eagles"
"90"," 90","1","stadium","10/24/2021","Ajax","PSV Eindhoven"
"91"," 91","1","stadium","10/30/2021","Heracles","Ajax"
"92"," 92","1","stadium","10/30/2021","Go Ahead Eagles","For Sittard"
"93"," 93","1","stadium","10/30/2021","PSV Eindhoven","Twente"
"94"," 94","1","stadium","10/30/2021","Heerenveen","Vitesse"
"95"," 95","1","stadium","10/30/2021","AZ Alkmaar","Zwolle"
"96"," 96","1","stadium","10/31/2021","Waalwijk","Cambuur"
"97"," 97","1","stadium","10/31/2021","Sparta Rotterdam","Feyenoord"
"98"," 98","1","stadium","10/31/2021","Nijmegen","Groningen"
"99"," 99","1","stadium","10/31/2021","Utrecht","Willem II"
"100","100","1","stadium","11/5/2021","Twente","Heracles"
"101","101","1","stadium","11/6/2021","Zwolle","Cambuur"
"102","102","1","stadium","11/6/2021","Ajax","Go Ahead Eagles"
"103","103","1","stadium","11/6/2021","Nijmegen","Heerenveen"
"104","104","1","stadium","11/6/2021","Willem II","Sparta Rotterdam"
"105","105","1","stadium","11/7/2021","Feyenoord","AZ Alkmaar"
"106","106","1","stadium","11/7/2021","For Sittard","PSV Eindhoven"
"107","107","1","stadium","11/7/2021","Groningen","Waalwijk"
"108","108","1","stadium","11/7/2021","Vitesse","Utrecht"
"109","109","1","stadium","11/20/2021","Waalwijk","Ajax"
"110","110","1","stadium","11/20/2021","Heracles","For Sittard"
"111","111","1","stadium","11/20/2021","AZ Alkmaar","Nijmegen"
"112","112","1","stadium","11/20/2021","Sparta Rotterdam","Twente"
"113","113","1","stadium","11/20/2021","PSV Eindhoven","Vitesse"
"114","114","1","stadium","11/21/2021","Go Ahead Eagles","Groningen"
"115","115","1","stadium","11/21/2021","Cambuur","Utrecht"
"116","116","1","stadium","11/21/2021","Heerenveen","Willem II"
"117","117","1","stadium","11/21/2021","Feyenoord","Zwolle"
"118","118","1","stadium","11/26/2021","Nijmegen","Cambuur"
"119","119","1","stadium","11/27/2021","Willem II","Go Ahead Eagles"
"120","120","1","stadium","11/27/2021","For Sittard","Groningen"
"121","121","1","stadium","11/27/2021","Zwolle","Waalwijk"
"122","122","1","stadium","11/28/2021","Sparta Rotterdam","Ajax"
"123","123","1","stadium","11/28/2021","Vitesse","AZ Alkmaar"
"124","124","1","stadium","11/28/2021","Twente","Feyenoord"
"125","125","1","stadium","11/28/2021","Utrecht","Heracles"
"126","126","1","stadium","11/28/2021","Heerenveen","PSV Eindhoven"
"127","127","1","stadium","12/3/2021","Heracles","Heerenveen"
"128","128","1","stadium","12/4/2021","PSV Eindhoven","Utrecht"
"129","129","1","stadium","12/4/2021","Cambuur","Vitesse"
"130","130","1","stadium","12/4/2021","Ajax","Willem II"
"131","131","1","stadium","12/4/2021","Groningen","Zwolle"
"132","132","1","stadium","12/5/2021","Feyenoord","For Sittard"
"133","133","1","stadium","12/5/2021","Waalwijk","Nijmegen"
"134","134","1","stadium","12/5/2021","AZ Alkmaar","Sparta Rotterdam"
"135","135","1","stadium","12/5/2021","Go Ahead Eagles","Twente"
"136","136","1","stadium","12/10/2021","Willem II","Cambuur"
"137","137","1","stadium","12/11/2021","Zwolle","For Sittard"
"138","138","1","stadium","12/11/2021","Utrecht","Go Ahead Eagles"
"139","139","1","stadium","12/11/2021","Twente","Waalwijk"
"140","140","1","stadium","12/11/2021","Heerenveen","Sparta Rotterdam"
"141","141","1","stadium","12/12/2021","Ajax","AZ Alkmaar"
"142","142","1","stadium","12/12/2021","Groningen","Feyenoord"
"143","143","1","stadium","12/12/2021","Vitesse","Heracles"
"144","144","1","stadium","12/12/2021","Nijmegen","PSV Eindhoven"
"145","145","1","stadium","12/17/2021","For Sittard","Utrecht"
"146","146","1","stadium","12/18/2021","Heracles","Groningen"
"147","147","1","stadium","12/18/2021","Zwolle","Twente"
"148","148","1","stadium","12/18/2021","Sparta Rotterdam","Vitesse"
"149","149","1","stadium","12/18/2021","AZ Alkmaar","Willem II"
"150","150","1","stadium","12/19/2021","Feyenoord","Ajax"
"151","151","1","stadium","12/19/2021","Cambuur","Heerenveen"
"152","152","1","stadium","12/19/2021","Go Ahead Eagles","Nijmegen"
"153","153","1","stadium","12/19/2021","Waalwijk","PSV Eindhoven"
"154","154","1","stadium","12/21/2021","AZ Alkmaar","Groningen"
"155","155","1","stadium","12/21/2021","Vitesse","Zwolle"
"156","156","1","stadium","12/22/2021","Heracles","Cambuur"
"157","157","1","stadium","12/22/2021","Heerenveen","Feyenoord"
"158","158","1","stadium","12/22/2021","Willem II","Nijmegen"
"159","159","1","stadium","12/22/2021","Sparta Rotterdam","Waalwijk"
"160","160","1","stadium","12/22/2021","Utrecht","Twente"
"161","161","1","stadium","12/23/2021","Ajax","For Sittard"
"162","162","1","stadium","12/23/2021","PSV Eindhoven","Go Ahead Eagles"
"163","163","1","stadium","1/14/2022","Zwolle","Willem II"
"164","164","1","stadium","1/15/2022","Nijmegen","Heracles"
"165","165","1","stadium","1/15/2022","Groningen","PSV Eindhoven"
"166","166","1","stadium","1/15/2022","Go Ahead Eagles","Waalwijk"
"167","167","1","stadium","1/15/2022","Feyenoord","Vitesse"
"168","168","1","stadium","1/16/2022","Utrecht","Ajax"
"169","169","1","stadium","1/16/2022","For Sittard","AZ Alkmaar"
"170","170","1","stadium","1/16/2022","Twente","Heerenveen"
"171","171","1","stadium","1/16/2022","Cambuur","Sparta Rotterdam"
"172","172","1","stadium","1/21/2022","Waalwijk","For Sittard"
"173","173","1","stadium","1/22/2022","AZ Alkmaar","Cambuur"
"174","174","1","stadium","1/22/2022","Vitesse","Groningen"
"175","175","1","stadium","1/22/2022","Willem II","Twente"
"176","176","1","stadium","1/22/2022","Heerenveen","Zwolle"
"177","177","1","stadium","1/23/2022","PSV Eindhoven","Ajax"
"178","178","1","stadium","1/23/2022","Nijmegen","Feyenoord"
"179","179","1","stadium","1/23/2022","Heracles","Go Ahead Eagles"
"180","180","1","stadium","1/23/2022","Sparta Rotterdam","Utrecht"
"181","181","1","stadium","2/5/2022","PSV Eindhoven","AZ Alkmaar"
"182","182","1","stadium","2/5/2022","Utrecht","Cambuur"
