"","MatchNumber","RoundNumber","Location","Date","Home_Team","Away_Team"
"1","  1","1","stadium","7/24/2021","Toulouse","Ajaccio"
"2","  2","1","stadium","7/24/2021","Amiens","Auxerre"
"3","  3","1","stadium","7/24/2021","Le Havre","Guingamp"
"4","  4","1","stadium","7/24/2021","Bastia","Nimes"
"5","  5","1","stadium","7/24/2021","Pau FC","Nancy"
"6","  6","1","stadium","7/24/2021","Valenciennes","Niort"
"7","  7","1","stadium","7/24/2021","Grenoble","Paris FC"
"8","  8","1","stadium","7/24/2021","Dunkerque","Quevilly Rouen"
"9","  9","1","stadium","7/24/2021","Caen","Rodez"
"10"," 10","1","stadium","7/26/2021","Dijon","Sochaux"
"11"," 11","1","stadium","7/31/2021","Ajaccio","Amiens"
"12"," 12","1","stadium","7/31/2021","Quevilly Rouen","Bastia"
"13"," 13","1","stadium","7/31/2021","Niort","Caen"
"14"," 14","1","stadium","7/31/2021","Nimes","Dijon"
"15"," 15","1","stadium","7/31/2021","Paris FC","Dunkerque"
"16"," 16","1","stadium","7/31/2021","Sochaux","Le Havre"
"17"," 17","1","stadium","7/31/2021","Rodez","Pau FC"
"18"," 18","1","stadium","7/31/2021","Nancy","Toulouse"
"19"," 19","1","stadium","7/31/2021","Guingamp","Valenciennes"
"20"," 20","1","stadium","8/2/2021","Auxerre","Grenoble"
"21"," 21","1","stadium","8/7/2021","Auxerre","Ajaccio"
"22"," 22","1","stadium","8/7/2021","Grenoble","Guingamp"
"23"," 23","1","stadium","8/7/2021","Valenciennes","Nimes"
"24"," 24","1","stadium","8/7/2021","Dunkerque","Niort"
"25"," 25","1","stadium","8/7/2021","Le Havre","Paris FC"
"26"," 26","1","stadium","8/7/2021","Amiens","Quevilly Rouen"
"27"," 27","1","stadium","8/7/2021","Dijon","Rodez"
"28"," 28","1","stadium","8/7/2021","Caen","Sochaux"
"29"," 29","1","stadium","8/7/2021","Pau FC","Toulouse"
"30"," 30","1","stadium","8/9/2021","Bastia","Nancy"
"31"," 31","1","stadium","8/14/2021","Guingamp","Amiens"
"32"," 32","1","stadium","8/14/2021","Paris FC","Auxerre"
"33"," 33","1","stadium","8/14/2021","Toulouse","Bastia"
"34"," 34","1","stadium","8/14/2021","Ajaccio","Caen"
"35"," 35","1","stadium","8/14/2021","Quevilly Rouen","Dijon"
"36"," 36","1","stadium","8/14/2021","Sochaux","Dunkerque"
"37"," 37","1","stadium","8/14/2021","Niort","Grenoble"
"38"," 38","1","stadium","8/14/2021","Rodez","Le Havre"
"39"," 39","1","stadium","8/14/2021","Nimes","Pau FC"
"40"," 40","1","stadium","8/14/2021","Nancy","Valenciennes"
"41"," 41","1","stadium","8/21/2021","Pau FC","Bastia"
"42"," 42","1","stadium","8/21/2021","Auxerre","Guingamp"
"43"," 43","1","stadium","8/21/2021","Dunkerque","Nimes"
"44"," 44","1","stadium","8/21/2021","Caen","Nancy"
"45"," 45","1","stadium","8/21/2021","Le Havre","Niort"
"46"," 46","1","stadium","8/21/2021","Ajaccio","Paris FC"
"47"," 47","1","stadium","8/21/2021","Grenoble","Quevilly Rouen"
"48"," 48","1","stadium","8/21/2021","Valenciennes","Rodez"
"49"," 49","1","stadium","8/21/2021","Amiens","Sochaux"
"50"," 50","1","stadium","8/21/2021","Dijon","Toulouse"
"51"," 51","1","stadium","8/28/2021","Guingamp","Ajaccio"
"52"," 52","1","stadium","8/28/2021","Niort","Amiens"
"53"," 53","1","stadium","8/28/2021","Nancy","Auxerre"
"54"," 54","1","stadium","8/28/2021","Nimes","Caen"
"55"," 55","1","stadium","8/28/2021","Pau FC","Dijon"
"56"," 56","1","stadium","8/28/2021","Rodez","Dunkerque"
"57"," 57","1","stadium","8/28/2021","Sochaux","Grenoble"
"58"," 58","1","stadium","8/28/2021","Bastia","Le Havre"
"59"," 59","1","stadium","8/28/2021","Quevilly Rouen","Paris FC"
"60"," 60","1","stadium","8/28/2021","Toulouse","Valenciennes"
"61"," 61","1","stadium","9/11/2021","Dijon","Bastia"
"62"," 62","1","stadium","9/11/2021","Paris FC","Guingamp"
"63"," 63","1","stadium","9/11/2021","Grenoble","Nimes"
"64"," 64","1","stadium","9/11/2021","Dunkerque","Nancy"
"65"," 65","1","stadium","9/11/2021","Auxerre","Niort"
"66"," 66","1","stadium","9/11/2021","Caen","Pau FC"
"67"," 67","1","stadium","9/11/2021","Valenciennes","Quevilly Rouen"
"68"," 68","1","stadium","9/11/2021","Amiens","Rodez"
"69"," 69","1","stadium","9/11/2021","Ajaccio","Sochaux"
"70"," 70","1","stadium","9/11/2021","Le Havre","Toulouse"
"71"," 71","1","stadium","9/18/2021","Rodez","Ajaccio"
"72"," 72","1","stadium","9/18/2021","Nimes","Amiens"
"73"," 73","1","stadium","9/18/2021","Quevilly Rouen","Auxerre"
"74"," 74","1","stadium","9/18/2021","Bastia","Caen"
"75"," 75","1","stadium","9/18/2021","Dijon","Dunkerque"
"76"," 76","1","stadium","9/18/2021","Toulouse","Grenoble"
"77"," 77","1","stadium","9/18/2021","Niort","Guingamp"
"78"," 78","1","stadium","9/18/2021","Nancy","Le Havre"
"79"," 79","1","stadium","9/18/2021","Sochaux","Paris FC"
"80"," 80","1","stadium","9/18/2021","Pau FC","Valenciennes"
"81"," 81","1","stadium","9/21/2021","Valenciennes","Bastia"
"82"," 82","1","stadium","9/21/2021","Caen","Dijon"
"83"," 83","1","stadium","9/21/2021","Paris FC","Nimes"
"84"," 84","1","stadium","9/21/2021","Grenoble","Nancy"
"85"," 85","1","stadium","9/21/2021","Ajaccio","Niort"
"86"," 86","1","stadium","9/21/2021","Amiens","Pau FC"
"87"," 87","1","stadium","9/21/2021","Le Havre","Quevilly Rouen"
"88"," 88","1","stadium","9/21/2021","Auxerre","Rodez"
"89"," 89","1","stadium","9/21/2021","Guingamp","Sochaux"
"90"," 90","1","stadium","9/21/2021","Dunkerque","Toulouse"
"91"," 91","1","stadium","9/25/2021","Bastia","Ajaccio"
"92"," 92","1","stadium","9/25/2021","Nancy","Amiens"
"93"," 93","1","stadium","9/25/2021","Sochaux","Auxerre"
"94"," 94","1","stadium","9/25/2021","Toulouse","Caen"
"95"," 95","1","stadium","9/25/2021","Pau FC","Dunkerque"
"96"," 96","1","stadium","9/25/2021","Rodez","Grenoble"
