"","HT","AT","matchid","HomeTeam","AwayTeam","CS","TG"
"297","Utrecht","Sparta Rotterdam","Utrecht-Sparta Rotterdam","Utrecht","Sparta Rotterdam","4-0",4
"298","Zwolle","Vitesse","Zwolle-Vitesse","Zwolle","Vitesse","0-1",1
"299","Willem II","Feyenoord","Willem II-Feyenoord","Willem II","Feyenoord","0-4",4
"300","Portimonense","Gil Vicente","Portimonense-Gil Vicente","Portimonense","Gil Vicente","0-1",1
"301","Famalicao","Porto","Famalicao-Porto","Famalicao","Porto","1-2",3
"302","Santa Clara","Moreirense","Santa Clara-Moreirense","Santa Clara","Moreirense","2-2",4
"303","Celta","Ath Madrid","Celta-Ath Madrid","Celta","Ath Madrid","1-2",3
"304","Barcelona","Sociedad","Barcelona-Sociedad","Barcelona","Sociedad","4-2",6
"305","Sevilla","Vallecano","Sevilla-Vallecano","Sevilla","Vallecano","3-0",3
"306","Sp Gijon","Burgos","Sp Gijon-Burgos","Sp Gijon","Burgos","1-0",1
"307","Oviedo","Lugo","Oviedo-Lugo","Oviedo","Lugo","2-2",4
"308","Fuenlabrada","Tenerife","Fuenlabrada-Tenerife","Fuenlabrada","Tenerife","1-2",3
"309","Las Palmas","Valladolid","Las Palmas-Valladolid","Las Palmas","Valladolid","1-1",2
"310","Buyuksehyr","Alanyaspor","Buyuksehyr-Alanyaspor","Buyuksehyr","Alanyaspor","0-1",1
"311","Ad. Demirspor","Fenerbahce","Ad. Demirspor-Fenerbahce","Ad. Demirspor","Fenerbahce","0-1",1
"312","Antalyaspor","Goztep","Antalyaspor-Goztep","Antalyaspor","Goztep","1-1",2
"313","Paris FC","Auxerre","Paris FC-Auxerre","Paris FC","Auxerre","1-1",2
"314","Boavista","Pacos Ferreira","Boavista-Pacos Ferreira","Boavista","Pacos Ferreira","3-0",3
"315","Belenenses","Maritimo","Belenenses-Maritimo","Belenenses","Maritimo","1-2",3
"316","Villarreal","Granada","Villarreal-Granada","Villarreal","Granada","0-0",0
"317","Elche","Ath Bilbao","Elche-Ath Bilbao","Elche","Ath Bilbao","0-0",0
"318","Malaga","Mirandes","Malaga-Mirandes","Malaga","Mirandes","0-0",0
"319","Cartagena","Almeria","Cartagena-Almeria","Cartagena","Almeria","1-3",4
"320","Sivasspor","Konyaspor","Sivasspor-Konyaspor","Sivasspor","Konyaspor","0-1",1
"321","Yeni Malatyaspor","Trabzonspor","Yeni Malatyaspor-Trabzonspor","Yeni Malatyaspor","Trabzonspor","1-5",6
"322","Giresunspor","Galatasaray","Giresunspor-Galatasaray","Giresunspor","Galatasaray","0-2",2
"323","Barnsley","Luton","Barnsley-Luton","Barnsley","Luton","0-1",1
"324","Blackpool","Coventry","Blackpool-Coventry","Blackpool","Coventry","0-1",1
"325","Huddersfield","Preston","Huddersfield-Preston","Huddersfield","Preston","1-0",1
"326","Millwall","Fulham","Millwall-Fulham","Millwall","Fulham","1-2",3
"327","Peterboro","Cardiff","Peterboro-Cardiff","Peterboro","Cardiff","2-2",4
"328","Swansea","Stoke","Swansea-Stoke","Swansea","Stoke","1-3",4
"329","Reading","Bristol City","Reading-Bristol City","Reading","Bristol City","2-3",5
"330","Accrington","Doncaster","Accrington-Doncaster","Accrington","Doncaster","1-0",1
"331","AFC Wimbledon","Gillingham","AFC Wimbledon-Gillingham","AFC Wimbledon","Gillingham","1-1",2
"332","Burton","Sunderland","Burton-Sunderland","Burton","Sunderland","1-0",1
"333","Cheltenham","Ipswich","Cheltenham-Ipswich","Cheltenham","Ipswich","2-1",3
"334","Lincoln","Bolton","Lincoln-Bolton","Lincoln","Bolton","0-1",1
"335","Milton Keynes Dons","Charlton","Milton Keynes Dons-Charlton","Milton Keynes Dons","Charlton","2-1",3
"336","Morecambe","Rotherham","Morecambe-Rotherham","Morecambe","Rotherham","0-1",1
"337","Oxford","Crewe","Oxford-Crewe","Oxford","Crewe","1-0",1
"338","Plymouth","Cambridge","Plymouth-Cambridge","Plymouth","Cambridge","1-1",2
"339","Portsmouth","Shrewsbury","Portsmouth-Shrewsbury","Portsmouth","Shrewsbury","1-0",1
"340","Sheffield Weds","Fleetwood Town","Sheffield Weds-Fleetwood Town","Sheffield Weds","Fleetwood Town","1-0",1
"341","Wigan","Wycombe","Wigan-Wycombe","Wigan","Wycombe","1-1",2
"342","Barrow","Exeter","Barrow-Exeter","Barrow","Exeter","0-0",0
"343","Bradford","Stevenage","Bradford-Stevenage","Bradford","Stevenage","4-1",5
"344","Bristol Rvs","Oldham","Bristol Rvs-Oldham","Bristol Rvs","Oldham","1-0",1
"345","Colchester","Mansfield","Colchester-Mansfield","Colchester","Mansfield","1-1",2
"346","Crawley Town","Salford","Crawley Town-Salford","Crawley Town","Salford","2-1",3
"347","Port Vale","Carlisle","Port Vale-Carlisle","Port Vale","Carlisle","0-0",0
"348","Rochdale","Forest Green","Rochdale-Forest Green","Rochdale","Forest Green","1-2",3
"349","Swindon","Tranmere","Swindon-Tranmere","Swindon","Tranmere","0-0",0
"350","Walsall","Scunthorpe","Walsall-Scunthorpe","Walsall","Scunthorpe","1-1",2
"351","Birmingham","Bournemouth","Birmingham-Bournemouth","Birmingham","Bournemouth","0-2",2
"352","Hull","Derby","Hull-Derby","Hull","Derby","0-1",1
"353","Middlesbrough","QPR","Middlesbrough-QPR","Middlesbrough","QPR","2-3",5
"354","Nottm Forest","Blackburn","Nottm Forest-Blackburn","Nottm Forest","Blackburn","1-2",3
"355","West Brom","Sheffield United","West Brom-Sheffield United","West Brom","Sheffield United","4-0",4
"356","Quevilly Rouen","Bastia","Quevilly Rouen-Bastia","Quevilly Rouen","Bastia","1-2",3
"357","Standard","Oostende","Standard-Oostende","Standard","Oostende","1-0",1
"358","RB Leipzig","Stuttgart","RB Leipzig-Stuttgart","RB Leipzig","Stuttgart","4-0",4
"359","Fortuna Dusseldorf","Holstein Kiel","Fortuna Dusseldorf-Holstein Kiel","Fortuna Dusseldorf","Holstein Kiel","2-2",4
"360","Hannover","Heidenheim","Hannover-Heidenheim","Hannover","Heidenheim","1-0",1
"361","Bristol City","Swansea","Bristol City-Swansea","Bristol City","Swansea","0-1",1
"362","Brest","Paris SG","Brest-Paris SG","Brest","Paris SG","2-4",6
"363","Frosinone","Parma","Frosinone-Parma","Frosinone","Parma","2-2",4
"364","Nijmegen","Zwolle","Nijmegen-Zwolle","Nijmegen","Zwolle","2-0",2
"365","Arouca","Famalicao","Arouca-Famalicao","Arouca","Famalicao","2-1",3
"366","Moreirense","Sp Braga","Moreirense-Sp Braga","Moreirense","Sp Braga","2-3",5
"367","Raith Rvs","Dunfermline","Raith Rvs-Dunfermline",NA,NA,NA,NA
"368","Betis","Cadiz","Betis-Cadiz","Betis","Cadiz","1-1",2
"369","Valladolid","Zaragoza","Valladolid-Zaragoza","Valladolid","Zaragoza","2-0",2
"370","Almeria","Oviedo","Almeria-Oviedo","Almeria","Oviedo","2-1",3
"371","Kayserispor","Ad. Demirspor","Kayserispor-Ad. Demirspor","Kayserispor","Ad. Demirspor","1-1",2
"372","Seraing","Cercle Brugge","Seraing-Cercle Brugge","Seraing","Cercle Brugge","2-1",3
"373","Oud-Heverlee Leuven","Eupen","Oud-Heverlee Leuven-Eupen","Oud-Heverlee Leuven","Eupen","1-4",5
"374","St Truiden","Kortrijk","St Truiden-Kortrijk","St Truiden","Kortrijk","0-2",2
"375","Bochum","Mainz","Bochum-Mainz","Bochum","Mainz","2-0",2
"376","Ein Frankfurt","Augsburg","Ein Frankfurt-Augsburg","Ein Frankfurt","Augsburg","0-0",0
"377","Freiburg","Dortmund","Freiburg-Dortmund","Freiburg","Dortmund","2-1",3
"378","Greuther Furth","Bielefeld","Greuther Furth-Bielefeld","Greuther Furth","Bielefeld","1-1",2
"379","Hertha","Wolfsburg","Hertha-Wolfsburg","Hertha","Wolfsburg","1-2",3
"380","Leverkusen","Mgladbach","Leverkusen-Mgladbach","Leverkusen","Mgladbach","4-0",4
"381","Karlsruhe SC","Werder Bremen","Karlsruhe SC-Werder Bremen","Karlsruhe SC","Werder Bremen","0-0",0
"382","Paderborn","St Pauli","Paderborn-St Pauli","Paderborn","St Pauli","3-1",4
"383","Regensburg","Schalke 04","Regensburg-Schalke 04","Regensburg","Schalke 04","4-1",5
"384","Hansa Rostock","Dresden","Hansa Rostock-Dresden","Hansa Rostock","Dresden","1-3",4
"385","Liverpool","Burnley","Liverpool-Burnley","Liverpool","Burnley","2-0",2
"386","Aston Villa","Newcastle","Aston Villa-Newcastle","Aston Villa","Newcastle","2-0",2
"387","Crystal Palace","Brentford","Crystal Palace-Brentford","Crystal Palace","Brentford","0-0",0
"388","Leeds","Everton","Leeds-Everton","Leeds","Everton","2-2",4
"389","Man City","Norwich","Man City-Norwich","Man City","Norwich","5-0",5
"390","Brighton","Watford","Brighton-Watford","Brighton","Watford","2-0",2
"391","QPR","Barnsley","QPR-Barnsley","QPR","Barnsley","2-2",4
"392","Blackburn","West Brom","Blackburn-West Brom","Blackburn","West Brom","1-2",3
"393","Bournemouth","Blackpool","Bournemouth-Blackpool","Bournemouth","Blackpool","2-2",4
"394","Cardiff","Millwall","Cardiff-Millwall","Cardiff","Millwall","3-1",4
"395","Coventry","Reading","Coventry-Reading","Coventry","Reading","2-1",3
"396","Derby","Middlesbrough","Derby-Middlesbrough","Derby","Middlesbrough","0-0",0
"397","Fulham","Hull","Fulham-Hull","Fulham","Hull","2-0",2
"398","Luton","Birmingham","Luton-Birmingham","Luton","Birmingham","0-5",5
"399","Preston","Peterboro","Preston-Peterboro","Preston","Peterboro","1-0",1
"400","Sheffield United","Huddersfield","Sheffield United-Huddersfield","Sheffield United","Huddersfield","1-2",3
"401","Stoke","Nottm Forest","Stoke-Nottm Forest","Stoke","Nottm Forest","1-0",1
"402","Rotherham","Sheffield Weds","Rotherham-Sheffield Weds","Rotherham","Sheffield Weds","0-2",2
"403","Bolton","Oxford","Bolton-Oxford","Bolton","Oxford","2-1",3
"404","Cambridge","Burton","Cambridge-Burton","Cambridge","Burton","3-0",3
"405","Charlton","Wigan","Charlton-Wigan","Charlton","Wigan","0-2",2
"406","Crewe","Accrington","Crewe-Accrington","Crewe","Accrington","0-1",1
"407","Doncaster","Portsmouth","Doncaster-Portsmouth","Doncaster","Portsmouth","0-0",0
"408","Fleetwood Town","Cheltenham","Fleetwood Town-Cheltenham","Fleetwood Town","Cheltenham","3-2",5
"409","Gillingham","Morecambe","Gillingham-Morecambe","Gillingham","Morecambe","2-1",3
"410","Ipswich","Milton Keynes Dons","Ipswich-Milton Keynes Dons","Ipswich","Milton Keynes Dons","2-2",4
"411","Shrewsbury","Plymouth","Shrewsbury-Plymouth","Shrewsbury","Plymouth","0-3",3
"412","Sunderland","AFC Wimbledon","Sunderland-AFC Wimbledon","Sunderland","AFC Wimbledon","1-0",1
"413","Wycombe","Lincoln","Wycombe-Lincoln","Wycombe","Lincoln","1-0",1
"414","Carlisle","Leyton Orient","Carlisle-Leyton Orient","Carlisle","Leyton Orient","1-1",2
"415","Exeter","Bristol Rvs","Exeter-Bristol Rvs","Exeter","Bristol Rvs","4-1",5
"416","Forest Green","Crawley Town","Forest Green-Crawley Town","Forest Green","Crawley Town","6-3",9
"417","Harrogate","Barrow","Harrogate-Barrow","Harrogate","Barrow","2-1",3
"418","Hartlepool","Walsall","Hartlepool-Walsall","Hartlepool","Walsall","2-0",2
"419","Mansfield","Bradford","Mansfield-Bradford","Mansfield","Bradford","2-3",5
"420","Northampton","Rochdale","Northampton-Rochdale","Northampton","Rochdale","1-3",4
"421","Oldham","Colchester","Oldham-Colchester","Oldham","Colchester","1-2",3
"422","Salford","Swindon","Salford-Swindon","Salford","Swindon","0-1",1
"423","Scunthorpe","Sutton","Scunthorpe-Sutton","Scunthorpe","Sutton","1-1",2
"424","Stevenage","Port Vale","Stevenage-Port Vale","Stevenage","Port Vale","1-1",2
"425","Tranmere","Newport County","Tranmere-Newport County","Tranmere","Newport County","0-1",1
"426","Aldershot","Chesterfield","Aldershot-Chesterfield","Aldershot","Chesterfield","0-2",2
"427","Barnet","Notts County","Barnet-Notts County","Barnet","Notts County","0-5",5
"428","Halifax","Maidenhead","Halifax-Maidenhead","Halifax","Maidenhead","1-2",3
"429","Kings Lynn","Southend","Kings Lynn-Southend","Kings Lynn","Southend","0-1",1
"430","Solihull","Wrexham","Solihull-Wrexham","Solihull","Wrexham","2-2",4
"431","Stockport","Dag and Red","Stockport-Dag and Red","Stockport","Dag and Red","1-3",4
"432","Torquay","Altrincham","Torquay-Altrincham","Torquay","Altrincham","1-3",4
"433","Wealdstone","Woking","Wealdstone-Woking","Wealdstone","Woking","1-2",3
"434","Weymouth","Boreham Wood","Weymouth-Boreham Wood","Weymouth","Boreham Wood","0-2",2
"435","Monaco","Lens","Monaco-Lens","Monaco","Lens","0-2",2
"436","St Etienne","Lille","St Etienne-Lille","St Etienne","Lille","1-1",2
"437","Dijon","Toulouse","Dijon-Toulouse","Dijon","Toulouse","2-4",6
"438","Amiens","Sochaux","Amiens-Sochaux","Amiens","Sochaux","0-0",0
"439","Caen","Nancy","Caen-Nancy","Caen","Nancy","1-0",1
"440","Dunkerque","Nimes","Dunkerque-Nimes","Dunkerque","Nimes","0-2",2
"441","Grenoble","Quevilly Rouen","Grenoble-Quevilly Rouen","Grenoble","Quevilly Rouen","2-0",2
"442","Le Havre","Niort","Le Havre-Niort","Le Havre","Niort","2-1",3
"443","Pau FC","Bastia","Pau FC-Bastia","Pau FC","Bastia","2-0",2
"444","Valenciennes","Rodez","Valenciennes-Rodez","Valenciennes","Rodez","1-4",5
"445","Inter","Genoa","Inter-Genoa","Inter","Genoa","4-0",4
"446","Verona","Sassuolo","Verona-Sassuolo","Verona","Sassuolo","2-3",5
"447","Empoli","Lazio","Empoli-Lazio","Empoli","Lazio","1-3",4
"448","Torino","Atalanta","Torino-Atalanta","Torino","Atalanta","1-2",3
"449","Pordenone","Perugia","Pordenone-Perugia","Pordenone","Perugia","0-1",1
"450","Cittadella","Vicenza","Cittadella-Vicenza","Cittadella","Vicenza","1-0",1
"451","Heerenveen","Waalwijk","Heerenveen-Waalwijk","Heerenveen","Waalwijk","3-2",5
"452","PSV Eindhoven","Cambuur","PSV Eindhoven-Cambuur","PSV Eindhoven","Cambuur","4-1",5
"453","Sparta Rotterdam","Heracles","Sparta Rotterdam-Heracles","Sparta Rotterdam","Heracles","1-1",2
"454","Groningen","Utrecht","Groningen-Utrecht","Groningen","Utrecht","0-0",0
"455","Gil Vicente","Benfica","Gil Vicente-Benfica","Gil Vicente","Benfica","0-2",2
"456","Sp Lisbon","Belenenses","Sp Lisbon-Belenenses","Sp Lisbon","Belenenses","2-0",2
"457","Celtic","St Mirren","Celtic-St Mirren","Celtic","St Mirren","6-0",6
"458","Livingston","Motherwell","Livingston-Motherwell","Livingston","Motherwell","1-2",3
"459","Arbroath","Partick","Arbroath-Partick","Arbroath","Partick","3-1",4
"460","Hamilton","Kilmarnock","Hamilton-Kilmarnock","Hamilton","Kilmarnock","0-2",2
"461","Inverness C","Ayr","Inverness C-Ayr","Inverness C","Ayr","1-0",1
"462","Morton","Queen of Sth","Morton-Queen of Sth","Morton","Queen of Sth","2-3",5
"463","Alloa","Queens Park","Alloa-Queens Park","Alloa","Queens Park","1-1",2
"464","Dumbarton","Cove Rangers","Dumbarton-Cove Rangers","Dumbarton","Cove Rangers","1-3",4
"465","East Fife","Montrose","East Fife-Montrose","East Fife","Montrose","0-2",2
"466","Falkirk","Clyde","Falkirk-Clyde","Falkirk","Clyde","3-0",3
"467","Peterhead","Airdrie Utd","Peterhead-Airdrie Utd","Peterhead","Airdrie Utd","2-3",5
"468","Albion Rvs","Annan Athletic","Albion Rvs-Annan Athletic","Albion Rvs","Annan Athletic","0-1",1
"469","Elgin","Forfar","Elgin-Forfar","Elgin","Forfar","1-1",2
"470","Kelty Hearts","Edinburgh City","Kelty Hearts-Edinburgh City","Kelty Hearts","Edinburgh City","1-0",1
"471","Stenhousemuir","Cowdenbeath","Stenhousemuir-Cowdenbeath","Stenhousemuir","Cowdenbeath","1-1",2
"472","Stranraer","Stirling","Stranraer-Stirling","Stranraer","Stirling","0-3",3
"473","Alaves","Mallorca","Alaves-Mallorca","Alaves","Mallorca","0-1",1
"474","Espanol","Villarreal","Espanol-Villarreal","Espanol","Villarreal","0-0",0
"475","Granada","Valencia","Granada-Valencia","Granada","Valencia","1-1",2
"476","Ath Bilbao","Barcelona","Ath Bilbao-Barcelona","Ath Bilbao","Barcelona","1-1",2
"477","Lugo","Sociedad B","Lugo-Sociedad B","Lugo","Sociedad B","0-0",0
"478","Tenerife","Sp Gijon","Tenerife-Sp Gijon","Tenerife","Sp Gijon","0-0",0
"479","Alcorcon","Fuenlabrada","Alcorcon-Fuenlabrada","Alcorcon","Fuenlabrada","0-2",2
"480","Kasimpasa","Giresunspor","Kasimpasa-Giresunspor","Kasimpasa","Giresunspor","2-0",2
"481","Rizespor","Karagumruk","Rizespor-Karagumruk","Rizespor","Karagumruk","0-0",0
"482","Alanyaspor","Altay","Alanyaspor-Altay","Alanyaspor","Altay","1-4",5
"483","Gaziantep","Besiktas","Gaziantep-Besiktas","Gaziantep","Besiktas","0-0",0
"484","Waregem","Charleroi","Waregem-Charleroi","Waregem","Charleroi","2-2",4
"485","Club Brugge","Beerschot VA","Club Brugge-Beerschot VA","Club Brugge","Beerschot VA","3-2",5
"486","Mechelen","St. Gilloise","Mechelen-St. Gilloise","Mechelen","St. Gilloise","3-1",4
"487","Hoffenheim","Union Berlin","Hoffenheim-Union Berlin","Hoffenheim","Union Berlin","2-2",4
"488","Bayern Munich","FC Koln","Bayern Munich-FC Koln","Bayern Munich","FC Koln","3-2",5
"489","Erzgebirge Aue","Sandhausen","Erzgebirge Aue-Sandhausen","Erzgebirge Aue","Sandhausen","1-3",4
"490","Hamburg","Darmstadt","Hamburg-Darmstadt","Hamburg","Darmstadt","2-2",4
"491","Ingolstadt","Nurnberg","Ingolstadt-Nurnberg","Ingolstadt","Nurnberg","0-0",0
"492","Southampton","Man United","Southampton-Man United","Southampton","Man United","1-1",2
"493","Wolves","Tottenham","Wolves-Tottenham","Wolves","Tottenham","0-1",1
"494","Arsenal","Chelsea","Arsenal-Chelsea","Arsenal","Chelsea","0-2",2
"495","Lyon","Clermont","Lyon-Clermont","Lyon","Clermont","3-3",6
"496","Bordeaux","Angers","Bordeaux-Angers","Bordeaux","Angers","1-1",2
"497","Metz","Reims","Metz-Reims","Metz","Reims","1-1",2
"498","Montpellier","Lorient","Montpellier-Lorient","Montpellier","Lorient","3-1",4
"499","Strasbourg","Troyes","Strasbourg-Troyes","Strasbourg","Troyes","1-1",2
"500","Rennes","Nantes","Rennes-Nantes","Rennes","Nantes","1-0",1
"501","Nice","Marseille","Nice-Marseille",NA,NA,NA,NA
"502","Bologna","Salernitana","Bologna-Salernitana","Bologna","Salernitana","3-2",5
"503","Udinese","Juventus","Udinese-Juventus","Udinese","Juventus","2-2",4
"504","Napoli","Venezia","Napoli-Venezia","Napoli","Venezia","2-0",2
"505","Roma","Fiorentina","Roma-Fiorentina","Roma","Fiorentina","3-1",4
"506","Reggina","Monza","Reggina-Monza","Reggina","Monza","0-0",0
"507","Ternana","Brescia","Ternana-Brescia","Ternana","Brescia","0-2",2
"508","Ascoli","Cosenza","Ascoli-Cosenza","Ascoli","Cosenza","1-0",1
"509","Benevento","Alessandria","Benevento-Alessandria","Benevento","Alessandria","4-3",7
"510","Cremonese","Lecce","Cremonese-Lecce","Cremonese","Lecce","3-0",3
"511","Crotone","Como","Crotone-Como","Crotone","Como","2-2",4
"512","Pisa","Spal","Pisa-Spal","Pisa","Spal","1-0",1
"513","Twente","Ajax","Twente-Ajax","Twente","Ajax","1-1",2
"514","Feyenoord","Go Ahead Eagles","Feyenoord-Go Ahead Eagles","Feyenoord","Go Ahead Eagles","2-0",2
"515","Vitesse","Willem II","Vitesse-Willem II","Vitesse","Willem II","0-3",3
"516","Tondela","Portimonense","Tondela-Portimonense","Tondela","Portimonense","0-3",3
"517","Maritimo","Porto","Maritimo-Porto","Maritimo","Porto","1-1",2
"518","Guimaraes","Vizela","Guimaraes-Vizela","Guimaraes","Vizela","4-0",4
"519","Dundee","Hibernian","Dundee-Hibernian","Dundee","Hibernian","2-2",4
"520","Hearts","Aberdeen","Hearts-Aberdeen","Hearts","Aberdeen","1-1",2
"521","Ross County","Rangers","Ross County-Rangers","Ross County","Rangers","2-4",6
"522","St Johnstone","Dundee United","St Johnstone-Dundee United","St Johnstone","Dundee United","0-1",1
"523","Sociedad","Vallecano","Sociedad-Vallecano","Sociedad","Vallecano","1-0",1
"524","Ath Madrid","Elche","Ath Madrid-Elche","Ath Madrid","Elche","1-0",1
"525","Levante","Real Madrid","Levante-Real Madrid","Levante","Real Madrid","3-3",6
"526","Ibiza","Malaga","Ibiza-Malaga","Ibiza","Malaga","2-2",4
"527","Eibar","Ponferradina","Eibar-Ponferradina","Eibar","Ponferradina","0-1",1
"528","Girona","Las Palmas","Girona-Las Palmas","Girona","Las Palmas","0-0",0
"529","Huesca","Cartagena","Huesca-Cartagena","Huesca","Cartagena","2-0",2
"530","Konyaspor","Buyuksehyr","Konyaspor-Buyuksehyr","Konyaspor","Buyuksehyr","2-1",3
"531","Fenerbahce","Antalyaspor","Fenerbahce-Antalyaspor","Fenerbahce","Antalyaspor","2-0",2
"532","Goztep","Yeni Malatyaspor","Goztep-Yeni Malatyaspor","Goztep","Yeni Malatyaspor","0-1",1
"533","West Ham","Leicester","West Ham-Leicester","West Ham","Leicester","4-1",5
"534","Auxerre","Guingamp","Auxerre-Guingamp","Auxerre","Guingamp","1-2",3
"535","Cagliari","Spezia","Cagliari-Spezia","Cagliari","Spezia","2-2",4
"536","Sampdoria","Milan","Sampdoria-Milan","Sampdoria","Milan","0-1",1
"537","Pacos Ferreira","Estoril","Pacos Ferreira-Estoril","Pacos Ferreira","Estoril","1-3",4
"538","Boavista","Santa Clara","Boavista-Santa Clara","Boavista","Santa Clara","2-0",2
"539","Getafe","Sevilla","Getafe-Sevilla","Getafe","Sevilla","0-1",1
"540","Osasuna","Celta","Osasuna-Celta","Osasuna","Celta","0-0",0
"541","Mirandes","Amorebieta","Mirandes-Amorebieta","Mirandes","Amorebieta","2-0",2
"542","Leganes","Burgos","Leganes-Burgos","Leganes","Burgos","0-0",0
"543","Trabzonspor","Sivasspor","Trabzonspor-Sivasspor","Trabzonspor","Sivasspor","2-1",3
"544","Galatasaray","Hatayspor","Galatasaray-Hatayspor","Galatasaray","Hatayspor","2-1",3
"545","Kortrijk","Mechelen","Kortrijk-Mechelen","Kortrijk","Mechelen","2-2",4
"546","Dortmund","Hoffenheim","Dortmund-Hoffenheim","Dortmund","Hoffenheim","3-2",5
"547","Nurnberg","Karlsruhe SC","Nurnberg-Karlsruhe SC","Nurnberg","Karlsruhe SC","2-1",3
"548","Sandhausen","Ingolstadt","Sandhausen-Ingolstadt","Sandhausen","Ingolstadt","0-2",2
"549","Burton","Cheltenham","Burton-Cheltenham","Burton","Cheltenham","1-1",2
"550","Rochdale","Colchester","Rochdale-Colchester","Rochdale","Colchester","1-1",2
"551","Nantes","Lyon","Nantes-Lyon","Nantes","Lyon","0-1",1
"552","Udinese","Venezia","Udinese-Venezia","Udinese","Venezia","3-0",3
"553","Verona","Inter","Verona-Inter","Verona","Inter","1-3",4
"554","Pisa","Alessandria","Pisa-Alessandria","Pisa","Alessandria","2-0",2
"555","Brescia","Cosenza","Brescia-Cosenza","Brescia","Cosenza","5-1",6
"556","For Sittard","Waalwijk","For Sittard-Waalwijk","For Sittard","Waalwijk","2-2",4
"557","Belenenses","Moreirense","Belenenses-Moreirense","Belenenses","Moreirense","1-1",2
"558","Estoril","Maritimo","Estoril-Maritimo","Estoril","Maritimo","2-1",3
"559","Edinburgh City","Elgin","Edinburgh City-Elgin","Edinburgh City","Elgin","2-0",2
"560","Mallorca","Espanol","Mallorca-Espanol","Mallorca","Espanol","1-0",1
"561","Valencia","Alaves","Valencia-Alaves","Valencia","Alaves","3-0",3
"562","Las Palmas","Huesca","Las Palmas-Huesca","Las Palmas","Huesca","2-1",3
"563","Malaga","Alcorcon","Malaga-Alcorcon","Malaga","Alcorcon","1-0",1
"564","Antalyaspor","Rizespor","Antalyaspor-Rizespor","Antalyaspor","Rizespor","3-2",5
"565","Ad. Demirspor","Konyaspor","Ad. Demirspor-Konyaspor","Ad. Demirspor","Konyaspor","1-1",2
"566","Charleroi","Beerschot VA","Charleroi-Beerschot VA","Charleroi","Beerschot VA","5-2",7
"567","Cercle Brugge","St Truiden","Cercle Brugge-St Truiden","Cercle Brugge","St Truiden","0-1",1
"568","Eupen","Seraing","Eupen-Seraing","Eupen","Seraing","1-2",3
"569","St. Gilloise","Standard","St. Gilloise-Standard","St. Gilloise","Standard","4-0",4
"570","Augsburg","Leverkusen","Augsburg-Leverkusen","Augsburg","Leverkusen","1-4",5
"571","Bielefeld","Ein Frankfurt","Bielefeld-Ein Frankfurt","Bielefeld","Ein Frankfurt","1-1",2
"572","FC Koln","Bochum","FC Koln-Bochum","FC Koln","Bochum","2-1",3
"573","Mainz","Greuther Furth","Mainz-Greuther Furth","Mainz","Greuther Furth","3-0",3
"574","Stuttgart","Freiburg","Stuttgart-Freiburg","Stuttgart","Freiburg","2-3",5
"575","Bayern Munich","Hertha","Bayern Munich-Hertha","Bayern Munich","Hertha","5-0",5
"576","Darmstadt","Hannover","Darmstadt-Hannover","Darmstadt","Hannover","4-0",4
"577","Heidenheim","Hamburg","Heidenheim-Hamburg","Heidenheim","Hamburg","0-0",0
"578","Holstein Kiel","Erzgebirge Aue","Holstein Kiel-Erzgebirge Aue","Holstein Kiel","Erzgebirge Aue","3-0",3
"579","Schalke 04","Fortuna Dusseldorf","Schalke 04-Fortuna Dusseldorf","Schalke 04","Fortuna Dusseldorf","3-1",4
"580","Man City","Arsenal","Man City-Arsenal","Man City","Arsenal","5-0",5
"581","Aston Villa","Brentford","Aston Villa-Brentford","Aston Villa","Brentford","1-1",2
"582","Brighton","Everton","Brighton-Everton","Brighton","Everton","0-2",2
"583","Newcastle","Southampton","Newcastle-Southampton","Newcastle","Southampton","2-2",4
"584","Norwich","Leicester","Norwich-Leicester","Norwich","Leicester","1-2",3
"585","West Ham","Crystal Palace","West Ham-Crystal Palace","West Ham","Crystal Palace","2-2",4
"586","Liverpool","Chelsea","Liverpool-Chelsea","Liverpool","Chelsea","1-1",2
"587","Cardiff","Bristol City","Cardiff-Bristol City","Cardiff","Bristol City","1-2",3
"588","Derby","Nottm Forest","Derby-Nottm Forest","Derby","Nottm Forest","1-1",2
"589","Barnsley","Birmingham","Barnsley-Birmingham","Barnsley","Birmingham","1-1",2
"590","Fulham","Stoke","Fulham-Stoke","Fulham","Stoke","3-0",3
"591","Huddersfield","Reading","Huddersfield-Reading","Huddersfield","Reading","4-0",4
"592","Hull","Bournemouth","Hull-Bournemouth","Hull","Bournemouth","0-0",0
"593","Luton","Sheffield United","Luton-Sheffield United","Luton","Sheffield United","0-0",0
"594","Middlesbrough","Blackburn","Middlesbrough-Blackburn","Middlesbrough","Blackburn","1-1",2
"595","Millwall","Blackpool","Millwall-Blackpool","Millwall","Blackpool","2-1",3
"596","Preston","Swansea","Preston-Swansea","Preston","Swansea","3-1",4
"597","QPR","Coventry","QPR-Coventry","QPR","Coventry","2-0",2
"598","Peterboro","West Brom","Peterboro-West Brom","Peterboro","West Brom","0-1",1
"599","Rotherham","Doncaster","Rotherham-Doncaster","Rotherham","Doncaster","2-0",2
"600","Cambridge","Bolton","Cambridge-Bolton","Cambridge","Bolton","1-0",1
"601","Charlton","Crewe","Charlton-Crewe","Charlton","Crewe","2-0",2
