"","HT","AT","matchid","HomeTeam","AwayTeam","CS","TG"
"21","Mechelen","Antwerp","Mechelen-Antwerp","Mechelen","Antwerp","3-2",5
"22","Club Brugge","Eupen","Club Brugge-Eupen","Club Brugge","Eupen","2-2",4
"23","Anderlecht","St. Gilloise","Anderlecht-St. Gilloise","Anderlecht","St. Gilloise","1-3",4
"24","St Truiden","Gent","St Truiden-Gent","St Truiden","Gent","2-1",3
"25","Nurnberg","Erzgebirge Aue","Nurnberg-Erzgebirge Aue","Nurnberg","Erzgebirge Aue","0-0",0
"26","Sandhausen","Fortuna Dusseldorf","Sandhausen-Fortuna Dusseldorf","Sandhausen","Fortuna Dusseldorf","0-2",2
"27","St Pauli","Holstein Kiel","St Pauli-Holstein Kiel","St Pauli","Holstein Kiel","3-0",3
"28","Dijon","Sochaux","Dijon-Sochaux","Dijon","Sochaux","1-3",4
"29","St. Gilloise","Club Brugge","St. Gilloise-Club Brugge","St. Gilloise","Club Brugge","0-1",1
"30","Waregem","Standard","Waregem-Standard","Waregem","Standard","1-2",3
"31","Gent","Beerschot VA","Gent-Beerschot VA","Gent","Beerschot VA","2-2",4
"32","Antwerp","Kortrijk","Antwerp-Kortrijk","Antwerp","Kortrijk","0-1",1
"33","Erzgebirge Aue","St Pauli","Erzgebirge Aue-St Pauli","Erzgebirge Aue","St Pauli","0-0",0
"34","Hamburg","Dresden","Hamburg-Dresden","Hamburg","Dresden","1-1",2
"35","Holstein Kiel","Schalke 04","Holstein Kiel-Schalke 04","Holstein Kiel","Schalke 04","0-3",3
"36","Aberdeen","Dundee United","Aberdeen-Dundee United","Aberdeen","Dundee United","2-0",2
"37","Motherwell","Hibernian","Motherwell-Hibernian","Motherwell","Hibernian","2-3",5
"38","Auxerre","Grenoble","Auxerre-Grenoble","Auxerre","Grenoble","3-0",3
"39","Kilmarnock","Ayr","Kilmarnock-Ayr","Kilmarnock","Ayr","2-0",2
"40","Genk","Oostende","Genk-Oostende","Genk","Oostende","3-4",7
"41","Karlsruhe","Darmstadt","Karlsruhe-Darmstadt","Karlsruhe","Darmstadt","3-0",3
"42","Paderborn","Nurnberg","Paderborn-Nurnberg","Paderborn","Nurnberg","2-2",4
"43","Charleroi","St Truiden","Charleroi-St Truiden","Charleroi","St Truiden","0-0",0
"44","Cercle Brugge","Oud-Heverlee Leuven","Cercle Brugge-Oud-Heverlee Leuven","Cercle Brugge","Oud-Heverlee Leuven","1-1",2
"45","Seraing","Mechelen","Seraing-Mechelen","Seraing","Mechelen","1-0",1
"46","Eupen","Anderlecht","Eupen-Anderlecht","Eupen","Anderlecht","1-1",2
"47","Hannover","Hansa Rostock","Hannover-Hansa Rostock","Hannover","Hansa Rostock","0-3",3
"48","Ingolstadt","Heidenheim","Ingolstadt-Heidenheim","Ingolstadt","Heidenheim","1-2",3
"49","Regensburg","Sandhausen","Regensburg-Sandhausen","Regensburg","Sandhausen","3-0",3
"50","Fortuna Dusseldorf","Werder Bremen","Fortuna Dusseldorf-Werder Bremen","Fortuna Dusseldorf","Werder Bremen","2-3",5
"51","Nimes","Dijon","Nimes-Dijon","Nimes","Dijon","2-1",3
"52","Ajaccio","Amiens","Ajaccio-Amiens","Ajaccio","Amiens","3-1",4
"53","Guingamp","Valenciennes","Guingamp-Valenciennes","Guingamp","Valenciennes","1-1",2
"54","Nancy","Toulouse","Nancy-Toulouse","Nancy","Toulouse","0-4",4
"55","Niort","Caen","Niort-Caen","Niort","Caen","0-1",1
"56","Paris FC","Dunkerque","Paris FC-Dunkerque","Paris FC","Dunkerque","2-1",3
"57","Rodez","Pau FC","Rodez-Pau FC","Rodez","Pau FC","1-0",1
"58","Sochaux","Le Havre","Sochaux-Le Havre","Sochaux","Le Havre","0-2",2
"59","Rangers","Livingston","Rangers-Livingston","Rangers","Livingston","3-0",3
"60","Dundee","St Mirren","Dundee-St Mirren","Dundee","St Mirren","2-2",4
"61","Ross County","St Johnstone","Ross County-St Johnstone","Ross County","St Johnstone","0-0",0
"62","Hearts","Celtic","Hearts-Celtic","Hearts","Celtic","2-1",3
"63","Arbroath","Inverness C","Arbroath-Inverness C","Arbroath","Inverness C","0-1",1
"64","Morton","Dunfermline","Morton-Dunfermline","Morton","Dunfermline","2-2",4
"65","Partick","Queen of Sth","Partick-Queen of Sth","Partick","Queen of Sth","3-2",5
"66","Raith Rvs","Hamilton","Raith Rvs-Hamilton","Raith Rvs","Hamilton","4-4",8
"67","Airdrie Utd","Montrose","Airdrie Utd-Montrose","Airdrie Utd","Montrose","0-3",3
"68","Clyde","Dumbarton","Clyde-Dumbarton","Clyde","Dumbarton","0-3",3
"69","Cove Rangers","Falkirk","Cove Rangers-Falkirk","Cove Rangers","Falkirk","1-1",2
"70","East Fife","Queens Park","East Fife-Queens Park","East Fife","Queens Park","1-1",2
"71","Peterhead","Alloa","Peterhead-Alloa","Peterhead","Alloa","2-0",2
"72","Albion Rvs","Edinburgh City","Albion Rvs-Edinburgh City","Albion Rvs","Edinburgh City","2-0",2
