"","final_first_column_n1div","final_second_column_n1div"
"1","Heerenveen","Sparta Rotterdam"
"2","Heerenveen","Sparta Rotterdam"
"3","Heerenveen","Sparta Rotterdam"
"4","Heerenveen","Sparta Rotterdam"
"5","Sparta Rotterdam","Heerenveen"
"6","Sparta Rotterdam","Heerenveen"
"7","Sparta Rotterdam","Heerenveen"
"8","Sparta Rotterdam","Heerenveen"
"9","For Sittard","Ajax"
"10","For Sittard","Ajax"
"11","For Sittard","Ajax"
"12","For Sittard","Ajax"
"13","Ajax","For Sittard"
"14","Ajax","For Sittard"
"15","Ajax","For Sittard"
"16","Ajax","For Sittard"
"17","Cambuur","Excelsior"
"18","Cambuur","Excelsior"
"19","Cambuur","Excelsior"
"20","Cambuur","Excelsior"
"21","Excelsior","Cambuur"
"22","Excelsior","Cambuur"
"23","Excelsior","Cambuur"
"24","Excelsior","Cambuur"
"25","PSV Eindhoven","FC Emmen"
"26","PSV Eindhoven","FC Emmen"
"27","PSV Eindhoven","FC Emmen"
"28","PSV Eindhoven","FC Emmen"
"29","FC Emmen","PSV Eindhoven"
"30","FC Emmen","PSV Eindhoven"
"31","FC Emmen","PSV Eindhoven"
"32","FC Emmen","PSV Eindhoven"
"33","Waalwijk","Utrecht"
"34","Waalwijk","Utrecht"
"35","Waalwijk","Utrecht"
"36","Waalwijk","Utrecht"
"37","Utrecht","Waalwijk"
"38","Utrecht","Waalwijk"
"39","Utrecht","Waalwijk"
"40","Utrecht","Waalwijk"
"41","Groningen","FC Volendam"
"42","Groningen","FC Volendam"
"43","Groningen","FC Volendam"
"44","Groningen","FC Volendam"
"45","FC Volendam","Groningen"
"46","FC Volendam","Groningen"
"47","FC Volendam","Groningen"
"48","FC Volendam","Groningen"
"49","Nijmegen","Twente"
"50","Nijmegen","Twente"
"51","Nijmegen","Twente"
"52","Nijmegen","Twente"
"53","Twente","Nijmegen"
"54","Twente","Nijmegen"
"55","Twente","Nijmegen"
"56","Twente","Nijmegen"
"57","Vitesse","Feyenoord"
"58","Vitesse","Feyenoord"
"59","Vitesse","Feyenoord"
"60","Vitesse","Feyenoord"
"61","Feyenoord","Vitesse"
"62","Feyenoord","Vitesse"
"63","Feyenoord","Vitesse"
"64","Feyenoord","Vitesse"
"65","AZ Alkmaar","Go Ahead Eagles"
"66","AZ Alkmaar","Go Ahead Eagles"
"67","AZ Alkmaar","Go Ahead Eagles"
"68","AZ Alkmaar","Go Ahead Eagles"
"69","Go Ahead Eagles","AZ Alkmaar"
"70","Go Ahead Eagles","AZ Alkmaar"
"71","Go Ahead Eagles","AZ Alkmaar"
"72","Go Ahead Eagles","AZ Alkmaar"
