MatchNumber,RoundNumber,Date,Location,Home_Team,Away_Team
1,1,24/02/2024,france,Ajaccio,Amiens
2,1,2/12/2023,france,Ajaccio,Angers
3,1,9/3/2024,france,Ajaccio,Annecy
4,1,30/03/2024,france,Ajaccio,Auxerre
5,1,2/10/2023,france,Ajaccio,Bastia
6,1,21/08/2023,france,Ajaccio,Bordeaux
7,1,20/04/2024,france,Ajaccio,Caen
8,1,27/01/2024,france,Ajaccio,Concarneau
9,1,2/9/2023,france,Ajaccio,Dunkerque
10,1,11/5/2024,france,Ajaccio,Grenoble
11,1,10/2/2024,france,Ajaccio,Guingamp
12,1,5/12/2023,france,Ajaccio,Laval
13,1,23/09/2023,france,Ajaccio,Paris FC
14,1,21/10/2023,france,Ajaccio,Pau FC
15,1,27/04/2024,france,Ajaccio,Quevilly Rouen
16,1,5/8/2023,france,Ajaccio,Rodez
17,1,13/04/2024,france,Ajaccio,St Etienne
18,1,11/11/2023,france,Ajaccio,Troyes
19,1,19/12/2023,france,Ajaccio,Valenciennes
20,1,26/09/2023,france,Amiens,Ajaccio
21,1,7/10/2023,france,Amiens,Angers
22,1,23/01/2024,france,Amiens,Annecy
23,1,11/5/2024,france,Amiens,Auxerre
24,1,19/08/2023,france,Amiens,Bastia
25,1,17/02/2024,france,Amiens,Bordeaux
26,1,19/12/2023,france,Amiens,Caen
27,1,13/04/2024,france,Amiens,Concarneau
28,1,20/04/2024,france,Amiens,Dunkerque
29,1,11/11/2023,france,Amiens,Grenoble
30,1,2/9/2023,france,Amiens,Guingamp
31,1,28/10/2023,france,Amiens,Laval
32,1,3/2/2024,france,Amiens,Paris FC
33,1,30/03/2024,france,Amiens,Pau FC
34,1,5/8/2023,france,Amiens,Quevilly Rouen
35,1,9/3/2024,france,Amiens,Rodez
36,1,2/12/2023,france,Amiens,St Etienne
37,1,27/04/2024,france,Amiens,Troyes
38,1,23/09/2023,france,Amiens,Valenciennes
39,1,2/3/2024,france,Angers,Ajaccio
40,1,16/03/2024,france,Angers,Amiens
41,1,12/8/2023,france,Angers,Annecy
42,1,19/08/2023,france,Angers,Auxerre
43,1,23/09/2023,france,Angers,Bastia
44,1,21/10/2023,france,Angers,Bordeaux
45,1,25/11/2023,france,Angers,Caen
46,1,30/09/2023,france,Angers,Concarneau
47,1,17/04/2024,france,Angers,Dunkerque
48,1,5/12/2023,france,Angers,Grenoble
49,1,19/12/2023,france,Angers,Guingamp
50,1,6/4/2024,france,Angers,Laval
51,1,2/9/2023,france,Angers,Paris FC
52,1,4/5/2024,france,Angers,Pau FC
53,1,23/01/2024,france,Angers,Quevilly Rouen
54,1,3/2/2024,france,Angers,Rodez
55,1,17/02/2024,france,Angers,St Etienne
56,1,20/04/2024,france,Angers,Troyes
57,1,4/11/2023,france,Angers,Valenciennes
58,1,25/11/2023,france,Annecy,Ajaccio
59,1,21/10/2023,france,Annecy,Amiens
60,1,11/5/2024,france,Annecy,Angers
61,1,17/02/2024,france,Annecy,Auxerre
62,1,27/04/2024,france,Annecy,Bastia
63,1,16/03/2024,france,Annecy,Bordeaux
64,1,5/12/2023,france,Annecy,Caen
65,1,10/2/2024,france,Annecy,Concarneau
66,1,19/08/2023,france,Annecy,Dunkerque
67,1,20/04/2024,france,Annecy,Grenoble
68,1,5/8/2023,france,Annecy,Guingamp
69,1,4/11/2023,france,Annecy,Laval
70,1,30/09/2023,france,Annecy,Paris FC
71,1,27/01/2024,france,Annecy,Pau FC
72,1,2/3/2024,france,Annecy,Quevilly Rouen
73,1,19/12/2023,france,Annecy,Rodez
74,1,28/08/2023,france,Annecy,St Etienne
75,1,16/09/2023,france,Annecy,Troyes
76,1,6/4/2024,france,Annecy,Valenciennes
77,1,16/12/2023,france,Auxerre,Ajaccio
78,1,12/8/2023,france,Auxerre,Amiens
79,1,10/2/2024,france,Auxerre,Angers
80,1,26/09/2023,france,Auxerre,Annecy
81,1,24/02/2024,france,Auxerre,Bastia
82,1,13/01/2024,france,Auxerre,Bordeaux
83,1,16/03/2024,france,Auxerre,Caen
84,1,17/04/2024,france,Auxerre,Concarneau
85,1,28/10/2023,france,Auxerre,Dunkerque
86,1,26/08/2023,france,Auxerre,Grenoble
87,1,27/01/2024,france,Auxerre,Guingamp
88,1,20/04/2024,france,Auxerre,Laval
89,1,4/5/2024,france,Auxerre,Paris FC
90,1,16/09/2023,france,Auxerre,Pau FC
91,1,2/12/2023,france,Auxerre,Quevilly Rouen
92,1,30/09/2023,france,Auxerre,Rodez
93,1,11/11/2023,france,Auxerre,St Etienne
94,1,6/4/2024,france,Auxerre,Troyes
