"","final_first_column_f1div","final_second_column_f1div"
"1","Lyon","Ajaccio"
"2","Lyon","Ajaccio"
"3","Lyon","Ajaccio"
"4","Lyon","Ajaccio"
"5","Ajaccio","Lyon"
"6","Ajaccio","Lyon"
"7","Ajaccio","Lyon"
"8","Ajaccio","Lyon"
"9","Strasbourg","Monaco"
"10","Strasbourg","Monaco"
"11","Strasbourg","Monaco"
"12","Strasbourg","Monaco"
"13","Monaco","Strasbourg"
"14","Monaco","Strasbourg"
"15","Monaco","Strasbourg"
"16","Monaco","Strasbourg"
"17","Clermont","Paris SG"
"18","Clermont","Paris SG"
"19","Clermont","Paris SG"
"20","Clermont","Paris SG"
"21","Paris SG","Clermont"
"22","Paris SG","Clermont"
"23","Paris SG","Clermont"
"24","Paris SG","Clermont"
"25","Toulouse","Nice"
"26","Toulouse","Nice"
"27","Toulouse","Nice"
"28","Toulouse","Nice"
"29","Nice","Toulouse"
"30","Nice","Toulouse"
"31","Nice","Toulouse"
"32","Nice","Toulouse"
"33","Angers","Nantes"
"34","Angers","Nantes"
"35","Angers","Nantes"
"36","Angers","Nantes"
"37","Nantes","Angers"
"38","Nantes","Angers"
"39","Nantes","Angers"
"40","Nantes","Angers"
"41","Lens","Brest"
"42","Lens","Brest"
"43","Lens","Brest"
"44","Lens","Brest"
"45","Brest","Lens"
"46","Brest","Lens"
"47","Brest","Lens"
"48","Brest","Lens"
"49","Lille","Auxerre"
"50","Lille","Auxerre"
"51","Lille","Auxerre"
"52","Lille","Auxerre"
"53","Auxerre","Lille"
"54","Auxerre","Lille"
"55","Auxerre","Lille"
"56","Auxerre","Lille"
"57","Montpellier","Troyes"
"58","Montpellier","Troyes"
"59","Montpellier","Troyes"
"60","Montpellier","Troyes"
"61","Troyes","Montpellier"
"62","Troyes","Montpellier"
"63","Troyes","Montpellier"
"64","Troyes","Montpellier"
"65","Rennes","Lorient"
"66","Rennes","Lorient"
"67","Rennes","Lorient"
"68","Rennes","Lorient"
"69","Lorient","Rennes"
"70","Lorient","Rennes"
"71","Lorient","Rennes"
"72","Lorient","Rennes"
"73","Marseille","Reims"
"74","Marseille","Reims"
"75","Marseille","Reims"
"76","Marseille","Reims"
"77","Reims","Marseille"
"78","Reims","Marseille"
"79","Reims","Marseille"
"80","Reims","Marseille"
