"","MatchNumber","RoundNumber","Location","Date","Home_Team","Away_Team"
"1","  1","1","stadium","7/23/2021","Lech Poznan","Radomiak Radom"
"2","  2","1","stadium","7/23/2021","Termalica B-B.","Stal Mielec"
"3","  3","1","stadium","7/24/2021","Leczna","Cracovia"
"4","  4","1","stadium","7/24/2021","Jagiellonia","Lechia Gdansk"
"5","  5","1","stadium","7/24/2021","Legia","Wisla Plock"
"6","  6","1","stadium","7/25/2021","Pogon Szczecin","Gornik Z"
"7","  7","1","stadium","7/25/2021","Piast Gliwice","Rakow"
"8","  8","1","stadium","7/25/2021","Slask Wroclaw","Warta Poznan"
"9","  9","1","stadium","7/26/2021","Wisla","Zaglebie"
"10"," 10","1","stadium","7/30/2021","Zaglebie","Leczna"
"11"," 11","1","stadium","7/30/2021","Gornik Z","Lech Poznan"
"12"," 12","1","stadium","7/31/2021","Radomiak Radom","Legia"
"13"," 13","1","stadium","7/31/2021","Stal Mielec","Piast Gliwice"
"14"," 14","1","stadium","7/31/2021","Termalica B-B.","Wisla"
"15"," 15","1","stadium","8/1/2021","Cracovia","Slask Wroclaw"
"16"," 16","1","stadium","8/1/2021","Rakow","Jagiellonia"
"17"," 17","1","stadium","8/1/2021","Warta Poznan","Pogon Szczecin"
"18"," 18","1","stadium","8/2/2021","Lechia Gdansk","Wisla Plock"
"19"," 19","1","stadium","8/7/2021","Jagiellonia","Termalica B-B."
"20"," 20","1","stadium","8/7/2021","Lech Poznan","Cracovia"
"21"," 21","1","stadium","8/7/2021","Slask Wroclaw","Lechia Gdansk"
"22"," 22","1","stadium","8/7/2021","Pogon Szczecin","Piast Gliwice"
"23"," 23","1","stadium","8/7/2021","Wisla Plock","Radomiak Radom"
"24"," 24","1","stadium","8/7/2021","Wisla","Rakow"
"25"," 25","1","stadium","8/7/2021","Gornik Z","Stal Mielec"
"26"," 26","1","stadium","8/7/2021","Leczna","Warta Poznan"
"27"," 27","1","stadium","8/7/2021","Legia","Zaglebie"
"28"," 28","1","stadium","8/14/2021","Lechia Gdansk","Cracovia"
"29"," 29","1","stadium","8/14/2021","Slask Wroclaw","Leczna"
"30"," 30","1","stadium","8/14/2021","Jagiellonia","Gornik Z"
"31"," 31","1","stadium","8/14/2021","Termalica B-B.","Lech Poznan"
"32"," 32","1","stadium","8/14/2021","Warta Poznan","Legia"
"33"," 33","1","stadium","8/14/2021","Zaglebie","Pogon Szczecin"
"34"," 34","1","stadium","8/14/2021","Rakow","Radomiak Radom"
"35"," 35","1","stadium","8/14/2021","Stal Mielec","Wisla"
"36"," 36","1","stadium","8/14/2021","Piast Gliwice","Wisla Plock"
"37"," 37","1","stadium","8/21/2021","Piast Gliwice","Slask Wroclaw"
"38"," 38","1","stadium","8/21/2021","Legia","Termalica B-B."
"39"," 39","1","stadium","8/21/2021","Rakow","Gornik Z"
"40"," 40","1","stadium","8/21/2021","Cracovia","Jagiellonia"
"41"," 41","1","stadium","8/21/2021","Lech Poznan","Lechia Gdansk"
"42"," 42","1","stadium","8/21/2021","Pogon Szczecin","Stal Mielec"
"43"," 43","1","stadium","8/21/2021","Radomiak Radom","Warta Poznan"
"44"," 44","1","stadium","8/21/2021","Leczna","Wisla"
"45"," 45","1","stadium","8/21/2021","Wisla Plock","Zaglebie"
"46"," 46","1","stadium","8/28/2021","Zaglebie","Slask Wroclaw"
"47"," 47","1","stadium","8/28/2021","Termalica B-B.","Cracovia"
"48"," 48","1","stadium","8/28/2021","Stal Mielec","Leczna"
"49"," 49","1","stadium","8/28/2021","Warta Poznan","Jagiellonia"
"50"," 50","1","stadium","8/28/2021","Wisla","Legia"
"51"," 51","1","stadium","8/28/2021","Gornik Z","Piast Gliwice"
"52"," 52","1","stadium","8/28/2021","Lech Poznan","Pogon Szczecin"
"53"," 53","1","stadium","8/28/2021","Lechia Gdansk","Radomiak Radom"
"54"," 54","1","stadium","8/28/2021","Wisla Plock","Rakow"
"55"," 55","1","stadium","9/11/2021","Warta Poznan","Termalica B-B."
"56"," 56","1","stadium","9/11/2021","Cracovia","Gornik Z"
"57"," 57","1","stadium","9/11/2021","Rakow","Lech Poznan"
"58"," 58","1","stadium","9/11/2021","Wisla","Lechia Gdansk"
"59"," 59","1","stadium","9/11/2021","Slask Wroclaw","Legia"
"60"," 60","1","stadium","9/11/2021","Radomiak Radom","Pogon Szczecin"
"61"," 61","1","stadium","9/11/2021","Jagiellonia","Stal Mielec"
"62"," 62","1","stadium","9/11/2021","Leczna","Wisla Plock"
"63"," 63","1","stadium","9/11/2021","Piast Gliwice","Zaglebie"
"64"," 64","1","stadium","9/18/2021","Radomiak Radom","Slask Wroclaw"
"65"," 65","1","stadium","9/18/2021","Zaglebie","Termalica B-B."
"66"," 66","1","stadium","9/18/2021","Pogon Szczecin","Cracovia"
"67"," 67","1","stadium","9/18/2021","Legia","Leczna"
"68"," 68","1","stadium","9/18/2021","Wisla Plock","Jagiellonia"
"69"," 69","1","stadium","9/18/2021","Lechia Gdansk","Piast Gliwice"
"70"," 70","1","stadium","9/18/2021","Stal Mielec","Rakow"
"71"," 71","1","stadium","9/18/2021","Gornik Z","Warta Poznan"
"72"," 72","1","stadium","9/18/2021","Lech Poznan","Wisla"
"73"," 73","1","stadium","9/25/2021","Piast Gliwice","Cracovia"
"74"," 74","1","stadium","9/25/2021","Termalica B-B.","Gornik Z"
"75"," 75","1","stadium","9/25/2021","Jagiellonia","Lech Poznan"
"76"," 76","1","stadium","9/25/2021","Leczna","Lechia Gdansk"
"77"," 77","1","stadium","9/25/2021","Wisla","Pogon Szczecin"
"78"," 78","1","stadium","9/25/2021","Stal Mielec","Radomiak Radom"
"79"," 79","1","stadium","9/25/2021","Legia","Rakow"
"80"," 80","1","stadium","9/25/2021","Slask Wroclaw","Wisla Plock"
"81"," 81","1","stadium","9/25/2021","Warta Poznan","Zaglebie"
"82"," 82","1","stadium","10/2/2021","Lech Poznan","Slask Wroclaw"
"83"," 83","1","stadium","10/2/2021","Radomiak Radom","Termalica B-B."
"84"," 84","1","stadium","10/2/2021","Pogon Szczecin","Leczna"
"85"," 85","1","stadium","10/2/2021","Zaglebie","Jagiellonia"
"86"," 86","1","stadium","10/2/2021","Lechia Gdansk","Legia"
"87"," 87","1","stadium","10/2/2021","Cracovia","Stal Mielec"
"88"," 88","1","stadium","10/2/2021","Rakow","Warta Poznan"
"89"," 89","1","stadium","10/2/2021","Piast Gliwice","Wisla"
"90"," 90","1","stadium","10/2/2021","Gornik Z","Wisla Plock"
"91"," 91","1","stadium","10/16/2021","Legia","Lech Poznan"
"92"," 92","1","stadium","10/16/2021","Termalica B-B.","Lechia Gdansk"
"93"," 93","1","stadium","10/16/2021","Leczna","Piast Gliwice"
"94"," 94","1","stadium","10/16/2021","Wisla Plock","Pogon Szczecin"
"95"," 95","1","stadium","10/16/2021","Jagiellonia","Radomiak Radom"
"96"," 96","1","stadium","10/16/2021","Slask Wroclaw","Rakow"
"97"," 97","1","stadium","10/16/2021","Cracovia","Warta Poznan"
"98"," 98","1","stadium","10/16/2021","Gornik Z","Wisla"
"99"," 99","1","stadium","10/16/2021","Stal Mielec","Zaglebie"
"100","100","1","stadium","10/23/2021","Wisla","Slask Wroclaw"
"101","101","1","stadium","10/23/2021","Rakow","Termalica B-B."
"102","102","1","stadium","10/23/2021","Zaglebie","Cracovia"
"103","103","1","stadium","10/23/2021","Radomiak Radom","Leczna"
"104","104","1","stadium","10/23/2021","Lechia Gdansk","Gornik Z"
"105","105","1","stadium","10/23/2021","Pogon Szczecin","Jagiellonia"
"106","106","1","stadium","10/23/2021","Piast Gliwice","Legia"
"107","107","1","stadium","10/23/2021","Warta Poznan","Stal Mielec"
"108","108","1","stadium","10/23/2021","Lech Poznan","Wisla Plock"
"109","109","1","stadium","10/30/2021","Termalica B-B.","Slask Wroclaw"
"110","110","1","stadium","10/30/2021","Stal Mielec","Lech Poznan"
"111","111","1","stadium","10/30/2021","Warta Poznan","Lechia Gdansk"
"112","112","1","stadium","10/30/2021","Jagiellonia","Piast Gliwice"
"113","113","1","stadium","10/30/2021","Legia","Pogon Szczecin"
"114","114","1","stadium","10/30/2021","Cracovia","Radomiak Radom"
"115","115","1","stadium","10/30/2021","Leczna","Rakow"
"116","116","1","stadium","10/30/2021","Wisla Plock","Wisla"
"117","117","1","stadium","10/30/2021","Gornik Z","Zaglebie"
"118","118","1","stadium","11/6/2021","Wisla Plock","Termalica B-B."
"119","119","1","stadium","11/6/2021","Wisla","Cracovia"
"120","120","1","stadium","11/6/2021","Radomiak Radom","Gornik Z"
"121","121","1","stadium","11/6/2021","Slask Wroclaw","Jagiellonia"
"122","122","1","stadium","11/6/2021","Leczna","Lech Poznan"
"123","123","1","stadium","11/6/2021","Rakow","Pogon Szczecin"
"124","124","1","stadium","11/6/2021","Legia","Stal Mielec"
"125","125","1","stadium","11/6/2021","Piast Gliwice","Warta Poznan"
"126","126","1","stadium","11/6/2021","Lechia Gdansk","Zaglebie"
"127","127","1","stadium","11/20/2021","Pogon Szczecin","Slask Wroclaw"
"128","128","1","stadium","11/20/2021","Termalica B-B.","Leczna"
"129","129","1","stadium","11/20/2021","Stal Mielec","Lechia Gdansk"
"130","130","1","stadium","11/20/2021","Gornik Z","Legia"
"131","131","1","stadium","11/20/2021","Lech Poznan","Piast Gliwice"
"132","132","1","stadium","11/20/2021","Zaglebie","Radomiak Radom"
"133","133","1","stadium","11/20/2021","Cracovia","Rakow"
"134","134","1","stadium","11/20/2021","Jagiellonia","Wisla"
"135","135","1","stadium","11/20/2021","Warta Poznan","Wisla Plock"
"136","136","1","stadium","11/27/2021","Piast Gliwice","Termalica B-B."
"137","137","1","stadium","11/27/2021","Wisla Plock","Cracovia"
"138","138","1","stadium","11/27/2021","Leczna","Gornik Z"
"139","139","1","stadium","11/27/2021","Legia","Jagiellonia"
"140","140","1","stadium","11/27/2021","Pogon Szczecin","Lechia Gdansk"
"141","141","1","stadium","11/27/2021","Wisla","Radomiak Radom"
"142","142","1","stadium","11/27/2021","Slask Wroclaw","Stal Mielec"
"143","143","1","stadium","11/27/2021","Lech Poznan","Warta Poznan"
"144","144","1","stadium","11/27/2021","Rakow","Zaglebie"
"145","145","1","stadium","12/4/2021","Gornik Z","Slask Wroclaw"
"146","146","1","stadium","12/4/2021","Jagiellonia","Leczna"
"147","147","1","stadium","12/4/2021","Zaglebie","Lech Poznan"
