"","b1_division","b1_avg_AG","b1_teams","b1_away_as","b1_away_ds"
"53","D2","1.3228","St Pauli","1.0867","1.1058"
"54","D2","1.3228","Wurzburger Kickers","0.6142","1.3823"
"55","E0","1.3237","Arsenal","1.1998","0.7473"
"56","E0","1.3237","Aston Villa","0.9777","0.6594"
"57","E0","1.3237","Brighton","0.7555","0.9133"
"58","E0","1.3237","Burnley","0.7555","1.1868"
"59","E0","1.3237","Chelsea","1.0912","0.6642"
"60","E0","1.3237","Crystal Palace","0.8888","1.2748"
"61","E0","1.3237","Everton","1.0221","0.6594"
"62","E0","1.3237","Fulham","0.711","0.9231"
"63","E0","1.3237","Leeds","1.2443","1.4506"
"64","E0","1.3237","Leicester","1.3776","0.7473"
"65","E0","1.3237","Liverpool","1.4165","0.8874"
"66","E0","1.3237","Man City","1.5109","0.3956"
"67","E0","1.3237","Man United","1.385","0.6227"
"68","E0","1.3237","Newcastle","0.7555","1.2039"
"69","E0","1.3237","Sheffield United","0.3111","1.5385"
"70","E0","1.3237","Southampton","0.7974","1.6606"
"71","E0","1.3237","Tottenham","1.2171","0.9548"
"72","E0","1.3237","West Brom","0.7974","1.4115"
"73","E0","1.3237","West Ham","1.1554","1.011"
"74","E0","1.3237","Wolves","0.6666","1.055"
"75","E1","1.0562","Barnsley","1.1526","0.9725"
"76","E1","1.0562","Birmingham","0.7821","0.8336"
"77","E1","1.0562","Blackburn","1.1526","0.903"
"78","E1","1.0562","Bournemouth","1.3584","0.7641"
"79","E1","1.0562","Brentford","1.6466","0.7641"
"80","E1","1.0562","Bristol City","1.1526","1.3198"
"81","E1","1.0562","Cardiff","1.1938","0.7988"
"82","E1","1.0562","Coventry","0.7821","1.3546"
"83","E1","1.0562","Derby","0.6586","1.1114"
"84","E1","1.0562","Huddersfield","0.9056","1.6672"
"85","E1","1.0562","Luton","0.6586","1.0072"
"86","E1","1.0562","Middlesbrough","1.0291","0.9725"
"87","E1","1.0562","Millwall","0.9468","0.9725"
