"","ec_division","ec_teams","ec_avg_AG","ec_away_as","ec_away_ds","ec_totalgames_poiss"
"1","EC","Aldershot","1.5139","1.156","1.3211","no6"
"2","EC","Altrincham","1.5139","0.6605","0.8807","no6"
"3","EC","Barnet","1.5139","0.9908","1.8165","no6"
"4","EC","Boreham Wood","1.5139","1.156","0.8257","no6"
"5","EC","Bromley","1.5139","1.3211","1.9816","no6"
"6","EC","Chesterfield","1.5139","0.9908","0","no6"
"7","EC","Dag and Red","1.5139","1.156","0.4954","no6"
"8","EC","Dover Athletic","1.5139","0.6605","1.6514","no6"
"9","EC","Eastleigh","1.5139","0.2202","1.3211","no6"
"10","EC","Grimsby","1.5139","0.9908","0.3303","no6"
"11","EC","Halifax","1.5139","1.1009","1.1009","no6"
"12","EC","Kings Lynn","1.5139","1.6514","1.3211","no6"
"13","EC","Maidenhead","1.5139","0.6605","1.1009","no6"
"14","EC","Notts County","1.5139","1.5413","0.4404","no6"
"15","EC","Solihull","1.5139","1.3211","0.6605","no6"
"16","EC","Southend","1.5139","0.3303","0.6605","no6"
"17","EC","Stockport","1.5139","0.4954","0.4954","no6"
"18","EC","Torquay","1.5139","1.3211","1.3211","no6"
"19","EC","Wealdstone","1.5139","0.8807","1.5413","no6"
"20","EC","Weymouth","1.5139","1.3211","1.7615","no6"
"21","EC","Woking","1.5139","1.3211","0.4404","no6"
"22","EC","Wrexham","1.5139","1.156","1.156","no6"
"23","EC","Yeovil","1.5139","1.6514","0.3303","no6"
