"","MatchNumber","RoundNumber","Location","Date","Home_Team","Away_Team"
"35"," 35","1","stadium","8/21/2021","Ufa","Zenit"
"36"," 36","1","stadium","8/22/2021","Arsenal Tula","Spartak Moscow"
"37"," 37","1","stadium","8/22/2021","Khimki","Rubin Kazan"
"38"," 38","1","stadium","8/22/2021","Nizhny Novgorod","FK Rostov"
"39"," 39","1","stadium","8/22/2021","Lokomotiv Moscow","Krasnodar"
"40"," 40","1","stadium","8/23/2021","FK Krylya Sovetov Samara","Sochi"
"41"," 41","1","stadium","8/28/2021","Dynamo Moscow","Lokomotiv Moscow"
"42"," 42","1","stadium","8/28/2021","Khimki","Nizhny Novgorod"
"43"," 43","1","stadium","8/28/2021","Zenit","CSKA Moscow"
"44"," 44","1","stadium","8/28/2021","Akhmat Grozny","Arsenal Tula"
"45"," 45","1","stadium","8/29/2021","Ural","FK Rostov"
"46"," 46","1","stadium","8/29/2021","Ufa","FK Krylya Sovetov Samara"
"47"," 47","1","stadium","8/29/2021","Krasnodar","Rubin Kazan"
"48"," 48","1","stadium","8/29/2021","Spartak Moscow","Sochi"
"49"," 49","1","stadium","9/10/2021","Spartak Moscow","Khimki"
"50"," 50","1","stadium","9/10/2021","Arsenal Tula","CSKA Moscow"
"51"," 51","1","stadium","9/10/2021","FK Rostov","Krasnodar"
"52"," 52","1","stadium","9/10/2021","Sochi","Ufa"
"53"," 53","1","stadium","9/10/2021","Lokomotiv Moscow","FK Krylya Sovetov Samara"
"54"," 54","1","stadium","9/10/2021","Rubin Kazan","Ural"
"55"," 55","1","stadium","9/10/2021","Zenit","Akhmat Grozny"
"56"," 56","1","stadium","9/10/2021","Dynamo Moscow","Nizhny Novgorod"
"57"," 57","1","stadium","9/17/2021","FK Krylya Sovetov Samara","FK Rostov"
"58"," 58","1","stadium","9/17/2021","Ufa","Khimki"
"59"," 59","1","stadium","9/17/2021","CSKA Moscow","Spartak Moscow"
"60"," 60","1","stadium","9/17/2021","Akhmat Grozny","Krasnodar"
"61"," 61","1","stadium","9/17/2021","Ural","Lokomotiv Moscow"
"62"," 62","1","stadium","9/17/2021","Sochi","Dynamo Moscow"
"63"," 63","1","stadium","9/17/2021","Nizhny Novgorod","Arsenal Tula"
"64"," 64","1","stadium","9/17/2021","Rubin Kazan","Zenit"
