"","i2_division","i2_teams","i2_avg_AG","i2_away_as","i2_away_ds","i2_totalgames_poiss"
"1","I2","Alessandria","1.2111","1.1927","1.405","18"
"2","I2","Ascoli","1.2111","1.4863","0.967","18"
"3","I2","Benevento","1.2111","1.1353","0.5579","18"
"4","I2","Brescia","1.2111","1.5596","0.6612","18"
"5","I2","Cittadella","1.2111","0.6422","0.8265","18"
"6","I2","Como","1.2111","1.3762","1.1571","18"
"7","I2","Cosenza","1.2111","0.5505","1.6529","18"
"8","I2","Cremonese","1.2111","1.1927","0.6612","18"
"9","I2","Crotone","1.2111","0.7225","1.4877","18"
"10","I2","Frosinone","1.2111","1.3418","0.6508","18"
"11","I2","Lecce","1.2111","0.9174","0.6612","18"
"12","I2","Monza","1.2111","0.6606","0.8926","18"
"13","I2","Parma","1.2111","1.2385","1.1157","18"
"14","I2","Perugia","1.2111","0.8257","0.5785","18"
"15","I2","Pisa","1.2111","1.2844","0.6612","18"
"16","I2","Pordenone","1.2111","0.5505","1.6529","18"
"17","I2","Reggina","1.2111","0.6422","0.9091","18"
"18","I2","Spal","1.2111","0.5505","0.8265","18"
"19","I2","Ternana","1.2111","1.2844","1.2397","18"
"20","I2","Vicenza","1.2111","0.8257","1.405","18"
