"","d1_division","d1_teams","d1_avg_HG","d1_home_as","d1_home_ds","d1_totalgames_poiss"
"1","D1","Augsburg","1.8519","0.36","2.3607","6"
"2","D1","Bayern Munich","1.8519","2.6999","0.5902","6"
"3","D1","Bielefeld","1.8519","0.18","0.2951","6"
"4","D1","Bochum","1.8519","0.54","0.8853","6"
"5","D1","Dortmund","1.8519","2.1599","1.7705","6"
"6","D1","Ein Frankfurt","1.8519","0.36","0.5902","6"
"7","D1","FC Koln","1.8519","1.08","0.8853","6"
"8","D1","Freiburg","1.8519","1.08","0.5902","6"
"9","D1","Greuther Furth","1.8519","0.36","1.7705","6"
"10","D1","Hertha","1.8519","0.81","1.3279","6"
"11","D1","Hoffenheim","1.8519","0.9","1.4754","6"
"12","D1","Leverkusen","1.8519","1.44","1.1804","6"
"13","D1","Mainz","1.8519","0.72","0","6"
"14","D1","Mgladbach","1.8519","0.9","0.5902","6"
"15","D1","RB Leipzig","1.8519","1.9799","1.1804","6"
"16","D1","Stuttgart","1.8519","1.44","2.0656","6"
"17","D1","Union Berlin","1.8519","0.54","0.4426","6"
"18","D1","Wolfsburg","1.8519","0.54","0.2951","6"
