"","final_first_column_e0div","final_second_column_e0div"
"1","Crystal Palace","Arsenal"
"2","Crystal Palace","Arsenal"
"3","Crystal Palace","Arsenal"
"4","Crystal Palace","Arsenal"
"5","Arsenal","Crystal Palace"
"6","Arsenal","Crystal Palace"
"7","Arsenal","Crystal Palace"
"8","Arsenal","Crystal Palace"
"9","Fulham","Liverpool"
"10","Fulham","Liverpool"
"11","Fulham","Liverpool"
"12","Fulham","Liverpool"
"13","Liverpool","Fulham"
"14","Liverpool","Fulham"
"15","Liverpool","Fulham"
"16","Liverpool","Fulham"
"17","Bournemouth","Aston Villa"
"18","Bournemouth","Aston Villa"
"19","Bournemouth","Aston Villa"
"20","Bournemouth","Aston Villa"
"21","Aston Villa","Bournemouth"
"22","Aston Villa","Bournemouth"
"23","Aston Villa","Bournemouth"
"24","Aston Villa","Bournemouth"
"25","Leeds","Wolves"
"26","Leeds","Wolves"
"27","Leeds","Wolves"
"28","Leeds","Wolves"
"29","Wolves","Leeds"
"30","Wolves","Leeds"
"31","Wolves","Leeds"
"32","Wolves","Leeds"
"33","Newcastle","Nottm Forest"
"34","Newcastle","Nottm Forest"
"35","Newcastle","Nottm Forest"
"36","Newcastle","Nottm Forest"
"37","Nottm Forest","Newcastle"
"38","Nottm Forest","Newcastle"
"39","Nottm Forest","Newcastle"
"40","Nottm Forest","Newcastle"
"41","Tottenham","Southampton"
"42","Tottenham","Southampton"
"43","Tottenham","Southampton"
"44","Tottenham","Southampton"
"45","Southampton","Tottenham"
"46","Southampton","Tottenham"
"47","Southampton","Tottenham"
"48","Southampton","Tottenham"
"49","Everton","Chelsea"
"50","Everton","Chelsea"
"51","Everton","Chelsea"
"52","Everton","Chelsea"
"53","Chelsea","Everton"
"54","Chelsea","Everton"
"55","Chelsea","Everton"
"56","Chelsea","Everton"
"57","Leicester","Brentford"
"58","Leicester","Brentford"
"59","Leicester","Brentford"
"60","Leicester","Brentford"
"61","Brentford","Leicester"
"62","Brentford","Leicester"
"63","Brentford","Leicester"
"64","Brentford","Leicester"
"65","Man United","Brighton"
"66","Man United","Brighton"
"67","Man United","Brighton"
"68","Man United","Brighton"
"69","Brighton","Man United"
"70","Brighton","Man United"
"71","Brighton","Man United"
"72","Brighton","Man United"
"73","West Ham","Man City"
"74","West Ham","Man City"
"75","West Ham","Man City"
"76","West Ham","Man City"
"77","Man City","West Ham"
"78","Man City","West Ham"
"79","Man City","West Ham"
"80","Man City","West Ham"
