"","x"
"1",3
"2",1
"3",0
"4",1
"5",1
"6",2
"7",0
"8",1
"9",2
"10",1
"11",2
"12",2
"13",2
"14",2
"15",1
"16",1
"17",2
"18",0
"19",0
"20",2
"21",0
"22",1
"23",0
"24",2
"25",1
"26",1
"27",1
"28",0
"29",0
"30",0
"31",1
