"","ec_division","ec_teams","ec_avg_HG","ec_home_as","ec_home_ds","ec_totalgames_poiss"
"1","EC","Aldershot","1.4917","0.5447","1.4031","no30"
"2","EC","Altrincham","1.4917","1.2989","1.1025","no30"
"3","EC","Barnet","1.4917","0.8938","1.4432","no30"
"4","EC","Boreham Wood","1.4917","1.0279","0.3207","no30"
"5","EC","Bromley","1.4917","1.2514","0.8018","no30"
"6","EC","Chesterfield","1.4917","1.2225","0.8961","no30"
"7","EC","Dag and Red","1.4917","1.4245","1.1526","no30"
"8","EC","Dover Athletic","1.4917","0.4469","1.4432","no30"
"9","EC","Eastleigh","1.4917","1.0894","0.9521","no30"
"10","EC","Grimsby","1.4917","1.2151","0.5512","no30"
"11","EC","Halifax","1.4917","1.245","0.5154","no30"
"12","EC","Kings Lynn","1.4917","0.5866","1.4533","no30"
"13","EC","Maidenhead","1.4917","0.9858","1.3678","no30"
"14","EC","Notts County","1.4917","1.4245","0.9521","no30"
"15","EC","Solihull","1.4917","1.3802","0.849","no30"
"16","EC","Southend","1.4917","0.9577","1.0309","no30"
"17","EC","Stockport","1.4917","1.2067","0.6949","no30"
"18","EC","Torquay","1.4917","1.0056","1.0524","no30"
"19","EC","Wealdstone","1.4917","0.7123","0.902","no30"
"20","EC","Weymouth","1.4917","0.6704","1.2263","no30"
"21","EC","Woking","1.4917","0.8799","1.3029","no30"
"22","EC","Wrexham","1.4917","0.9577","0.5154","no30"
"23","EC","Yeovil","1.4917","0.5363","0.9087","no30"
