"","ec_division","ec_teams","ec_avg_HG","ec_home_as","ec_home_ds","ec_totalgames_poiss"
"1","EC","Aldershot","1.4792","0.6278","1.4417","no24"
"2","EC","Altrincham","1.4792","0.9881","1.3137","no24"
"3","EC","Barnet","1.4792","0.7324","1.5526","no24"
"4","EC","Boreham Wood","1.4792","1.0401","0.3583","no24"
"5","EC","Bromley","1.4792","1.3038","0.6654","no24"
"6","EC","Chesterfield","1.4792","1.2957","0.7116","no24"
"7","EC","Dag and Red","1.4792","1.4487","1.2199","no24"
"8","EC","Dover Athletic","1.4792","0.416","1.254","no24"
"9","EC","Eastleigh","1.4792","1.0921","1.0151","no24"
"10","EC","Grimsby","1.4792","1.3001","0.5971","no24"
"11","EC","Halifax","1.4792","1.2957","0.5175","no24"
"12","EC","Kings Lynn","1.4792","0.6197","1.3585","no24"
"13","EC","Maidenhead","1.4792","1.1267","1.5526","no24"
"14","EC","Notts County","1.4792","1.4135","0.988","no24"
"15","EC","Solihull","1.4792","1.3521","0.6654","no24"
"16","EC","Southend","1.4792","0.9833","1.1997","no24"
"17","EC","Stockport","1.4792","1.3521","0.7763","no24"
"18","EC","Torquay","1.4792","1.1831","1.2291","no24"
"19","EC","Wealdstone","1.4792","0.5634","0.7763","no24"
"20","EC","Weymouth","1.4792","0.676","1.254","no24"
"21","EC","Woking","1.4792","0.9361","1.254","no24"
"22","EC","Wrexham","1.4792","0.6146","0.4234","no24"
"23","EC","Yeovil","1.4792","0.624","0.836","no24"
