"","final_first_column_d2","final_second_column_d2"
"1","Arminia Bielefeld","Braunschweig"
"2","Arminia Bielefeld","Braunschweig"
"3","Arminia Bielefeld","Braunschweig"
"4","Arminia Bielefeld","Braunschweig"
"5","Braunschweig","Arminia Bielefeld"
"6","Braunschweig","Arminia Bielefeld"
"7","Braunschweig","Arminia Bielefeld"
"8","Braunschweig","Arminia Bielefeld"
"9","Fortuna Dusseldorf","Regensburg"
"10","Fortuna Dusseldorf","Regensburg"
"11","Fortuna Dusseldorf","Regensburg"
"12","Fortuna Dusseldorf","Regensburg"
"13","Regensburg","Fortuna Dusseldorf"
"14","Regensburg","Fortuna Dusseldorf"
"15","Regensburg","Fortuna Dusseldorf"
"16","Regensburg","Fortuna Dusseldorf"
"17","Darmstadt","Heidenheim"
"18","Darmstadt","Heidenheim"
"19","Darmstadt","Heidenheim"
"20","Darmstadt","Heidenheim"
"21","Heidenheim","Darmstadt"
"22","Heidenheim","Darmstadt"
"23","Heidenheim","Darmstadt"
"24","Heidenheim","Darmstadt"
"25","Karlsruhe","Hansa Rostock"
"26","Karlsruhe","Hansa Rostock"
"27","Karlsruhe","Hansa Rostock"
"28","Karlsruhe","Hansa Rostock"
"29","Hansa Rostock","Karlsruhe"
"30","Hansa Rostock","Karlsruhe"
"31","Hansa Rostock","Karlsruhe"
"32","Hansa Rostock","Karlsruhe"
"33","Nurnberg","Hamburg"
"34","Nurnberg","Hamburg"
"35","Nurnberg","Hamburg"
"36","Nurnberg","Hamburg"
"37","Hamburg","Nurnberg"
"38","Hamburg","Nurnberg"
"39","Hamburg","Nurnberg"
"40","Hamburg","Nurnberg"
"41","St Pauli","Paderborn"
"42","St Pauli","Paderborn"
"43","St Pauli","Paderborn"
"44","St Pauli","Paderborn"
"45","Paderborn","St Pauli"
"46","Paderborn","St Pauli"
"47","Paderborn","St Pauli"
"48","Paderborn","St Pauli"
"49","Hannover","Greuther Furth"
"50","Hannover","Greuther Furth"
"51","Hannover","Greuther Furth"
"52","Hannover","Greuther Furth"
"53","Greuther Furth","Hannover"
"54","Greuther Furth","Hannover"
"55","Greuther Furth","Hannover"
"56","Greuther Furth","Hannover"
"57","Holstein Kiel","Sandhausen"
"58","Holstein Kiel","Sandhausen"
"59","Holstein Kiel","Sandhausen"
"60","Holstein Kiel","Sandhausen"
"61","Sandhausen","Holstein Kiel"
"62","Sandhausen","Holstein Kiel"
"63","Sandhausen","Holstein Kiel"
"64","Sandhausen","Holstein Kiel"
"65","Kaiserslautern","Magdeburg"
"66","Kaiserslautern","Magdeburg"
"67","Kaiserslautern","Magdeburg"
"68","Kaiserslautern","Magdeburg"
"69","Magdeburg","Kaiserslautern"
"70","Magdeburg","Kaiserslautern"
"71","Magdeburg","Kaiserslautern"
"72","Magdeburg","Kaiserslautern"
