MatchNumber,RoundNumber,Location,Date,Home_Team,Away_Team
151,1,stadium,3/26/2022,Morton,Ayr
152,1,stadium,3/26/2022,Inverness C,Dunfermline
153,1,stadium,3/26/2022,Kilmarnock,Partick
154,1,stadium,3/26/2022,Hamilton,Queen of Sth
155,1,stadium,3/26/2022,Arbroath,Raith Rvs
156,1,stadium,4/2/2022,Partick,Arbroath
157,1,stadium,4/2/2022,Ayr,Hamilton
158,1,stadium,4/2/2022,Queen of Sth,Inverness C
159,1,stadium,4/2/2022,Morton,Kilmarnock
160,1,stadium,4/2/2022,Dunfermline,Raith Rvs
161,1,stadium,4/9/2022,Hamilton,Arbroath
162,1,stadium,4/9/2022,Kilmarnock,Dunfermline
163,1,stadium,4/9/2022,Raith Rvs,Morton
164,1,stadium,4/9/2022,Ayr,Inverness C
165,1,stadium,4/9/2022,Queen of Sth,Partick
166,1,stadium,4/16/2022,Dunfermline,Ayr
167,1,stadium,4/16/2022,Morton,Hamilton
168,1,stadium,4/16/2022,Inverness C,Kilmarnock
169,1,stadium,4/16/2022,Arbroath,Queen of Sth
170,1,stadium,4/16/2022,Partick,Raith Rvs
171,1,stadium,4/23/2022,Kilmarnock,Arbroath
172,1,stadium,4/23/2022,Queen of Sth,Ayr
173,1,stadium,4/23/2022,Partick,Dunfermline
174,1,stadium,4/23/2022,Morton,Inverness C
175,1,stadium,4/23/2022,Hamilton,Raith Rvs
176,1,stadium,4/29/2022,Arbroath,Morton
177,1,stadium,4/29/2022,Inverness C,Hamilton
178,1,stadium,4/29/2022,Raith Rvs,Kilmarnock
179,1,stadium,4/29/2022,Ayr,Partick
180,1,stadium,4/29/2022,Dunfermline,Queen of Sth
