"","final_first_column_nor","final_second_column_nor"
"1","Bodo/Glimt","Odd"
"2","Bodo/Glimt","Odd"
"3","Bodo/Glimt","Odd"
"4","Bodo/Glimt","Odd"
"5","Odd","Bodo/Glimt"
"6","Odd","Bodo/Glimt"
"7","Odd","Bodo/Glimt"
"8","Odd","Bodo/Glimt"
"9","Rosenborg","Ham-Kam"
"10","Rosenborg","Ham-Kam"
"11","Rosenborg","Ham-Kam"
"12","Rosenborg","Ham-Kam"
"13","Ham-Kam","Rosenborg"
"14","Ham-Kam","Rosenborg"
"15","Ham-Kam","Rosenborg"
"16","Ham-Kam","Rosenborg"
"17","Haugesund","Jerv"
"18","Haugesund","Jerv"
"19","Haugesund","Jerv"
"20","Haugesund","Jerv"
"21","Jerv","Haugesund"
"22","Jerv","Haugesund"
"23","Jerv","Haugesund"
"24","Jerv","Haugesund"
"25","Kristiansund","Molde"
"26","Kristiansund","Molde"
"27","Kristiansund","Molde"
"28","Kristiansund","Molde"
"29","Molde","Kristiansund"
"30","Molde","Kristiansund"
"31","Molde","Kristiansund"
"32","Molde","Kristiansund"
"33","Lillestrom","Tromso"
"34","Lillestrom","Tromso"
"35","Lillestrom","Tromso"
"36","Lillestrom","Tromso"
"37","Tromso","Lillestrom"
"38","Tromso","Lillestrom"
"39","Tromso","Lillestrom"
"40","Tromso","Lillestrom"
"41","Sandefjord","Viking"
"42","Sandefjord","Viking"
"43","Sandefjord","Viking"
"44","Sandefjord","Viking"
"45","Viking","Sandefjord"
"46","Viking","Sandefjord"
"47","Viking","Sandefjord"
"48","Viking","Sandefjord"
"49","Stromsgodset","Sarpsborg 08"
"50","Stromsgodset","Sarpsborg 08"
"51","Stromsgodset","Sarpsborg 08"
"52","Stromsgodset","Sarpsborg 08"
"53","Sarpsborg 08","Stromsgodset"
"54","Sarpsborg 08","Stromsgodset"
"55","Sarpsborg 08","Stromsgodset"
"56","Sarpsborg 08","Stromsgodset"
"57","Valerenga","Aalesund"
"58","Valerenga","Aalesund"
"59","Valerenga","Aalesund"
"60","Valerenga","Aalesund"
"61","Aalesund","Valerenga"
"62","Aalesund","Valerenga"
"63","Aalesund","Valerenga"
"64","Aalesund","Valerenga"
