MatchNumber,RoundNumber,Location,Date,Home_Team,Away_Team
1,1,stadium,7/16/2021,Midtjylland,Odense
2,1,stadium,7/18/2021,FC Copenhagen,Aalborg
3,1,stadium,7/18/2021,Aarhus,Brondby
4,1,stadium,7/18/2021,Vejle,Randers FC
5,1,stadium,7/18/2021,Nordsjaelland,Viborg
6,1,stadium,7/19/2021,Silkeborg,Sonderjyske
7,1,stadium,7/24/2021,Aalborg,Midtjylland
8,1,stadium,7/25/2021,Nordsjaelland,Aarhus
9,1,stadium,7/25/2021,Randers FC,Odense
10,1,stadium,7/25/2021,FC Copenhagen,Silkeborg
11,1,stadium,7/25/2021,Brondby,Viborg
12,1,stadium,7/26/2021,Sonderjyske,Vejle
13,1,stadium,7/31/2021,Viborg,Midtjylland
14,1,stadium,8/1/2021,Silkeborg,Aalborg
15,1,stadium,8/1/2021,Vejle,Brondby
16,1,stadium,8/1/2021,Odense,FC Copenhagen
17,1,stadium,8/1/2021,Aarhus,Randers FC
18,1,stadium,8/2/2021,Sonderjyske,Nordsjaelland
19,1,stadium,8/6/2021,Silkeborg,Viborg
20,1,stadium,8/8/2021,Aalborg,Aarhus
21,1,stadium,8/8/2021,FC Copenhagen,Brondby
22,1,stadium,8/8/2021,Randers FC,Sonderjyske
23,1,stadium,8/8/2021,Midtjylland,Vejle
24,1,stadium,8/9/2021,Nordsjaelland,Odense
25,1,stadium,8/13/2021,Brondby,Nordsjaelland
26,1,stadium,8/13/2021,Viborg,Randers FC
27,1,stadium,8/15/2021,Aarhus,FC Copenhagen
28,1,stadium,8/15/2021,Sonderjyske,Midtjylland
29,1,stadium,8/15/2021,Odense,Silkeborg
30,1,stadium,8/16/2021,Vejle,Aalborg
31,1,stadium,8/21/2021,Odense,Brondby
32,1,stadium,8/22/2021,Randers FC,Aalborg
33,1,stadium,8/22/2021,Viborg,Aarhus
34,1,stadium,8/22/2021,FC Copenhagen,Sonderjyske
35,1,stadium,8/22/2021,Midtjylland,Silkeborg
36,1,stadium,8/23/2021,Nordsjaelland,Vejle
37,1,stadium,8/29/2021,Vejle,FC Copenhagen
38,1,stadium,8/29/2021,Brondby,Midtjylland
39,1,stadium,8/29/2021,Aalborg,Nordsjaelland
40,1,stadium,8/29/2021,Aarhus,Odense
41,1,stadium,8/29/2021,Silkeborg,Randers FC
42,1,stadium,8/29/2021,Sonderjyske,Viborg
43,1,stadium,9/12/2021,Viborg,Aalborg
44,1,stadium,9/12/2021,Randers FC,FC Copenhagen
45,1,stadium,9/12/2021,Midtjylland,Nordsjaelland
46,1,stadium,9/12/2021,Odense,Sonderjyske
47,1,stadium,9/12/2021,Brondby,Silkeborg
48,1,stadium,9/12/2021,Aarhus,Vejle
49,1,stadium,9/19/2021,Silkeborg,Aarhus
50,1,stadium,9/19/2021,Sonderjyske,Brondby
51,1,stadium,9/19/2021,FC Copenhagen,Midtjylland
52,1,stadium,9/19/2021,Randers FC,Nordsjaelland
53,1,stadium,9/19/2021,Aalborg,Odense
54,1,stadium,9/19/2021,Vejle,Viborg
55,1,stadium,9/26/2021,Brondby,Aalborg
56,1,stadium,9/26/2021,Nordsjaelland,FC Copenhagen
57,1,stadium,9/26/2021,Viborg,Odense
58,1,stadium,9/26/2021,Midtjylland,Randers FC
59,1,stadium,9/26/2021,Aarhus,Sonderjyske
60,1,stadium,9/26/2021,Vejle,Silkeborg
61,1,stadium,10/3/2021,Midtjylland,Aarhus
62,1,stadium,10/3/2021,Randers FC,Brondby
63,1,stadium,10/3/2021,Silkeborg,Nordsjaelland
