"","final_first_column_i2","final_second_column_i2"
"1","Juve Stabia","Spezia"
"2","Spezia","Juve Stabia"
"3","Monza","Venezia"
"4","Venezia","Monza"
"5","Empoli","Pescara"
"6","Pescara","Empoli"
"7","Padova","Palermo"
"8","Palermo","Padova"
"9","Cesena","Catanzaro"
"10","Catanzaro","Cesena"
"11","Sampdoria","Avellino"
"12","Avellino","Sampdoria"
"13","Virtus Entella","Reggiana"
"14","Reggiana","Virtus Entella"
"15","Modena","Mantova"
"16","Mantova","Modena"
"17","Bari","Carrarese"
"18","Carrarese","Bari"
"19","Sudtirol","Frosinone"
"20","Frosinone","Sudtirol"
