"","final_first_column_e0","final_second_column_e0"
"1","Leeds","Brentford"
"2","Brentford","Leeds"
"3","Man City","Crystal Palace"
"4","Crystal Palace","Man City"
"5","Tottenham","Nottm Forest"
"6","Nottm Forest","Tottenham"
"7","Wolves","Arsenal"
"8","Arsenal","Wolves"
"9","Bournemouth","Man United"
"10","Man United","Bournemouth"
"11","Newcastle","Sunderland"
"12","Sunderland","Newcastle"
"13","Everton","Chelsea"
"14","Chelsea","Everton"
"15","Brighton","Liverpool"
"16","Liverpool","Brighton"
"17","Aston Villa","West Ham"
"18","West Ham","Aston Villa"
"19","Fulham","Burnley"
"20","Burnley","Fulham"
